Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_Peer_Group,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,TTM_Net_Sales,ATH_Sales,ATH_Sales_Flag,Signal
RELIANCE,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1309.0999755859375,False,88167.0,False,False,NIFTY ENERGY,-18.95,-9.04,False,1123055.0,1055780.0,True,EXIT
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1939.0,False,36413.0,False,False,Sector: Communication Services,19.55,0.04,True,220049.0,210973.0,True,EXIT
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,727.0,False,82512.0,True,False,NIFTY BANK,-49.81,-29.05,False,351819.0,348615.0,True,EXIT
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1410.5999755859375,False,59756.0,True,True,NIFTY BANK,-22.77,-3.94,False,198379.0,195218.0,True,HOLD
SBIN,State Bank of India,Financial Services,Banks - Regional,1049.699951171875,False,89665.0,True,True,NIFTY BANK,9.44,25.97,True,525747.0,514933.0,True,HOLD
TCS,Tata Consultancy Services Limited,Technology,Information Technology Services,2309.699951171875,False,50055.0,True,False,NIFTY IT,-22.02,-27.26,False,275859.0,267021.0,True,EXIT
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,1096.199951171875,False,20648.0,True,True,Sector: Financial Services,18.82,19.28,True,85964.0,81985.0,True,HOLD
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,4052.699951171875,False,19624.0,True,True,Sector: Industrials,10.36,10.6,True,290137.0,285874.0,True,HOLD
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2035.0,False,14971.0,False,False,NIFTY FMCG,-15.21,-24.85,False,66052.0,64468.0,True,EXIT
INFY,Infosys Limited,Technology,Information Technology Services,1140.800048828125,False,30325.0,True,False,NIFTY IT,-20.15,-25.58,False,184582.0,178650.0,True,EXIT
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1895.0,False,12117.0,True,True,NIFTY PHARMA,-6.6,13.91,False,59911.0,58462.0,True,HOLD
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,5088.0,True,5760.0,True,True,Sector: Consumer Cyclical,42.1,38.69,True,92417.0,87584.0,True,ADD
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,13746.0,False,14334.0,False,False,NIFTY AUTO,-29.8,-5.93,False,197181.0,183316.0,True,EXIT
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,3002.800048828125,False,7513.0,False,True,NIFTY METAL,-14.46,24.09,False,111431.0,127540.0,False,EXIT
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3420.39990234375,False,20243.0,True,True,NIFTY AUTO,-24.82,-1.28,False,211375.0,198639.0,True,HOLD
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,204.3300018310547,False,14533.0,False,True,NIFTY ENERGY,59.91,67.8,True,59033.0,56203.0,True,HOLD
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,1685.5999755859375,False,13121.0,True,True,Sector: Industrials,21.33,21.56,True,40430.0,38736.0,True,HOLD
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,395.45001220703125,False,20296.0,False,False,NIFTY BANK,-23.28,-4.41,False,70887.0,69781.0,True,EXIT
AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional,1251.5,False,27939.0,False,False,NIFTY BANK,-3.76,13.72,False,135732.0,132538.0,True,EXIT
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,1336.0,False,17434.0,True,False,NIFTY IT,-5.63,-12.52,False,134374.0,130144.0,True,EXIT
ITC,ITC Limited,Consumer Defensive,Tobacco,267.70001220703125,False,20184.0,False,False,NIFTY FMCG,-26.17,-35.08,False,76488.0,78868.0,False,EXIT
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials,11465.0,False,8571.0,True,False,Sector: Basic Materials,-10.96,-11.09,False,91884.0,88512.0,True,EXIT
HAL,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense,5018.89990234375,True,9321.0,True,True,Sector: Industrials,10.89,11.13,True,33785.0,33089.0,True,ADD
NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,335.3999938964844,False,28334.0,True,False,NIFTY ENERGY,-13.01,-3.25,False,191059.0,188138.0,True,EXIT
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,2019.0,False,20637.0,True,True,Sector: Financial Services,-1.1,-0.54,False,157642.0,150530.0,True,HOLD
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,11675.0,False,11553.0,True,True,NIFTY AUTO,9.16,30.44,True,71460.0,62905.0,True,HOLD
JSWSTEEL,JSW Steel Limited,Basic Materials,Steel,1283.800048828125,True,27995.0,True,True,NIFTY METAL,-22.11,16.95,False,189687.0,185470.0,True,HOLD
BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense,410.8999938964844,False,6148.0,True,False,Sector: Industrials,5.75,6.01,True,28717.0,27610.0,True,HOLD
