Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA200_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,ATH_Sales,Signal
RELIANCE,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1336.4,False,82017.0,True,False,-15.04,-8.31,False,962820.0,EXIT
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,767.5,False,66689.03,False,False,-27.79,-28.24,False,,EXIT
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1905.4,False,38381.399999999994,True,False,20.03,0.63,True,172985.0,HOLD
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1244.5,True,54207.7,True,False,-4.93,-5.49,False,,EXIT
SBIN,State Bank of India,Financial Services,Banks - Regional,963.2,False,62119.04,False,False,27.3,26.6,True,,EXIT
TCS,Tata Consultancy Services Limited,Technology,Information Technology Services,2264.0,False,49359.0,True,False,-22.17,-24.48,False,267021.0,EXIT
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,910.45,True,19017.39,True,False,27.83,27.12,True,,ADD
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,3909.0,False,17655.160000000003,True,True,10.24,5.93,True,255734.0,HOLD
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2272.2,False,14819.0,True,False,-11.41,-19.04,False,63121.0,EXIT
LICI,Life Insurance Corporation of India,Financial Services,Insurance - Life,799.15,False,53934.81,True,False,-6.93,-7.48,False,889970.0,EXIT
INFY,Infosys Limited,Technology,Information Technology Services,1119.0,False,331.40000000000003,False,False,-25.19,-27.49,False,162990.0,EXIT
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1878.2,True,10700.7,False,True,9.78,14.25,True,52578.0,HOLD
