Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,ATH_Sales,ATH_Sales_Flag,Signal
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1992.0999755859375,False,28070.9,False,True,20.99,2.28,True,172985.0,True,HOLD
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,727.0,False,49307.979999999996,False,False,-32.11,-31.01,False,,False,EXIT
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1417.0,True,56090.159999999996,True,True,-5.73,-4.75,False,,False,HOLD
SBIN,State Bank of India,Financial Services,Banks - Regional,1067.699951171875,False,62161.45,False,True,24.3,25.14,True,,False,HOLD
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,1087.0,False,20303.53,True,True,21.29,22.15,True,,False,HOLD
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,4057.0,False,16280.750000000002,True,True,4.63,6.3,True,255734.0,True,HOLD
LICI,Life Insurance Corporation of India,Financial Services,Insurance - Life,413.5,False,47354.67,False,False,-11.88,-10.88,False,889970.0,True,EXIT
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2077.0,False,15028.0,True,False,-17.12,-20.3,False,63121.0,True,EXIT
INFY,Infosys Limited,Technology,Information Technology Services,1169.199951171875,False,332.4,False,False,-22.56,-23.27,False,162990.0,True,EXIT
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1930.0,True,11256.259999999998,True,True,2.12,13.55,True,52578.0,True,ADD
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,13834.0,False,14777.4,True,False,-3.13,2.91,False,152913.0,True,EXIT
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,5056.2001953125,True,4825.0,True,True,34.92,40.87,True,60456.0,True,ADD
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,3035.10009765625,False,7007.960000000001,False,True,19.62,28.99,True,127540.0,False,HOLD
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3428.300048828125,False,18880.07,True,True,-5.09,0.96,False,159211.0,True,HOLD
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,205.25,False,14687.210000000001,False,True,84.89,71.68,True,56203.0,True,HOLD
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,1700.0,False,13317.560000000001,True,True,25.08,26.71,True,30475.0,True,HOLD
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,391.1499938964844,False,15827.900000000001,False,False,-6.15,-5.17,False,,False,EXIT
AXISBANK,AXISBANK,Financial Services,Banks - Regional,1217.4000244140625,False,28489.31,True,False,9.02,9.93,True,,False,HOLD
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,1360.0,False,13188.0,False,False,-11.97,-12.75,False,117055.0,True,EXIT
ITC,ITC Limited,Consumer Defensive,Tobacco,278.20001220703125,False,19957.49,False,False,-33.35,-36.42,False,75323.0,True,EXIT
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials,11619.0,False,9533.34,True,False,-10.21,-9.7,False,75955.0,True,EXIT
NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,340.0,False,28706.79,True,False,7.33,-3.84,False,188138.0,True,EXIT
HAL,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense,5029.89990234375,True,9115.6,True,True,4.72,6.39,True,30981.0,True,ADD
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,2008.300048828125,False,10144.27,True,True,-0.67,0.29,False,133822.0,True,HOLD
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,11700.0,False,11759.400000000001,True,True,32.46,38.42,True,50995.0,True,HOLD
JSWSTEEL,JSWSTEEL,Basic Materials,Steel,1270.0,True,25344.0,True,True,17.01,17.44,True,175006.0,False,ADD
ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,236.39999389648438,False,41424.38,False,False,-14.59,-4.26,False,632291.0,False,EXIT
NESTLEIND,Nestlé India Limited,Consumer Defensive,Packaged Foods,1499.0999755859375,True,3477.1800000000003,False,True,37.11,33.58,True,24394.0,False,HOLD
BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense,410.79998779296875,False,5828.57,True,False,1.01,2.7,True,23769.0,True,HOLD
ETERNAL,Eternal Limited,Consumer Cyclical,Internet Retail,318.5,False,393.0,False,True,-10.06,-4.0,False,20243.0,True,EXIT
SHRIRAMFIN,Shriram Finance Limited,Financial Services,Credit Services,1122.0,True,11162.76,False,True,77.37,77.98,True,,False,HOLD
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2696.300048828125,False,4764.83,False,True,2.12,2.6,True,35495.0,False,HOLD
COALINDIA,Coal India Limited,Energy,Thermal Coal,407.1000061035156,False,35645.79,False,False,-8.29,1.86,False,144762.0,False,EXIT
