Symbol,Company Name,Type,MarketCap,All-Time High (ATH),Current Market Price (CMP),Buy Trigger Price,Sell Trigger Price,CMP Proximity to Buy (%),ClosenessAbs (%)
INDUSTOWER,Indus Towers Limited,Non-PSU,103155.7545984,482.3,387.9,385.84,463.01,0.53,0.53
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,695.0,561.25,556.0,667.2,0.94,0.94
ITC,ITC Limited,Non-PSU,526906.1894144,522.75,426.15,418.2,501.84,1.9,1.9
HINDUNILVR,Hindustan Unilever Limited,Non-PSU,561505.0555392,3028.55,2376.4,2422.84,2907.41,-1.92,1.92
INFY,Infosys Limited,Non-PSU,648126.3460352,1999.7,1631.1,1599.76,1919.71,1.96,1.96
IOC,Indian Oil Corporation Limited,PSU,198798.2524416,202.12,145.15,141.49,169.78,2.59,2.59
ONGC,Oil & Natural Gas Corporation Limited,PSU,302002.6806272,341.75,247.32,239.22,287.07,3.38,3.38
TCS,Tata Consultancy Services Limited,Non-PSU,1224434.0441088,4553.75,3471.9,3643.0,4371.6,-4.7,4.7
LICHSGFIN,LIC Housing Finance Limited,Non-PSU,33743.6147712,816.35,620.2,653.08,783.7,-5.03,5.03
NATIONALUM,National Aluminium Company Limited,PSU,34614.9650432,256.85,190.01,179.8,215.75,5.68,5.68
COALINDIA,Coal India Limited,PSU,245862.1313024,540.4,402.1,378.28,453.94,6.3,6.3
RECLTD,REC Limited,PSU,109357.8981376,645.8,419.3,452.06,542.47,-7.25,7.25
PFC,Power Finance Corporation Limited,PSU,138208.3985408,570.6,428.65,399.42,479.3,7.32,7.32
HINDALCO,Hindalco Industries Limited,Non-PSU,145422.9553152,761.55,655.2,609.24,731.09,7.54,7.54
HCLTECH,HCL Technologies Limited,Non-PSU,443638.1925376,1995.1,1721.9,1596.08,1915.3,7.88,7.88
SUNPHARMA,Sun Pharmaceutical Industries Limited,Non-PSU,402895.4836992,1948.7,1690.6,1558.96,1870.75,8.44,8.44
NTPC,NTPC Limited,PSU,322753.65888,443.2,338.1,310.24,372.29,8.98,8.98
WIPRO,Wipro Limited,Non-PSU,260266.262528,360.75,258.92,288.6,346.32,-10.28,10.28
OIL,Oil India Limited,PSU,69065.6575488,741.0,465.3,518.7,622.44,-10.29,10.29
VEDL,Vedanta Limited,Non-PSU,174976.9650176,522.0,469.3,417.6,501.12,12.38,12.38
RELIANCE,Reliance Industries Limited,Non-PSU,1953416.347648,1600.9,1448.9,1280.72,1536.86,13.13,13.13
CIPLA,Cipla Limited,Non-PSU,121492.7208448,1680.5,1521.7,1344.4,1613.28,13.19,13.19
BAJAJ-AUTO,Bajaj Auto Limited,Non-PSU,241220.190208,12666.4,8719.0,10133.12,12159.74,-13.96,13.96
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Non-PSU,317907.795968,1590.15,1456.4,1272.12,1526.54,14.49,14.49
IRB,IRB Infrastructure Developers Limited,Non-PSU,31191.4364928,76.85,52.16,61.48,73.78,-15.16,15.16
MAHABANK,Bank of Maharashtra,PSU,42341.9969536,94.25,55.96,65.97,79.17,-15.18,15.18
MARUTI,Maruti Suzuki India Limited,Non-PSU,391809.0207232,13495.6,12452.0,10796.48,12955.78,15.33,15.33
GICRE,General Insurance Corporation of India,PSU,70140.9329152,501.0,404.8,350.7,420.84,15.43,15.43
POWERGRID,Power Grid Corporation of India Limited,PSU,275158.4796672,365.45,295.45,255.82,306.98,15.49,15.49
HINDZINC,Hindustan Zinc Limited,Non-PSU,212216.6960128,772.3,520.55,617.84,741.41,-15.75,15.75
LICI,Life Insurance Corporation Of India,PSU,607105.1091968,1188.1,964.8,831.67,998.0,16.01,16.01
ADANIPOWER,Adani Power Limited,Non-PSU,214156.6009344,874.5,587.05,699.6,839.52,-16.09,16.09
LT,Larsen & Toubro Limited,Non-PSU,502843.6246528,3947.3,3684.8,3157.84,3789.41,16.69,16.69
BANKBARODA,Bank of Baroda,PSU,127370.5660416,296.95,242.59,207.87,249.44,16.71,16.71
AXISBANK,Axis Bank Limited,Non-PSU,370569.6944128,1317.3,1231.4,1053.84,1264.61,16.85,16.85
ULTRACEMCO,UltraTech Cement Limited,Non-PSU,331004.7461376,12237.0,11464.0,9789.6,11747.52,17.1,17.1
SHRIRAMFIN,Shriram Finance Limited,Non-PSU,129427.4789376,725.69,686.05,580.55,696.66,18.17,18.17
KOTAKBANK,Kotak Mahindra Bank Limited,Non-PSU,412243.72224,2268.8,2145.3,1815.04,2178.05,18.2,18.2
GAIL,GAIL (India) Limited,PSU,125682.64704,240.97,200.09,168.68,202.41,18.62,18.62
DRREDDY,Dr. Reddy's Laboratories Limited,Non-PSU,109906.9390848,1412.49,1351.1,1129.99,1355.99,19.57,19.57
GRASIM,Grasim Industries Limited,Non-PSU,174650.8972032,2843.75,2722.2,2275.0,2730.0,19.66,19.66
M&M,Mahindra & Mahindra Limited,Non-PSU,372668.1833472,3211.1,3080.7,2568.88,3082.66,19.92,19.92
TATAMOTORS,Tata Motors Limited,Non-PSU,261751.8063616,1161.85,736.4,929.48,1115.38,-20.77,20.77
ASTERDM,Aster DM Healthcare Limited,Non-PSU,29887.3126912,589.85,571.25,471.88,566.26,21.06,21.06
BHARTIARTL,Bharti Airtel Limited,Non-PSU,1120790.2756864,1901.0,1860.2,1520.8,1824.96,22.32,22.32
ICICIBANK,ICICI Bank Limited,Non-PSU,1041195.1783936,1460.6,1431.0,1168.48,1402.18,22.47,22.47
ADANIENT,Adani Enterprises Limited,Non-PSU,292586.0487168,4165.3,2581.2,3332.24,3998.69,-22.54,22.54
BAJFINANCE,Bajaj Finance Limited,Non-PSU,581890.473984,9607.5,9425.0,7686.0,9223.2,22.63,22.63
BAJAJFINSV,Bajaj Finserv Limited,Non-PSU,317403.0114816,3269.25,2012.9,2615.4,3138.48,-23.04,23.04
HDFCBANK,HDFC Bank Limited,Non-PSU,1515850.4062976,1978.9,1950.4,1583.12,1899.74,23.2,23.2
INDIGO,InterGlobe Aviation Limited,Non-PSU,211793.3727744,5695.0,5631.0,4556.0,5467.2,23.6,23.6
HYUNDAI,Hyundai Motor India Limited,Non-PSU,151222.0000256,1952.2,1937.1,1561.76,1874.11,24.03,24.03
MUTHOOTFIN,Muthoot Finance Limited,Non-PSU,98226.176,2553.6,2538.6,2042.88,2451.46,24.27,24.27
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Non-PSU,158605.0760704,14382.0,14361.0,11505.6,13806.72,24.82,24.82
NMDC,NMDC Limited,PSU,63731.9053312,142.43,73.95,99.7,119.64,-25.83,25.83
IDBI,IDBI Bank Limited,PSU,108535.0805504,198.55,100.04,138.99,166.78,-28.02,28.02
HAL,Hindustan Aeronautics Limited,PSU,333671.8778368,5621.95,5039.8,3935.37,4722.44,28.06,28.06
SBIN,State Bank of India,PSU,725616.2172928,905.65,815.05,633.96,760.75,28.57,28.57
BPCL,Bharat Petroleum Corporation Limited,PSU,137400.614912,369.95,333.85,258.97,310.76,28.92,28.92
CANBK,Canara Bank,PSU,104956.493824,239.4,117.09,167.58,201.1,-30.13,30.13
HINDPETRO,Hindustan Petroleum Corporation Limited,PSU,86612.9149952,448.5,414.85,313.95,376.74,32.14,32.14
INDIANB,Indian Bank,PSU,85410.971648,651.8,625.0,456.26,547.51,36.98,36.98
BEL,Bharat Electronics Limited,PSU,285593.1215872,397.4,392.9,278.18,333.82,41.24,41.24
PNB,Punjab National Bank,PSU,126628.7771648,277.08,110.3,193.96,232.75,-43.13,43.13
UNIONBANK,Union Bank of India,PSU,117023.1525376,417.9,152.82,292.53,351.04,-47.76,47.76
BANKINDIA,Bank of India,PSU,56626.1121024,575.75,123.95,403.02,483.63,-69.25,69.25
RAYMOND,Raymond Limited,Non-PSU,4107.5531776,3229.5,607.95,2583.6,3100.32,-76.47,76.47
RELINFRA,Reliance Infrastructure Limited,Non-PSU,14719.3397248,2585.65,400.95,2068.52,2482.22,-80.62,80.62
KESORAMIND,Kesoram Industries Limited,Non-PSU,197.5823104,399.25,6.73,319.4,383.28,-97.89,97.89
