Symbol,Company Name,Type,MarketCap,All-Time High (ATH),Current Market Price (CMP),Buy Trigger Price,Sell Trigger Price,CMP Proximity to Buy (%),ClosenessAbs (%)
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,695.0,555.15,556.0,667.2,-0.15,0.15
ONGC,Oil & Natural Gas Corporation Limited,PSU,302002.6806272,341.75,240.06,239.22,287.07,0.35,0.35
IOC,Indian Oil Corporation Limited,PSU,198798.2524416,202.12,140.78,141.49,169.78,-0.5,0.5
ITC,ITC Limited,Non-PSU,526906.1894144,522.75,421.05,418.2,501.84,0.68,0.68
HINDUNILVR,Hindustan Unilever Limited,Non-PSU,561505.0555392,3028.55,2389.8,2422.84,2907.41,-1.36,1.36
INDUSTOWER,Indus Towers Limited,Non-PSU,103155.7545984,482.3,391.1,385.84,463.01,1.36,1.36
INFY,Infosys Limited,Non-PSU,648126.3460352,1999.7,1563.8,1599.76,1919.71,-2.25,2.25
HCLTECH,HCL Technologies Limited,Non-PSU,443638.1925376,1995.1,1637.7,1596.08,1915.3,2.61,2.61
PFC,Power Finance Corporation Limited,PSU,138208.3985408,570.6,418.4,399.42,479.3,4.75,4.75
NATIONALUM,National Aluminium Company Limited,PSU,34614.9650432,256.85,188.47,179.8,215.75,4.82,4.82
COALINDIA,Coal India Limited,PSU,245862.1313024,540.4,398.95,378.28,453.94,5.46,5.46
LICHSGFIN,LIC Housing Finance Limited,Non-PSU,33743.6147712,816.35,613.45,653.08,783.7,-6.07,6.07
HINDALCO,Hindalco Industries Limited,Non-PSU,145422.9553152,761.55,650.15,609.24,731.09,6.71,6.71
TCS,Tata Consultancy Services Limited,Non-PSU,1224434.0441088,4553.75,3384.2,3643.0,4371.6,-7.1,7.1
NTPC,NTPC Limited,PSU,322753.65888,443.2,332.85,310.24,372.29,7.29,7.29
VEDL,Vedanta Limited,Non-PSU,174976.9650176,522.0,448.05,417.6,501.12,7.29,7.29
SUNPHARMA,Sun Pharmaceutical Industries Limited,Non-PSU,402895.4836992,1948.7,1679.2,1558.96,1870.75,7.71,7.71
RECLTD,REC Limited,PSU,109357.8981376,645.8,415.0,452.06,542.47,-8.2,8.2
CIPLA,Cipla Limited,Non-PSU,121492.7208448,1680.5,1504.2,1344.4,1613.28,11.89,11.89
RELIANCE,Reliance Industries Limited,Non-PSU,1953416.347648,1600.9,1443.5,1280.72,1536.86,12.71,12.71
GRASIM,Grasim Industries Limited,Non-PSU,174650.8972032,2843.75,2574.4,2275.0,2730.0,13.16,13.16
GAIL,GAIL (India) Limited,PSU,125682.64704,240.97,191.15,168.68,202.41,13.32,13.32
AXISBANK,Axis Bank Limited,Non-PSU,370569.6944128,1317.3,1194.6,1053.84,1264.61,13.36,13.36
WIPRO,Wipro Limited,Non-PSU,260266.262528,360.75,248.59,288.6,346.32,-13.86,13.86
GICRE,General Insurance Corporation of India,PSU,70140.9329152,501.0,399.75,350.7,420.84,13.99,13.99
KOTAKBANK,Kotak Mahindra Bank Limited,Non-PSU,412243.72224,2268.8,2073.4,1815.04,2178.05,14.23,14.23
BAJAJ-AUTO,Bajaj Auto Limited,Non-PSU,241220.190208,12666.4,8637.0,10133.12,12159.74,-14.76,14.76
ULTRACEMCO,UltraTech Cement Limited,Non-PSU,331004.7461376,12237.0,11253.0,9789.6,11747.52,14.95,14.95
LICI,Life Insurance Corporation Of India,PSU,607105.1091968,1188.1,959.85,831.67,998.0,15.41,15.41
MARUTI,Maruti Suzuki India Limited,Non-PSU,391809.0207232,13495.6,12462.0,10796.48,12955.78,15.43,15.43
POWERGRID,Power Grid Corporation of India Limited,PSU,275158.4796672,365.45,295.8,255.82,306.98,15.63,15.63
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Non-PSU,317907.795968,1590.15,1471.7,1272.12,1526.54,15.69,15.69
LT,Larsen & Toubro Limited,Non-PSU,502843.6246528,3947.3,3656.3,3157.84,3789.41,15.78,15.78
IRB,IRB Infrastructure Developers Limited,Non-PSU,31191.4364928,76.85,51.65,61.48,73.78,-15.99,15.99
MAHABANK,Bank of Maharashtra,PSU,42341.9969536,94.25,55.04,65.97,79.17,-16.57,16.57
DRREDDY,Dr. Reddy's Laboratories Limited,Non-PSU,109906.9390848,1412.49,1320.9,1129.99,1355.99,16.89,16.89
OIL,Oil India Limited,PSU,69065.6575488,741.0,424.45,518.7,622.44,-18.17,18.17
BANKBARODA,Bank of Baroda,PSU,127370.5660416,296.95,246.18,207.87,249.44,18.43,18.43
SHRIRAMFIN,Shriram Finance Limited,Non-PSU,129427.4789376,725.69,688.25,580.55,696.66,18.55,18.55
HINDZINC,Hindustan Zinc Limited,Non-PSU,212216.6960128,772.3,502.25,617.84,741.41,-18.71,18.71
ADANIPOWER,Adani Power Limited,Non-PSU,214156.6009344,874.5,555.25,699.6,839.52,-20.63,20.63
M&M,Mahindra & Mahindra Limited,Non-PSU,372668.1833472,3211.1,3106.5,2568.88,3082.66,20.93,20.93
HYUNDAI,Hyundai Motor India Limited,Non-PSU,151222.0000256,1916.55,1861.1,1533.24,1839.89,21.38,21.38
