Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,ATH_Sales,ATH_Sales_Flag,Signal
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1943.0,False,28070.9,False,False,18.59,-1.25,False,172985.0,True,EXIT
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,731.0,False,49307.979999999996,False,False,-31.28,-31.73,False,,False,EXIT
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1431.800048828125,True,56090.159999999996,True,True,-5.51,-6.08,False,,False,HOLD
SBIN,State Bank of India,Financial Services,Banks - Regional,1071.0,False,62161.45,False,True,28.08,27.37,True,,False,HOLD
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,1102.199951171875,True,20303.53,True,True,20.54,19.86,True,,False,ADD
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,4080.0,False,16280.750000000002,True,True,6.67,7.3,True,255734.0,True,HOLD
LICI,Life Insurance Corporation of India,Financial Services,Insurance - Life,393.0,False,47354.67,False,False,-19.19,-19.7,False,889970.0,True,EXIT
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2087.199951171875,False,15028.0,True,False,-16.92,-22.26,False,63121.0,True,EXIT
INFY,Infosys Limited,Technology,Information Technology Services,1183.0,False,332.4,False,False,-22.22,-22.66,False,162990.0,True,EXIT
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1944.4000244140625,True,11256.259999999998,True,True,6.64,16.74,True,52578.0,True,ADD
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,14097.0,False,14777.4,True,False,0.57,6.18,True,152913.0,True,HOLD
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,5090.0,True,4825.0,True,True,35.79,41.31,True,60456.0,True,ADD
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,3010.0,False,7007.960000000001,False,True,26.08,32.4,True,127540.0,False,HOLD
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3517.0,False,18880.07,True,True,0.46,6.06,True,159211.0,True,HOLD
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,210.64999389648438,False,14687.210000000001,False,True,90.67,76.78,True,56203.0,True,HOLD
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,1681.0,False,13317.560000000001,True,True,20.47,21.08,True,30475.0,True,HOLD
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,393.5,False,15827.900000000001,False,False,-4.47,-5.03,False,,False,EXIT
AXISBANK,AXISBANK,Financial Services,Banks - Regional,1247.300048828125,False,28489.31,True,False,12.73,12.09,True,,False,HOLD
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,1357.199951171875,False,13188.0,False,False,-13.32,-13.82,False,117055.0,True,EXIT
ITC,ITC Limited,Consumer Defensive,Tobacco,282.6499938964844,False,19957.49,False,False,-32.37,-37.6,False,75323.0,True,EXIT
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials,12038.0,False,9533.34,True,True,-5.75,-6.77,False,75955.0,True,HOLD
NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,340.45001220703125,False,28706.79,True,False,7.61,-4.09,False,188138.0,True,EXIT
HAL,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense,4928.0,False,9115.6,True,True,4.55,5.18,True,30981.0,True,HOLD
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,2021.300048828125,False,10144.27,True,True,0.12,-0.47,False,133822.0,True,HOLD
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,11677.0,False,11759.400000000001,True,True,30.66,36.19,True,50995.0,True,HOLD
JSWSTEEL,JSWSTEEL,Basic Materials,Steel,1302.0,True,25344.0,True,True,19.39,18.3,True,175006.0,False,ADD
ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,239.83999633789062,False,41424.38,False,False,-10.39,-3.05,False,632291.0,False,EXIT
NESTLEIND,Nestlé India Limited,Consumer Defensive,Packaged Foods,1528.5999755859375,True,3477.1800000000003,False,True,39.33,33.61,True,24394.0,False,HOLD
BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense,404.3500061035156,False,5828.57,True,False,-1.31,-0.66,False,23769.0,True,EXIT
ETERNAL,Eternal Limited,Consumer Cyclical,Internet Retail,310.25,False,393.0,False,True,-8.31,-2.69,False,20243.0,True,EXIT
SHRIRAMFIN,Shriram Finance Limited,Financial Services,Credit Services,1137.800048828125,True,11162.76,False,True,81.79,80.84,True,,False,HOLD
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2750.0,False,4764.83,False,True,6.34,5.29,True,35495.0,False,HOLD
COALINDIA,Coal India Limited,Energy,Thermal Coal,411.0,False,35645.79,False,False,-4.73,2.45,False,144762.0,False,EXIT
HINDZINC,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining,595.1500244140625,False,16652.0,True,True,36.81,35.67,True,34098.0,False,HOLD
DMART,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,4054.0,False,3146.09,True,False,-3.15,-8.58,False,59358.0,True,EXIT
POWERGRID,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric,270.1000061035156,False,16504.74,False,False,0.55,-10.97,False,45843.0,False,EXIT
HINDALCO,Hindalco Industries Limited,Basic Materials,Aluminum,1054.050048828125,False,13391.0,False,True,52.07,50.89,True,238496.0,True,HOLD
TATASTEEL,Tata Steel Limited,Basic Materials,Steel,190.24000549316406,False,11034.54,False,False,15.73,14.65,True,243959.0,False,EXIT
ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable,1369.0,False,1283.0,False,True,56.98,43.98,True,11212.0,True,HOLD
GRASIM,Grasim Industries Limited,Basic Materials,Building Materials,3380.5,True,5908.91,False,True,20.9,19.8,True,148478.0,True,HOLD
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers,7975.0,True,5772.5199999999995,True,True,29.5,35.03,True,18451.0,True,ADD
DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,8300.0,True,2541.0,False,True,24.56,34.54,True,9360.0,True,HOLD
INDIGO,InterGlobe Aviation Limited,Industrials,Airlines,5333.5,False,5500.0,False,True,-14.03,-13.35,False,80803.0,True,EXIT
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,1632.0,False,2897.6299999999997,True,True,115.29,100.75,True,23767.0,True,HOLD
TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,4924.0,True,2181.0,True,True,22.02,32.01,True,11516.0,True,ADD
SBILIFE,SBI Life Insurance Company Limited,Financial Services,Insurance - Life,1855.0,False,2700.68,False,False,-4.05,-4.63,False,,False,EXIT
WIPRO,Wipro Limited,Technology,Information Technology Services,185.5,False,13219.0,True,False,-27.78,-28.19,False,90488.0,False,EXIT
VAML,Vedanta Aluminium Metal Limited,Basic Materials,Aluminum,472.6000061035156,True,7410.0,False,False,,,False,,False,EXIT
HYUNDAI,HYUNDAI,Consumer Cyclical,Auto Manufacturers,2223.0,False,4747.88,False,True,-6.57,-0.95,False,69829.0,False,EXIT
MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,Auto Parts,167.99000549316406,True,3859.6800000000003,True,True,72.47,77.9,True,113663.0,True,ADD
JIOFIN,Jio Financial Services Limited,Financial Services,Asset Management,254.0,False,1696.1100000000001,True,False,-26.23,-26.7,False,2043.0,True,EXIT
PIDILITIND,Pidilite Industries Limited,Basic Materials,Specialty Chemicals,1685.0,True,2742.0999999999995,True,True,4.62,3.58,True,13140.0,True,ADD
SOLARINDS,Solar Industries India Limited,Basic Materials,Specialty Chemicals,18820.0,True,1677.55,True,True,25.45,24.34,True,7540.0,True,ADD
TMCV,TMCV,Consumer Cyclical,Auto Manufacturers,450.20001220703125,False,5193.0,False,False,,,False,,False,EXIT
ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,7649.5,False,2930.54,True,True,45.98,46.53,True,13203.0,True,HOLD
TRENT,Trent Limited,Consumer Cyclical,Apparel Retail,3025.0,False,1719.65,False,False,-54.64,-48.9,False,17135.0,True,EXIT
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services,1920.0,True,5729.22,True,True,27.23,26.52,True,,False,ADD
DLF,DLF Limited,Real Estate,Real Estate - Development,660.0,False,4028.49,False,True,-0.58,-17.46,False,9926.0,False,EXIT
TATACAP,TATACAP,Financial Services,Credit Services,367.8500061035156,True,4306.27,True,True,,,False,,False,HOLD
ICICIAMC,ICICIAMC,Financial Services,Asset Management,3054.199951171875,False,3479.24,False,False,,,False,4977.0,True,EXIT
CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery,5448.0,False,2268.92,True,True,36.75,37.32,True,10391.0,True,HOLD
VBL,Varun Beverages Limited,Consumer Defensive,Beverages - Non-Alcoholic,445.5,False,3961.97,True,False,-10.58,-15.97,False,21685.0,True,EXIT
POWERINDIA,Hitachi Energy India Limited,Industrials,Electrical Equipment & Parts,36050.0,False,907.37,False,True,71.35,71.84,True,,False,HOLD
TECHM,Tech Mahindra Limited,Technology,Information Technology Services,1640.0,False,5081.5,True,True,5.61,4.99,True,53290.0,False,HOLD
BHEL,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery,409.0,False,2513.08,False,True,77.38,77.85,True,39561.0,False,HOLD
BSE,BSE Limited,Financial Services,Financial Data & Stock Exchanges,3596.10009765625,False,2831.5899999999997,True,True,45.28,44.49,True,3212.0,True,HOLD
SIEMENS,Siemens Limited,Industrials,Specialty Industrial Machinery,3914.300048828125,False,1555.2000000000003,False,True,22.72,23.32,True,22240.0,False,HOLD
UNIONBANK,Union Bank of India,Financial Services,Banks - Regional,181.13999938964844,False,20645.76,False,True,33.24,32.5,True,,False,HOLD
