Symbol,Company Name,Type,MarketCap,All-Time High (ATH),Current Market Price (CMP),Buy Trigger Price,Sell Trigger Price,CMP Proximity to Buy (%),ClosenessAbs (%)
ITC,ITC Limited,Non-PSU,526906.1894144,522.75,416.0,418.2,501.84,-0.53,0.53
INDUSTOWER,Indus Towers Limited,Non-PSU,103155.7545984,482.3,389.65,385.84,463.01,0.99,0.99
INFY,Infosys Limited,Non-PSU,648126.3460352,1999.7,1618.4,1599.76,1919.71,1.17,1.17
NATIONALUM,National Aluminium Company Limited,PSU,34614.9650432,256.85,181.93,179.8,215.75,1.19,1.19
COALINDIA,Coal India Limited,PSU,245862.1313024,540.4,384.25,378.28,453.94,1.58,1.58
IOC,Indian Oil Corporation Limited,PSU,198798.2524416,202.12,138.67,141.49,169.78,-1.99,1.99
PFC,Power Finance Corporation Limited,PSU,138208.3985408,570.6,390.35,399.42,479.3,-2.27,2.27
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,695.0,532.8,556.0,667.2,-4.17,4.17
ONGC,Oil & Natural Gas Corporation Limited,PSU,302002.6806272,341.75,251.56,239.22,287.07,5.16,5.16
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Non-PSU,317907.795968,1590.15,1338.0,1272.12,1526.54,5.18,5.18
VEDL,Vedanta Limited,Non-PSU,174976.9650176,522.0,439.5,417.6,501.12,5.24,5.24
HINDALCO,Hindalco Industries Limited,Non-PSU,145422.9553152,761.55,641.35,609.24,731.09,5.27,5.27
HINDUNILVR,Hindustan Unilever Limited,Non-PSU,561505.0555392,3028.55,2294.2,2422.84,2907.41,-5.31,5.31
SUNPHARMA,Sun Pharmaceutical Industries Limited,Non-PSU,402895.4836992,1948.7,1647.6,1558.96,1870.75,5.69,5.69
GICRE,General Insurance Corporation of India,PSU,70140.9329152,501.0,370.95,350.7,420.84,5.77,5.77
TCS,Tata Consultancy Services Limited,Non-PSU,1224434.0441088,4553.75,3424.0,3643.0,4371.6,-6.01,6.01
NTPC,NTPC Limited,PSU,322753.65888,443.2,330.05,310.24,372.29,6.39,6.39
GAIL,GAIL (India) Limited,PSU,125682.64704,240.97,180.41,168.68,202.41,6.95,6.95
HCLTECH,HCL Technologies Limited,Non-PSU,443638.1925376,1995.1,1713.9,1596.08,1915.3,7.38,7.38
