Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,ATH_Sales,ATH_Sales_Flag,Signal
CCHHL,Country Club Hospitality & Holidays Limited,Consumer Cyclical,Lodging,12.6899995803833,False,18.54,False,False,-42.03,-33.95,False,520.63,False,EXIT
ALANKIT,Alankit Limited,Technology,Information Technology Services,8.079999923706055,False,19.1,False,False,-51.18,-50.18,False,312.0,False,EXIT
VSTL,Vibhor Steel Tubes Limited,Basic Materials,Steel,107.01000213623047,False,8.79,False,False,-36.49,-36.01,False,,False,EXIT
ZODIACLOTH,Zodiac Clothing Company Limited,Consumer Cyclical,Apparel Manufacturing,77.62999725341797,False,35.05,True,False,-34.44,-26.37,False,405.0,False,EXIT
KOTARISUG,Kothari Sugars and Chemicals Limited,Consumer Defensive,Confectioners,26.43000030517578,False,26.67,True,False,-14.34,-18.11,False,433.0,False,EXIT
PKTEA,The Peria Karamalai Tea and Produce Company Limited,Consumer Defensive,Farm Products,691.7999877929688,False,23.189999999999998,True,False,14.02,10.04,True,72.79,False,HOLD
SSDL,SSDL,Consumer Cyclical,Apparel Retail,53.83000183105469,False,23.409999999999997,False,False,-52.61,-44.5,False,604.0,True,EXIT
NOVAAGRI,Nova Agritech Limited,Basic Materials,Agricultural Inputs,23.18000030517578,False,12.84,False,False,-62.74,-62.19,False,294.0,True,EXIT
QMSMEDI,QMSMEDI,Healthcare,Medical Instruments & Supplies,113.30000305175781,False,11.239999999999998,False,True,32.77,42.75,True,,False,HOLD
NECLIFE,Nectar Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,10.579999923706055,False,145.75,True,False,-35.67,-25.23,False,2779.0,False,EXIT
PILITA,Pil Italica Lifestyle Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",8.609999656677246,False,3.54,False,False,-53.47,-45.35,False,,False,EXIT
SAKHTISUG,Sakthi Sugars Limited,Consumer Defensive,Confectioners,17.209999084472656,False,195.89999999999998,False,False,-25.44,-29.14,False,3063.0,False,EXIT
JMA,Jullundur Motor Agency (Delhi) Limited,Consumer Cyclical,Auto Parts,88.41000366210938,False,29.71,True,True,-14.21,-6.2,False,556.0,True,HOLD
AKSHARCHEM,AksharChem (India) Limited,Basic Materials,Specialty Chemicals,278.2300109863281,False,11.540000000000003,False,True,2.8,3.17,True,380.0,False,HOLD
CPCAP,CP Capital Limited,Financial Services,Credit Services,116.12999725341797,False,42.58,True,True,-33.02,-31.54,False,,False,HOLD
SMARTLINK,Smartlink Holdings Limited,Technology,Communication Equipment,215.19000244140625,False,13.149999999999999,False,True,46.53,46.91,True,215.0,True,HOLD
SHRADHA,Shradha Realty Limited,Real Estate,Real Estate - Development,34.220001220703125,False,26.86,True,False,-32.21,-48.01,False,110.0,False,EXIT
SICAGEN,Sicagen India Limited,Basic Materials,Steel,74.05999755859375,False,18.07,False,False,,,False,,False,EXIT
VIJIFIN,Viji Finance Limited,Financial Services,Credit Services,11.25,False,4.33,True,True,155.33,155.93,True,,False,HOLD
AUSOMENT,AuSom Enterprise Limited,Financial Services,Capital Markets,140.8800048828125,False,19.48,False,True,32.62,33.79,True,2393.0,True,HOLD
INTENTECH,Intense Technologies Limited,Technology,Software - Infrastructure,83.38999938964844,False,28.69,True,False,-6.36,-5.65,False,127.4,True,EXIT
SPCENET,Spacenet Enterprises India Limited,Financial Services,Capital Markets,3.859999895095825,False,16.07,False,False,-42.93,-41.41,False,157.0,True,EXIT
BHARATGEAR,Bharat Gears Limited,Consumer Cyclical,Auto Parts,106.25,False,16.509999999999998,False,False,7.83,15.79,True,,False,EXIT
TEAMGTY,Team India Guaranty Limited,Financial Services,Asset Management,222.80999755859375,False,2.09,False,False,-32.1,-30.63,False,,False,EXIT
ESSENTIA,Integra Essentia Limited,Consumer Defensive,Food Distribution,1.2400000095367432,False,5.41,False,False,-34.54,-38.18,False,442.0,True,EXIT
SHREYANIND,Shreyans Industries Limited,Basic Materials,Paper & Paper Products,142.3300018310547,False,32.53,False,False,-41.77,-41.27,False,,False,EXIT
LANCORHOL,Lancor Holdings Limited,Real Estate,Real Estate - Development,25.760000228881836,False,45.879999999999995,True,True,31.95,15.33,True,190.0,True,HOLD
VIPCLOTHNG,VIP Clothing Limited,Consumer Cyclical,Apparel Manufacturing,20.729999542236328,False,9.81,False,False,-60.26,-52.12,False,,False,EXIT
GICL,GICL,Industrials,Integrated Freight & Logistics,19.90999984741211,False,10.17,True,False,-88.65,-87.47,False,157.0,True,EXIT
GILLANDERS,Gillanders Arbuthnot and Company Limited,Consumer Defensive,Farm Products,90.69000244140625,False,28.15,True,False,-32.47,-36.12,False,947.0,False,EXIT
AIRAN,Airan Limited,Technology,Information Technology Services,15.09000015258789,False,12.110000000000001,False,False,-48.45,-47.48,False,106.0,True,EXIT
DRCSYSTEMS,DRC Systems India Limited,Technology,Information Technology Services,13.319999694824219,False,19.93,True,False,-27.71,-26.86,False,65.0,True,EXIT
RACE,Race Eco Chain Limited,Industrials,Waste Management,108.76000213623047,False,6.77,True,False,-59.62,-58.51,False,555.0,True,EXIT
PLAZACABLE,Plaza Wires Limited,Industrials,Electrical Equipment & Parts,47.79999923706055,False,7.300000000000001,False,True,-18.96,-17.94,False,,False,EXIT
MURUDCERA,Murudeshwar Ceramics Ltd.,Industrials,Building Products & Equipment,31.100000381469727,False,10.79,True,False,-35.4,-34.35,False,202.0,True,EXIT
TAINWALCHM,Tainwala Chemicals and Plastics (India) Limited,Basic Materials,Specialty Chemicals,207.5,False,10.79,False,True,-15.78,-15.36,False,,False,EXIT
BYKE,The Byke Hospitality Limited,Consumer Cyclical,Lodging,33.619998931884766,False,6.709999999999999,False,False,-67.79,-59.64,False,,False,EXIT
SILGO,Silgo Retail Limited,Consumer Cyclical,Luxury Goods,70.16999816894531,False,5.27,True,False,12.94,20.88,True,44.37,True,HOLD
ASPINWALL,Aspinwall and Company Limited,Consumer Defensive,Farm Products,239.41000366210938,False,19.7,False,True,-13.73,-17.51,False,336.0,True,EXIT
RANASUG,Rana Sugars Limited,Consumer Defensive,Confectioners,12.529999732971191,False,57.13,False,False,-11.57,-15.37,False,1713.0,True,EXIT
BROOKS,Brooks Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,60.0099983215332,False,24.58,True,False,-75.91,-65.21,False,91.0,False,EXIT
KHADIM,Khadim India Limited,Consumer Cyclical,Footwear & Accessories,96.6500015258789,False,3.4499999999999997,False,False,-75.52,-67.35,False,799.0,False,EXIT
SUPREME,Supreme Holdings & Hospitality (India) Limited,Real Estate,Real Estate - Development,45.5,False,0.56,False,False,-26.15,-42.02,False,78.33,False,EXIT
SUPERHOUSE,Superhouse Limited,Consumer Cyclical,Footwear & Accessories,159.5,False,7.13,False,True,-13.5,-5.49,False,800.0,False,EXIT
RUDRA,Rudra Global Infra Products Limited,Basic Materials,Steel,17.760000228881836,False,13.52,False,False,,,False,561.0,True,EXIT
NIRAJ,Niraj Cement Structurals Limited,Industrials,Engineering & Construction,29.31999969482422,False,21.130000000000003,True,False,-47.76,-46.68,False,606.0,False,EXIT
ARVEE,Arvee Laboratories (India) Ltd.,Basic Materials,Specialty Chemicals,156.52000427246094,False,2.08,False,False,-12.35,-11.94,False,61.35,False,EXIT
VIRINCHI,Virinchi Limited,Technology,Software - Application,15.760000228881836,False,30.299999999999997,False,False,-46.29,-45.33,False,406.0,False,EXIT
VASWANI,Vaswani Industries Limited,Basic Materials,Steel,52.13999938964844,False,20.16,True,False,-2.17,-1.79,False,389.0,True,EXIT
VIPULLTD,Vipul Limited,Real Estate,Real Estate - Diversified,11.890000343322754,False,44.839999999999996,False,True,23.68,7.16,True,284.0,False,HOLD
SANGINITA,Sanginita Chemicals Limited,Basic Materials,Chemicals,59.099998474121094,False,9.899999999999999,True,True,484.02,482.99,True,230.0,True,HOLD
EMMBI,Emmbi Industries Limited,Consumer Cyclical,Packaging & Containers,83.81999969482422,False,7.890000000000001,True,False,-30.24,-22.18,False,404.0,True,EXIT
