Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_Peer_Group,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,TTM_Net_Sales,ATH_Sales,ATH_Sales_Flag,Signal
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1969.300048828125,False,15408.0,False,True,Sector: Communication Services,19.88,0.04,True,124600.0,121493.0,True,HOLD
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,729.0,False,75576.0,True,False,NIFTY BANK,-48.89,-29.05,False,309415.0,307522.0,True,EXIT
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1415.300048828125,True,52183.0,True,True,NIFTY BANK,-21.85,-3.94,False,172670.0,169946.0,True,HOLD
SBIN,State Bank of India,Financial Services,Banks - Regional,1061.199951171875,False,81993.0,True,True,NIFTY BANK,10.37,25.97,True,493000.0,482797.0,True,HOLD
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,1089.300048828125,False,19016.0,True,True,Sector: Financial Services,19.69,18.52,True,73287.0,71267.0,True,HOLD
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,4086.699951171875,False,7257.0,False,True,Sector: Industrials,12.22,10.6,True,156234.0,153680.0,True,HOLD
LICI,Life Insurance Corporation of India,Financial Services,Insurance - Life,410.0,False,59924.0,True,False,Sector: Financial Services,-9.61,-10.64,False,991507.0,976280.0,True,EXIT
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2055.0,False,15326.0,False,False,NIFTY FMCG,-14.9,-24.85,False,63458.0,61975.0,True,EXIT
INFY,Infosys Limited,Technology,Information Technology Services,1139.9000244140625,False,30346.0,True,False,NIFTY IT,-19.45,-25.64,False,153501.0,148819.0,True,EXIT
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1882.0,False,2994.0,False,True,NIFTY PHARMA,-6.89,12.81,False,20901.0,22977.0,False,EXIT
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,13760.0,False,14039.0,False,False,NIFTY AUTO,-28.14,-5.93,False,197129.0,183266.0,True,EXIT
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,5068.5,True,5299.0,True,True,Sector: Consumer Cyclical,43.7,38.15,True,81091.0,77554.0,True,ADD
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,3007.300048828125,False,9984.0,False,True,NIFTY METAL,-13.17,24.09,False,23138.0,57844.0,False,EXIT
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3390.39990234375,False,15874.0,True,True,NIFTY AUTO,-24.14,-2.19,False,155581.0,147765.0,True,HOLD
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,203.55999755859375,False,11974.0,False,True,NIFTY ENERGY,58.91,66.13,True,48589.0,49711.0,False,HOLD
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,1691.0,False,2631.0,False,True,Sector: Industrials,23.2,21.56,True,8937.0,8535.0,True,HOLD
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,392.70001220703125,False,14849.0,False,False,NIFTY BANK,-23.09,-5.09,False,56205.0,55564.0,True,EXIT
AXISBANK,AXISBANK,Financial Services,Banks - Regional,1227.300048828125,False,25764.0,False,False,NIFTY BANK,-5.24,11.48,False,129954.0,127032.0,True,EXIT
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,1325.0,False,11764.0,False,False,NIFTY IT,-5.68,-13.25,False,56295.0,55031.0,True,EXIT
ITC,ITC Limited,Consumer Defensive,Tobacco,273.04998779296875,False,18959.0,False,False,NIFTY FMCG,-25.86,-35.08,False,69071.0,71984.0,False,EXIT
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials,11681.0,False,7571.0,True,False,Sector: Basic Materials,-8.29,-11.09,False,86070.0,82170.0,True,EXIT
NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,337.0,False,23730.0,True,False,NIFTY ENERGY,-12.33,-3.28,False,166752.0,170037.0,False,EXIT
