Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,ATH_Sales,ATH_Sales_Flag,Signal
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1945.0,False,28070.9,False,False,19.96,0.23,True,172985.0,True,EXIT
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,729.0,False,49307.979999999996,False,False,-31.35,-30.88,False,,False,EXIT
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1431.699951171875,True,56090.159999999996,True,True,-4.56,-4.21,False,,False,HOLD
SBIN,State Bank of India,Financial Services,Banks - Regional,1082.0,False,62161.45,False,True,26.75,26.96,True,,False,HOLD
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,1094.199951171875,False,20303.53,True,True,23.15,23.39,True,,False,HOLD
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,4020.0,False,16280.750000000002,True,True,3.7,4.17,True,255734.0,True,HOLD
LICI,Life Insurance Corporation of India,Financial Services,Insurance - Life,417.0,False,47354.67,False,False,-14.29,-13.89,False,889970.0,True,EXIT
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2063.0,False,15028.0,True,False,-16.75,-21.83,False,63121.0,True,EXIT
INFY,Infosys Limited,Technology,Information Technology Services,1176.0999755859375,False,332.4,False,False,-21.46,-22.31,False,162990.0,True,EXIT
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1944.0,True,11256.259999999998,True,True,3.99,14.95,True,52578.0,True,ADD
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,13875.0,False,14777.4,True,False,-2.74,3.17,False,152913.0,True,EXIT
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,5099.0,True,4825.0,True,True,35.53,41.35,True,60456.0,True,ADD
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,2985.699951171875,False,7007.960000000001,False,True,17.9,25.59,True,127540.0,False,HOLD
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3403.60009765625,False,18880.07,True,True,-5.65,0.27,False,159211.0,True,HOLD
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,206.99000549316406,False,14687.210000000001,False,True,84.89,70.08,True,56203.0,True,HOLD
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,1665.0,False,13317.560000000001,True,True,19.82,20.25,True,30475.0,True,HOLD
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,390.5,False,15827.900000000001,False,False,-5.58,-5.22,False,,False,EXIT
AXISBANK,AXISBANK,Financial Services,Banks - Regional,1230.0,False,28489.31,True,False,9.77,10.06,True,,False,HOLD
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,1365.4000244140625,False,13188.0,False,False,-12.92,-13.81,False,117055.0,True,EXIT
ITC,ITC Limited,Consumer Defensive,Tobacco,276.1499938964844,False,19957.49,False,False,-33.59,-38.56,False,75323.0,True,EXIT
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials,11891.0,False,9533.34,True,True,-9.07,-9.37,False,75955.0,True,HOLD
NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,339.45001220703125,False,28706.79,True,False,7.7,-5.08,False,188138.0,True,EXIT
HAL,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense,4995.0,False,9115.6,True,True,7.93,8.39,True,30981.0,True,HOLD
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,2020.5,False,10144.27,True,True,0.67,1.01,True,133822.0,True,HOLD
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,11700.0,False,11759.400000000001,True,True,32.02,37.85,True,50995.0,True,HOLD
JSWSTEEL,JSWSTEEL,Basic Materials,Steel,1269.0999755859375,True,25344.0,True,True,16.56,16.18,True,175006.0,False,ADD
ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,239.0500030517578,False,41424.38,False,False,-11.91,-3.39,False,632291.0,False,EXIT
NESTLEIND,Nestlé India Limited,Consumer Defensive,Packaged Foods,1507.0,True,3477.1800000000003,False,True,38.68,33.23,True,24394.0,False,HOLD
BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense,405.70001220703125,False,5828.57,True,False,1.3,1.77,True,23769.0,True,HOLD
ETERNAL,Eternal Limited,Consumer Cyclical,Internet Retail,314.04998779296875,False,393.0,False,True,-8.15,-2.23,False,20243.0,True,EXIT
SHRIRAMFIN,Shriram Finance Limited,Financial Services,Credit Services,1117.199951171875,True,11162.76,False,True,77.7,77.69,True,,False,HOLD
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2740.0,False,4764.83,False,True,6.02,5.67,True,35495.0,False,HOLD
COALINDIA,Coal India Limited,Energy,Thermal Coal,409.29998779296875,False,35645.79,False,False,-7.06,1.32,False,144762.0,False,EXIT
HINDZINC,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining,584.5999755859375,False,16652.0,True,True,33.59,33.17,True,34098.0,False,HOLD
DMART,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,4040.0,False,3146.09,True,False,-4.72,-9.89,False,59358.0,True,EXIT
POWERGRID,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric,269.45001220703125,False,16504.74,False,False,2.41,-10.23,False,45843.0,False,EXIT
HINDALCO,Hindalco Industries Limited,Basic Materials,Aluminum,1078.5,False,13391.0,False,True,57.29,56.79,True,238496.0,True,HOLD
TATASTEEL,Tata Steel Limited,Basic Materials,Steel,186.1999969482422,False,11034.54,False,False,11.73,11.37,True,243959.0,False,EXIT
ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable,1332.300048828125,False,1283.0,False,True,52.18,38.23,True,11212.0,True,HOLD
GRASIM,Grasim Industries Limited,Basic Materials,Building Materials,3307.800048828125,True,5908.91,False,True,16.19,15.81,True,148478.0,True,HOLD
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers,8049.0,True,5772.5199999999995,True,True,31.54,37.37,True,18451.0,True,ADD
DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,8600.0,True,2541.0,False,True,28.59,39.38,True,9360.0,True,HOLD
INDIGO,InterGlobe Aviation Limited,Industrials,Airlines,5333.0,False,5500.0,False,True,-15.43,-14.92,False,80803.0,True,EXIT
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,1599.0,False,2897.6299999999997,True,True,113.93,98.35,True,23767.0,True,HOLD
TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,4893.0,True,2181.0,True,True,19.19,30.05,True,11516.0,True,ADD
SBILIFE,SBI Life Insurance Company Limited,Financial Services,Insurance - Life,1830.0,False,2700.68,False,False,-5.69,-5.33,False,,False,EXIT
WIPRO,Wipro Limited,Technology,Information Technology Services,183.94000244140625,False,13219.0,True,False,-27.99,-28.79,False,90488.0,False,EXIT
VAML,Vedanta Aluminium Metal Limited,Basic Materials,Aluminum,461.45001220703125,False,7410.0,False,False,,,False,,False,EXIT
HYUNDAI,HYUNDAI,Consumer Cyclical,Auto Manufacturers,2240.0,False,4747.88,False,True,-9.24,-3.31,False,69829.0,False,EXIT
MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,Auto Parts,169.5,True,3859.6800000000003,True,True,77.16,82.88,True,113663.0,True,ADD
JIOFIN,Jio Financial Services Limited,Financial Services,Asset Management,256.04998779296875,False,1696.1100000000001,True,False,-27.04,-26.59,False,2043.0,True,EXIT
PIDILITIND,Pidilite Industries Limited,Basic Materials,Specialty Chemicals,1701.5,True,2742.0999999999995,True,True,5.18,4.83,True,13140.0,True,ADD
SOLARINDS,Solar Industries India Limited,Basic Materials,Specialty Chemicals,18730.0,True,1677.55,True,True,23.87,23.47,True,7540.0,True,ADD
TMCV,TMCV,Consumer Cyclical,Auto Manufacturers,457.04998779296875,False,5193.0,False,False,,,False,,False,EXIT
ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,7710.0,False,2930.54,True,True,46.76,47.13,True,13203.0,True,HOLD
TRENT,Trent Limited,Consumer Cyclical,Apparel Retail,2987.0,False,1719.65,False,False,-55.26,-49.22,False,17135.0,True,EXIT
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services,1917.5999755859375,True,5729.22,True,True,27.08,27.29,True,,False,ADD
DLF,DLF Limited,Real Estate,Real Estate - Development,661.75,False,4028.49,False,True,-0.55,-17.52,False,9926.0,False,EXIT
