Symbol,Company Name,Type,MarketCap,All-Time High (ATH),Current Market Price (CMP),Buy Trigger Price,Sell Trigger Price,CMP Proximity to Buy (%),ClosenessAbs (%)
ITC,ITC Limited,Non-PSU,526906.1894144,522.75,418.55,418.2,501.84,0.08,0.08
NATIONALUM,National Aluminium Company Limited,PSU,34614.9650432,256.85,181.31,179.8,215.75,0.84,0.84
PFC,Power Finance Corporation Limited,PSU,138208.3985408,570.6,404.3,399.42,479.3,1.22,1.22
INFY,Infosys Limited,Non-PSU,648126.3460352,1999.7,1622.9,1599.76,1919.71,1.45,1.45
IOC,Indian Oil Corporation Limited,PSU,198798.2524416,202.12,138.65,141.49,169.78,-2.01,2.01
COALINDIA,Coal India Limited,PSU,245862.1313024,540.4,389.05,378.28,453.94,2.85,2.85
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,695.0,533.45,556.0,667.2,-4.06,4.06
INDUSTOWER,Indus Towers Limited,Non-PSU,103155.7545984,482.3,404.3,385.84,463.01,4.78,4.78
HINDUNILVR,Hindustan Unilever Limited,Non-PSU,561505.0555392,3028.55,2306.2,2422.84,2907.41,-4.81,4.81
ONGC,Oil & Natural Gas Corporation Limited,PSU,302002.6806272,341.75,253.01,239.22,287.07,5.76,5.76
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Non-PSU,317907.795968,1590.15,1349.3,1272.12,1526.54,6.07,6.07
TCS,Tata Consultancy Services Limited,Non-PSU,1224434.0441088,4553.75,3415.0,3643.0,4371.6,-6.26,6.26
VEDL,Vedanta Limited,Non-PSU,174976.9650176,522.0,444.0,417.6,501.12,6.32,6.32
HINDALCO,Hindalco Industries Limited,Non-PSU,145422.9553152,761.55,649.15,609.24,731.09,6.55,6.55
SUNPHARMA,Sun Pharmaceutical Industries Limited,Non-PSU,402895.4836992,1948.7,1663.2,1558.96,1870.75,6.69,6.69
GICRE,General Insurance Corporation of India,PSU,70140.9329152,501.0,377.2,350.7,420.84,7.56,7.56
NTPC,NTPC Limited,PSU,322753.65888,443.2,333.7,310.24,372.29,7.56,7.56
GAIL,GAIL (India) Limited,PSU,125682.64704,240.97,181.85,168.68,202.41,7.81,7.81
WIPRO,Wipro Limited,Non-PSU,260266.262528,360.75,264.0,288.6,346.32,-8.52,8.52
LICHSGFIN,LIC Housing Finance Limited,Non-PSU,33743.6147712,816.35,594.55,653.08,783.7,-8.96,8.96
OIL,Oil India Limited,PSU,69065.6575488,741.0,472.0,518.7,622.44,-9.0,9.0
HCLTECH,HCL Technologies Limited,Non-PSU,443638.1925376,1995.1,1739.9,1596.08,1915.3,9.01,9.01
CIPLA,Cipla Limited,Non-PSU,121492.7208448,1680.5,1499.7,1344.4,1613.28,11.55,11.55
LICI,Life Insurance Corporation Of India,PSU,607105.1091968,1188.1,936.55,831.67,998.0,12.61,12.61
BANKBARODA,Bank of Baroda,PSU,127370.5660416,296.95,234.15,207.87,249.44,12.65,12.65
RELIANCE,Reliance Industries Limited,Non-PSU,1953416.347648,1600.9,1453.0,1280.72,1536.86,13.45,13.45
RECLTD,REC Limited,PSU,109357.8981376,645.8,390.2,452.06,542.47,-13.68,13.68
POWERGRID,Power Grid Corporation of India Limited,PSU,275158.4796672,365.45,291.4,255.82,306.98,13.91,13.91
SHRIRAMFIN,Shriram Finance Limited,Non-PSU,129427.4789376,725.69,661.8,580.55,696.66,13.99,13.99
AXISBANK,Axis Bank Limited,Non-PSU,370569.6944128,1317.3,1220.7,1053.84,1264.61,15.83,15.83
LT,Larsen & Toubro Limited,Non-PSU,502843.6246528,3947.3,3662.0,3157.84,3789.41,15.97,15.97
ULTRACEMCO,UltraTech Cement Limited,Non-PSU,331004.7461376,12237.0,11401.0,9789.6,11747.52,16.46,16.46
DRREDDY,Dr. Reddy's Laboratories Limited,Non-PSU,109906.9390848,1412.49,1325.3,1129.99,1355.99,17.28,17.28
BAJAJ-AUTO,Bajaj Auto Limited,Non-PSU,241220.190208,12666.4,8371.0,10133.12,12159.74,-17.39,17.39
BAJFINANCE,Bajaj Finance Limited,Non-PSU,581890.473984,960.75,905.0,768.6,922.32,17.75,17.75
INDIGO,InterGlobe Aviation Limited,Non-PSU,211793.3727744,5695.0,5390.0,4556.0,5467.2,18.31,18.31
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Non-PSU,158605.0760704,14382.0,13614.0,11505.6,13806.72,18.32,18.32
MAHABANK,Bank of Maharashtra,PSU,42341.9969536,94.25,53.87,65.97,79.17,-18.35,18.35
ASTERDM,Aster DM Healthcare Limited,Non-PSU,29887.3126912,589.85,558.8,471.88,566.26,18.42,18.42
MARUTI,Maruti Suzuki India Limited,Non-PSU,391809.0207232,13495.6,12791.0,10796.48,12955.78,18.47,18.47
GRASIM,Grasim Industries Limited,Non-PSU,174650.8972032,2843.75,2712.6,2275.0,2730.0,19.24,19.24
KOTAKBANK,Kotak Mahindra Bank Limited,Non-PSU,412243.72224,2268.8,2169.8,1815.04,2178.05,19.55,19.55
IRB,IRB Infrastructure Developers Limited,Non-PSU,31191.4364928,76.85,48.63,61.48,73.78,-20.9,20.9
BPCL,Bharat Petroleum Corporation Limited,PSU,137400.614912,369.95,313.5,258.97,310.76,21.06,21.06
ICICIBANK,ICICI Bank Limited,Non-PSU,1041195.1783936,1460.6,1427.1,1168.48,1402.18,22.13,22.13
MUTHOOTFIN,Muthoot Finance Limited,Non-PSU,98226.176,2645.7,2606.4,2116.56,2539.87,23.14,23.14
M&M,Mahindra & Mahindra Limited,Non-PSU,372668.1833472,3211.1,3184.4,2568.88,3082.66,23.96,23.96
BAJAJFINSV,Bajaj Finserv Limited,Non-PSU,317403.0114816,3269.25,1986.2,2615.4,3138.48,-24.06,24.06
HDFCBANK,HDFC Bank Limited,Non-PSU,1515850.4062976,1978.9,1964.7,1583.12,1899.74,24.1,24.1
