Symbol,Company Name,Type,MarketCap,Date,Event_Type,Price,SMA20,SMA50,SMA200,Primary_Buy_Ref_Price,Details
ADANIENT,Adani Enterprises Limited,Non-PSU,292586.0487168,2023-11-03,Primary_Buy,2229.85,2360.77,2438.19,2444.08,2229.85,MA Crossover Buy
ADANIENT,Adani Enterprises Limited,Non-PSU,292586.0487168,2023-12-26,Primary_Sell,2865.45,2763.94,2470.38,2469.18,2229.85,Closed primary buy from 2023-11-03 at 2229.85
ADANIENT,Adani Enterprises Limited,Non-PSU,292586.0487168,2024-09-17,Primary_Buy,2975.2,3019.2,3063.0,3066.24,2975.2,MA Crossover Buy
ADANIENT,Adani Enterprises Limited,Non-PSU,292586.0487168,2024-11-21,Secondary_Buy_Dip,2183.65,2843.59,2967.62,3093.87,2975.2,10% dip from primary buy
ADANIENT,Adani Enterprises Limited,Non-PSU,292586.0487168,2024-11-28,Secondary_Sell_Rise,2437.1,2716.82,2899.66,3072.64,2975.2,Sell from secondary dip (buy at 2183.65)
ADANIENT,Adani Enterprises Limited,Non-PSU,292586.0487168,2025-06-26,Position_Still_Open,2586.2,2515.86,2468.13,2536.63,2975.2,Primary buy from 2024-09-17 at 2975.20 is still active. Secondary buy occurred and was sold.
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Non-PSU,317907.795968,2024-11-21,Primary_Buy,1114.65,1328.94,1387.2,1388.37,1114.65,MA Crossover Buy
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Non-PSU,317907.795968,2025-06-03,Primary_Sell,1432.3,1390.78,1279.57,1273.69,1114.65,Closed primary buy from 2024-11-21 at 1114.65
ADANIPOWER,Adani Power Limited,Non-PSU,214156.6009344,2024-11-05,Primary_Buy,603.45,608.72,633.69,634.67,603.45,MA Crossover Buy
ADANIPOWER,Adani Power Limited,Non-PSU,214156.6009344,2024-11-18,Secondary_Buy_Dip,526.85,585.13,621.06,636.42,603.45,10% dip from primary buy
ADANIPOWER,Adani Power Limited,Non-PSU,214156.6009344,2025-06-10,Secondary_Sell_Rise,596.05,554.47,542.65,554.96,603.45,Sell from secondary dip (buy at 526.85)
ADANIPOWER,Adani Power Limited,Non-PSU,214156.6009344,2025-06-25,Primary_Sell,557.0,555.41,551.63,549.2,603.45,Closed primary buy from 2024-11-05 at 603.45
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,2023-10-25,Primary_Buy,417.95,432.72,438.06,438.14,417.95,MA Crossover Buy
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,2023-12-14,Primary_Sell,520.25,459.68,440.12,439.5,417.95,Closed primary buy from 2023-10-25 at 417.95
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,2024-10-23,Primary_Buy,555.85,597.16,613.57,613.79,555.85,MA Crossover Buy
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,2024-11-21,Secondary_Buy_Dip,484.15,560.37,588.76,616.18,555.85,10% dip from primary buy
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,2024-12-02,Secondary_Sell_Rise,538.8,541.6,573.14,614.45,555.85,Sell from secondary dip (buy at 484.15)
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,2025-06-26,Position_Still_Open,566.75,551.03,552.78,548.13,555.85,Primary buy from 2024-10-23 at 555.85 is still active. Secondary buy occurred and was sold.
ASTERDM,Aster DM Healthcare Limited,Non-PSU,29887.3126912,2024-06-20,Primary_Buy,356.25,358.69,384.61,385.83,356.25,MA Crossover Buy
ASTERDM,Aster DM Healthcare Limited,Non-PSU,29887.3126912,2024-10-08,Primary_Sell,418.35,416.15,401.33,400.2,356.25,Closed primary buy from 2024-06-20 at 356.25
AXISBANK,Axis Bank Limited,Non-PSU,370569.6944128,2024-12-12,Primary_Buy,1145.65,1147.93,1160.67,1161.52,1145.65,MA Crossover Buy
AXISBANK,Axis Bank Limited,Non-PSU,370569.6944128,2025-01-15,Secondary_Buy_Dip,1026.8,1071.46,1119.01,1161.69,1145.65,10% dip from primary buy
