Symbol,Company Name,Type,MarketCap,All-Time High (ATH),Current Market Price (CMP),Buy Trigger Price,Sell Trigger Price,CMP Proximity to Buy (%),ClosenessAbs (%)
IOC,Indian Oil Corporation Limited,PSU,198798.2524416,202.12,141.68,141.49,169.78,0.14,0.14
ITC,ITC Limited,Non-PSU,526906.1894144,522.75,417.4,418.2,501.84,-0.19,0.19
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,695.0,550.9,556.0,667.2,-0.92,0.92
PFC,Power Finance Corporation Limited,PSU,138208.3985408,570.6,403.1,399.42,479.3,0.92,0.92
INDUSTOWER,Indus Towers Limited,Non-PSU,103155.7545984,482.3,392.1,385.84,463.01,1.62,1.62
INFY,Infosys Limited,Non-PSU,648126.3460352,1999.7,1639.9,1599.76,1919.71,2.51,2.51
NATIONALUM,National Aluminium Company Limited,PSU,34614.9650432,256.85,185.17,179.8,215.75,2.99,2.99
COALINDIA,Coal India Limited,PSU,245862.1313024,540.4,391.3,378.28,453.94,3.44,3.44
TCS,Tata Consultancy Services Limited,Non-PSU,1224434.0441088,4553.75,3515.3,3643.0,4371.6,-3.51,3.51
HINDUNILVR,Hindustan Unilever Limited,Non-PSU,561505.0555392,3028.55,2328.6,2422.84,2907.41,-3.89,3.89
HINDALCO,Hindalco Industries Limited,Non-PSU,145422.9553152,761.55,641.7,609.24,731.09,5.33,5.33
ONGC,Oil & Natural Gas Corporation Limited,PSU,302002.6806272,341.75,252.31,239.22,287.07,5.47,5.47
SUNPHARMA,Sun Pharmaceutical Industries Limited,Non-PSU,402895.4836992,1948.7,1650.2,1558.96,1870.75,5.85,5.85
OIL,Oil India Limited,PSU,69065.6575488,741.0,478.2,518.7,622.44,-7.81,7.81
LICHSGFIN,LIC Housing Finance Limited,Non-PSU,33743.6147712,816.35,600.75,653.08,783.7,-8.01,8.01
NTPC,NTPC Limited,PSU,322753.65888,443.2,335.2,310.24,372.29,8.05,8.05
GICRE,General Insurance Corporation of India,PSU,70140.9329152,501.0,379.4,350.7,420.84,8.18,8.18
HCLTECH,HCL Technologies Limited,Non-PSU,443638.1925376,1995.1,1729.6,1596.08,1915.3,8.37,8.37
WIPRO,Wipro Limited,Non-PSU,260266.262528,360.75,262.91,288.6,346.32,-8.9,8.9
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Non-PSU,317907.795968,1590.15,1392.3,1272.12,1526.54,9.45,9.45
VEDL,Vedanta Limited,Non-PSU,174976.9650176,522.0,458.95,417.6,501.12,9.9,9.9
RECLTD,REC Limited,PSU,109357.8981376,645.8,399.15,452.06,542.47,-11.7,11.7
RELIANCE,Reliance Industries Limited,Non-PSU,1953416.347648,1600.9,1431.2,1280.72,1536.86,11.75,11.75
CIPLA,Cipla Limited,Non-PSU,121492.7208448,1680.5,1503.5,1344.4,1613.28,11.83,11.83
