Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_Peer_Group,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,TTM_Net_Sales,ATH_Sales,ATH_Sales_Flag,Signal
ETERNAL,Eternal Limited,Consumer Cyclical,Internet Retail,315.8999938964844,False,2638.0,False,True,Sector: Consumer Cyclical,-12.37,-4.04,False,11835.0,10899.0,True,EXIT
NESTLEIND,Nestlé India Limited,Consumer Defensive,Packaged Foods,1462.5,False,3860.0,False,True,NIFTY FMCG,34.76,22.08,True,24437.0,24394.0,True,HOLD
DMART,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,3981.0,False,3330.0,True,False,Sector: Consumer Defensive,-29.1,-17.1,False,69379.0,66968.0,True,EXIT
SHRIRAMFIN,Shriram Finance Limited,Financial Services,Credit Services,1108.4000244140625,True,11287.0,True,True,Sector: Financial Services,74.75,77.58,True,49976.0,48120.0,True,ADD
LICI,Life Insurance Corporation of India,Financial Services,Insurance - Life,410.0,False,59924.0,True,False,Sector: Financial Services,-13.63,-10.25,False,991507.0,976280.0,True,EXIT
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2628.39990234375,False,4621.0,False,True,Sector: Basic Materials,-1.62,2.45,False,32084.0,31227.0,True,EXIT
COALINDIA,Coal India Limited,Energy,Thermal Coal,406.8999938964844,False,18901.0,True,False,NIFTY ENERGY,-5.9,3.9,False,1549.0,1951.0,False,EXIT
POWERGRID,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric,268.0,False,15679.0,False,False,NIFTY ENERGY,-19.26,-9.12,False,40771.0,43343.0,False,EXIT
HINDZINC,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining,558.0,False,16933.0,True,False,NIFTY METAL,-7.4,30.29,False,46622.0,40658.0,True,EXIT
TATASTEEL,Tata Steel Limited,Basic Materials,Steel,185.5,False,17077.0,False,False,NIFTY METAL,-25.44,13.45,False,145602.0,142913.0,True,EXIT
HINDALCO,Hindalco Industries Limited,Basic Materials,Aluminum,1041.5999755859375,False,13001.0,True,True,NIFTY METAL,8.99,45.59,True,118803.0,112553.0,True,HOLD
DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,8588.0,True,2941.0,False,True,NIFTY PHARMA,18.5,37.89,True,11005.0,10388.0,True,HOLD
ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable,1308.0,False,519.0,False,True,NIFTY ENERGY,25.62,34.61,True,19757.0,19613.0,True,HOLD
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers,8018.5,True,5241.0,True,True,NIFTY AUTO,12.08,33.31,True,24005.0,22700.0,True,ADD
GRASIM,Grasim Industries Limited,Basic Materials,Building Materials,3278.699951171875,True,713.0,False,True,Sector: Basic Materials,8.35,12.37,True,43611.0,41039.0,True,HOLD
TENNIND,TENNIND,Consumer Cyclical,Auto Parts,550.2999877929688,False,1181.0,False,False,Sector: Consumer Cyclical,,,False,2369.0,3057.0,False,EXIT
INDIGO,InterGlobe Aviation Limited,Industrials,Airlines,5220.0,False,-5045.0,False,True,Sector: Industrials,-25.68,-15.72,False,89050.0,84962.0,True,EXIT
TVSMOTOR,TVS Motor Company Limited,Consumer Cyclical,Auto Manufacturers,4356.7998046875,True,4016.0,True,True,NIFTY AUTO,10.36,31.7,True,51085.0,47270.0,True,ADD
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,1603.0,False,464.0,False,True,NIFTY ENERGY,84.65,92.13,True,3476.0,3383.0,True,HOLD
IOC,Indian Oil Corporation Limited,Energy,Oil & Gas Refining & Marketing,137.8000030517578,False,28452.0,False,False,NIFTY ENERGY,-13.82,-3.82,False,853623.0,839472.0,True,EXIT
TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,4971.0,True,1975.0,False,True,NIFTY PHARMA,13.82,33.46,True,12964.0,10712.0,True,HOLD
WIPRO,Wipro Limited,Technology,Information Technology Services,178.05999755859375,False,11299.0,False,False,NIFTY IT,-23.51,-28.91,False,72568.0,71345.0,True,EXIT
SOLARINDS,Solar Industries India Limited,Basic Materials,Specialty Chemicals,20100.0,True,1301.0,True,True,Sector: Basic Materials,29.02,32.96,True,5848.0,5579.0,True,ADD
SBILIFE,SBI Life Insurance Company Limited,Financial Services,Insurance - Life,1778.0,False,2601.0,True,False,Sector: Financial Services,-9.41,-6.05,False,119656.0,131988.0,False,EXIT
HYUNDAI,HYUNDAI,Consumer Cyclical,Auto Manufacturers,2186.0,False,4870.0,False,True,Sector: Consumer Cyclical,-24.96,-16.58,False,68831.0,68991.0,False,EXIT
MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,Auto Parts,170.39999389648438,True,1789.0,False,True,NIFTY AUTO,51.4,70.01,True,13247.0,12374.0,True,HOLD
TMCV,TMCV,Consumer Cyclical,Auto Manufacturers,471.6499938964844,False,3474.0,False,False,Sector: Consumer Cyclical,,,False,81046.0,77399.0,True,EXIT
VAML,Vedanta Aluminium Metal Limited,Basic Materials,Aluminum,445.95001220703125,False,,False,False,Sector: Basic Materials,,,False,,0.0,False,EXIT
PIDILITIND,Pidilite Industries Limited,Basic Materials,Specialty Chemicals,1674.0,True,2564.0,True,True,Sector: Basic Materials,2.7,6.74,True,14258.0,13488.0,True,ADD
DLF,DLF Limited,Real Estate,Real Estate - Development,665.75,False,3775.0,True,True,NIFTY REALTY,-12.54,-14.96,False,3774.0,4482.0,False,HOLD
JIOFIN,Jio Financial Services Limited,Financial Services,Asset Management,245.8000030517578,False,715.0,True,False,Sector: Financial Services,-29.52,-26.04,False,1034.0,949.0,True,EXIT
ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,7546.0,False,2988.0,True,True,NIFTY ENERGY,38.91,47.56,True,13477.0,13203.0,True,HOLD
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services,1868.0,True,5737.0,True,True,Sector: Financial Services,18.75,21.93,True,32570.0,31025.0,True,ADD
POWERINDIA,Hitachi Energy India Limited,Industrials,Electrical Equipment & Parts,35275.0,False,1150.0,True,True,NIFTY ENERGY,67.1,75.03,True,9162.0,8148.0,True,HOLD
TRENT,Trent Limited,Consumer Cyclical,Apparel Retail,2942.10009765625,False,2077.0,True,False,Sector: Consumer Cyclical,-56.54,-48.04,False,20586.0,19701.0,True,EXIT
TATACAP,TATACAP,Financial Services,Credit Services,363.1499938964844,False,3633.0,True,True,Sector: Financial Services,,,False,23811.0,23076.0,True,HOLD
ICICIAMC,ICICIAMC,Financial Services,Asset Management,3106.0,False,3486.0,True,False,Sector: Financial Services,,,False,6040.0,5999.0,True,EXIT
IDEA,Vodafone Idea Limited,Communication Services,Telecom Services,14.119999885559082,False,37402.0,True,True,Sector: Communication Services,114.0,98.29,True,45018.0,44715.0,True,HOLD
CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery,5350.0,False,2284.0,False,True,Sector: Industrials,27.97,37.75,True,12662.0,12143.0,True,HOLD
VBL,Varun Beverages Limited,Consumer Defensive,Beverages - Non-Alcoholic,439.29998779296875,False,2951.0,True,False,NIFTY FMCG,-6.64,-16.56,False,15696.0,14557.0,True,EXIT
BHEL,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery,425.0,True,2415.0,True,True,NIFTY ENERGY,88.76,96.13,True,35993.0,33782.0,True,ADD
TECHM,Tech Mahindra Limited,Technology,Information Technology Services,1592.0,False,3819.0,False,True,NIFTY IT,13.29,4.21,True,50551.0,48927.0,True,HOLD
UNIONBANK,Union Bank of India,Financial Services,Banks - Regional,185.5,False,19914.0,True,True,NIFTY BANK,20.33,35.93,True,106276.0,105992.0,True,HOLD
SIEMENS,Siemens Limited,Industrials,Specialty Industrial Machinery,3957.0,False,3062.0,True,True,NIFTY ENERGY,13.03,22.34,True,16065.0,22025.0,False,HOLD
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,Electrical Equipment & Parts,894.2000122070312,False,1394.0,True,True,NIFTY ENERGY,21.69,30.78,True,11748.0,11331.0,True,HOLD
BSE,BSE Limited,Financial Services,Financial Data & Stock Exchanges,3308.0,False,2667.0,True,True,Sector: Financial Services,27.52,30.64,True,5070.0,4801.0,True,HOLD
LTM,LTM Limited,Technology,Information Technology Services,4562.2001953125,False,4877.0,False,False,NIFTY IT,-4.33,-11.64,False,42049.0,40482.0,True,EXIT
POLYCAB,Polycab India Limited,Industrials,Electrical Equipment & Parts,9139.0,False,2806.0,True,True,Sector: Industrials,19.67,29.48,True,30479.0,28185.0,True,HOLD
BOSCHLTD,Bosch Limited,Consumer Cyclical,Auto Parts,48730.0,True,2357.0,False,True,NIFTY AUTO,-1.53,20.6,False,21088.0,20035.0,True,EXIT
BPCL,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,310.29998779296875,False,13217.0,False,False,NIFTY ENERGY,-12.9,-2.92,False,493790.0,473125.0,True,EXIT
PNB,Punjab National Bank,Financial Services,Banks - Regional,116.5,False,20482.0,True,True,NIFTY BANK,-10.49,7.31,False,129157.0,128223.0,True,HOLD
BRITANNIA,Britannia Industries Limited,Consumer Defensive,Packaged Foods,5495.0,False,2640.0,True,False,NIFTY FMCG,6.2,-4.58,False,18827.0,18446.0,True,EXIT
BANKBARODA,Bank of Baroda Limited,Financial Services,Banks - Regional,244.0,False,16758.0,False,False,NIFTY BANK,-20.11,-1.63,False,129113.0,126994.0,True,EXIT
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,8817.0,True,1571.0,True,True,Sector: Healthcare,-3.15,9.92,False,9814.0,9794.0,True,HOLD
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Asset Management,11254.0,False,3016.0,False,True,Sector: Financial Services,-26.54,-23.07,False,3222.0,3184.0,True,EXIT
ENRIN,Siemens Energy India Limited,Utilities,Utilities - Renewable,3593.199951171875,False,1488.0,True,True,NIFTY ENERGY,-4.32,5.44,False,9436.0,7827.0,True,HOLD
LODHA,Lodha Developers Limited,Real Estate,Real Estate - Development,1211.0999755859375,False,3325.0,True,True,NIFTY REALTY,-1.42,-4.96,False,15570.0,14542.0,True,HOLD
PFC,Power Finance Corporation Limited,Financial Services,Credit Services,374.45001220703125,False,20295.0,True,False,Sector: Financial Services,-13.48,-10.09,False,58723.0,58504.0,True,EXIT
TMPV,Tata Motors Passenger Vehicles Limited,Consumer Cyclical,Auto Manufacturers,322.79998779296875,False,82378.0,False,False,NIFTY AUTO,-81.75,-54.27,False,64356.0,73303.0,False,EXIT
TATAPOWER,The Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,381.0,False,882.0,False,False,NIFTY ENERGY,-13.74,-3.74,False,13629.0,22359.0,False,EXIT
GROWW,GROWW,Financial Services,Capital Markets,193.80999755859375,False,1879.0,True,False,Sector: Financial Services,,,False,3389.0,3331.0,True,EXIT
INDIANB,Indian Bank,Financial Services,Banks - Regional,875.0,False,12456.0,True,True,Sector: Financial Services,25.74,28.87,True,69258.0,67451.0,True,HOLD
CANBK,Canara Bank,Financial Services,Banks - Regional,129.10000610351562,False,19290.0,True,False,NIFTY BANK,-1.84,15.34,False,128320.0,126366.0,True,EXIT
LGEINDIA,LGEINDIA,Technology,Consumer Electronics,1649.4000244140625,True,1825.0,False,True,Sector: Technology,,,False,25575.0,24605.0,True,EXIT
CIPLA,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1431.0999755859375,False,3074.0,False,True,NIFTY PHARMA,-33.69,-11.55,False,19011.0,19045.0,False,EXIT
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services,Insurance - Life,538.25,False,1975.0,True,False,Sector: Financial Services,-36.79,-33.25,False,103132.0,101316.0,True,EXIT
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,5745.5,False,5597.0,True,True,NIFTY AUTO,-12.41,10.44,False,50250.0,46830.0,True,HOLD
GAIL,GAIL (India) Limited,Utilities,Utilities - Regulated Gas,173.5,False,9374.0,False,True,NIFTY ENERGY,-14.03,-4.02,False,142785.0,144250.0,False,EXIT
IRFC,Indian Railway Finance Corporation Limited,Financial Services,Credit Services,86.11000061035156,False,7191.0,True,False,Sector: Financial Services,-36.3,-32.77,False,28630.0,27285.0,True,EXIT
MUTHOOTFIN,Muthoot Finance Limited,Financial Services,Credit Services,2894.10009765625,False,10638.0,True,False,Sector: Financial Services,-0.18,3.12,False,29444.0,27558.0,True,EXIT
SBIFUNDS,SBIFUNDS,Financial Services,Asset Management,554.8499755859375,False,,False,False,Sector: Financial Services,,,False,,4970.0,False,EXIT
ZYDUSLIFE,Zydus Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1115.5999755859375,False,3515.0,False,True,NIFTY PHARMA,-7.85,12.93,False,11768.0,15116.0,False,EXIT
MARICO,Marico Limited,Consumer Defensive,Household & Personal Products,841.5499877929688,True,1640.0,False,True,NIFTY FMCG,23.86,11.9,True,9966.0,9402.0,True,HOLD
GVT&D,GE Vernova T&D India Limited,Industrials,Specialty Industrial Machinery,4195.0,False,1305.0,True,True,NIFTY ENERGY,41.54,50.12,True,6712.0,6206.0,True,HOLD
JINDALSTEL,Jindal Steel Limited,Basic Materials,Steel,1101.5,False,2536.0,False,False,NIFTY METAL,-30.85,8.4,False,56878.0,54215.0,True,EXIT
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,402.0,False,3327.0,True,True,Sector: Financial Services,33.49,36.58,True,18453.0,17473.0,True,HOLD
UNITDSPR,UNITDSPR,Consumer Defensive,Beverages - Wineries & Distilleries,1520.9000244140625,False,1963.0,True,True,NIFTY FMCG,26.25,14.13,True,12602.0,12448.0,True,HOLD
LLOYDSME,Lloyds Metals and Energy Limited,Basic Materials,Steel,1938.5999755859375,False,4087.0,True,True,NIFTY METAL,-1.68,35.63,False,16714.0,13681.0,True,HOLD
INDIAMART,IndiaMART InterMESH Limited,Communication Services,Internet Content & Information,1753.0999755859375,False,535.0,False,False,Sector: Communication Services,-22.69,-35.14,False,1472.0,1443.0,True,EXIT
GMRAIRPORT,GMR Airports Limited,Industrials,Airports & Air Services,101.38999938964844,False,378.0,True,True,Sector: Industrials,0.11,9.98,True,4991.0,4242.0,True,HOLD
TATACONSUM,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1061.5999755859375,False,1635.0,True,False,NIFTY FMCG,6.41,-4.38,False,15199.0,14700.0,True,EXIT
HDFCAMC,HDFC Asset Management Company Limited,Financial Services,Asset Management,2525.0,False,2950.0,True,False,Sector: Financial Services,-18.19,-14.77,False,4249.0,4611.0,False,EXIT
LENSKART,LENSKART,Healthcare,Medical Instruments & Supplies,628.4000244140625,True,523.0,True,False,Sector: Healthcare,,,False,5605.0,5248.0,True,EXIT
VEDL,Vedanta Limited,Basic Materials,Other Industrial Metals & Mining,264.0,False,16333.0,False,False,NIFTY METAL,-84.33,-41.52,False,27299.0,70757.0,False,EXIT
MAZDOCK,Mazagon Dock Shipbuilders Limited,Industrials,Aerospace & Defense,2587.0,False,2526.0,True,True,Sector: Industrials,-18.06,-8.13,False,12985.0,12840.0,True,HOLD
AMBUJACEM,Ambuja Cements Limited,Basic Materials,Building Materials,412.3999938964844,False,3495.0,False,False,Sector: Basic Materials,-35.53,-31.33,False,24803.0,25062.0,False,EXIT
