Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA200_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,ATH_Sales,Signal
RELIANCE,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1334.800048828125,False,83556.0,True,False,-16.81,-8.42,False,962820.0,EXIT
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1959.9000244140625,False,30925.3,False,True,16.06,-2.55,False,172985.0,EXIT
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,731.0,False,49307.979999999996,False,False,-31.57,-31.22,False,,EXIT
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1421.0,True,56090.159999999996,True,True,-6.06,-5.83,False,,HOLD
SBIN,State Bank of India,Financial Services,Banks - Regional,1097.199951171875,False,62161.45,False,True,31.72,31.79,True,,HOLD
TCS,Tata Consultancy Services Limited,Technology,Information Technology Services,2452.699951171875,False,50484.0,True,False,-24.44,-23.99,False,267021.0,EXIT
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,1078.0,False,20303.53,True,True,18.01,18.14,True,,HOLD
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,4056.0,False,16280.750000000002,True,True,6.61,6.89,True,255734.0,HOLD
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2096.0,False,15028.0,True,False,-16.13,-21.23,False,63121.0,EXIT
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1945.0,True,10511.350000000002,False,True,7.23,17.2,True,52578.0,HOLD
INFY,Infosys Limited,Technology,Information Technology Services,1175.0999755859375,False,332.4,False,False,-23.15,-22.71,False,162990.0,EXIT
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,14037.0,False,15241.6,True,False,0.4,6.64,True,152913.0,HOLD
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,4941.0,True,4825.0,True,True,34.02,40.17,True,60456.0,ADD
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,3020.0,False,7007.960000000001,False,True,22.44,29.75,True,127540.0,HOLD
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3502.0,False,18880.07,True,True,-1.66,4.57,False,159211.0,HOLD
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,209.0,False,14687.210000000001,False,True,86.77,76.01,True,56203.0,HOLD
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,1693.5,False,13317.560000000001,True,True,21.14,21.39,True,30475.0,HOLD
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,390.75,False,15827.900000000001,False,False,-6.65,-6.41,False,,EXIT
AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional,1238.0,False,28489.31,True,False,10.39,10.55,True,,HOLD
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,1356.5999755859375,False,13188.0,False,False,-12.92,-12.54,False,117055.0,EXIT
ITC,ITC Limited,Consumer Defensive,Tobacco,286.1000061035156,False,20494.55,False,False,-30.31,-35.31,False,75323.0,EXIT
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials,12105.0,False,9533.34,True,True,-5.23,-5.85,False,75955.0,HOLD
NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,342.5,False,28706.79,True,False,8.0,-0.62,False,188138.0,EXIT
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,2008.9000244140625,False,9800.970000000001,True,True,0.27,0.47,True,133822.0,HOLD
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,11662.0,False,11759.400000000001,True,True,31.07,37.23,True,50995.0,HOLD
HAL,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense,4910.0,False,9115.6,True,True,3.12,3.41,True,30981.0,HOLD
JSWSTEEL,JSW Steel Limited,Basic Materials,Steel,1299.5,True,25344.0,True,True,18.25,17.56,True,175006.0,ADD
ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,238.85000610351562,False,41424.38,False,False,-10.61,-2.38,False,632291.0,EXIT
NESTLEIND,Nestlé India Limited,Consumer Defensive,Packaged Foods,1540.0,True,3477.1800000000003,False,True,38.81,33.35,True,24394.0,HOLD
BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense,401.0,False,5828.57,True,False,-1.37,-1.07,False,23769.0,EXIT
ETERNAL,Eternal Limited,Consumer Cyclical,Internet Retail,315.0,False,393.0,False,True,-6.34,-0.09,False,20243.0,EXIT
LICI,Life Insurance Corporation of India,Financial Services,Insurance - Life,394.0,False,47354.67,False,False,-15.72,-15.45,False,889970.0,EXIT
POWERGRID,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric,271.6000061035156,False,16504.74,False,False,-0.99,-9.37,False,45843.0,EXIT
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2735.0,False,4764.83,False,True,5.29,4.63,True,35495.0,HOLD
DMART,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,3900.0,False,3146.09,True,False,-7.86,-13.01,False,59358.0,EXIT
COALINDIA,Coal India Limited,Energy,Thermal Coal,415.25,False,35645.79,False,False,-3.09,4.92,False,144762.0,EXIT
SHRIRAMFIN,Shriram Finance Limited,Financial Services,Credit Services,1115.0,True,11162.76,False,True,73.36,73.25,True,,HOLD
TATASTEEL,Tata Steel Limited,Basic Materials,Steel,187.5500030517578,False,11034.54,False,False,13.65,12.98,True,243959.0,EXIT
HINDZINC,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining,603.0,False,16652.0,True,True,38.26,37.51,True,34098.0,HOLD
ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable,1372.4000244140625,False,1283.0,False,True,51.84,42.03,True,11212.0,HOLD
HINDALCO,Hindalco Industries Limited,Basic Materials,Aluminum,1059.5999755859375,False,13391.0,False,True,50.58,49.79,True,238496.0,HOLD
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers,8020.0,True,5772.5199999999995,True,True,30.51,36.67,True,18451.0,ADD
DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,8275.0,True,2541.0,False,True,20.6,30.47,True,9360.0,HOLD
GRASIM,Grasim Industries Limited,Basic Materials,Building Materials,3323.0,True,5908.91,False,True,17.32,16.63,True,148478.0,HOLD
TVSMOTOR,TVS Motor Company Limited,Consumer Cyclical,Auto Manufacturers,4440.89990234375,True,3242.2799999999997,True,True,36.74,42.89,True,44089.0,ADD
INDIGO,InterGlobe Aviation Limited,Industrials,Airlines,5333.0,False,5500.0,False,True,-13.79,-13.46,False,80803.0,EXIT
IOC,Indian Oil Corporation Limited,Energy,Oil & Gas Refining & Marketing,143.3800048828125,False,42402.35,True,False,-11.53,-3.28,False,841756.0,EXIT
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,1630.0999755859375,False,2897.6299999999997,True,True,112.1,100.66,True,23767.0,HOLD
TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,4924.0,True,2181.0,False,True,22.55,32.42,True,11516.0,HOLD
SBILIFE,SBI Life Insurance Company Limited,Financial Services,Insurance - Life,1855.5,False,2700.68,False,False,-5.02,-4.79,False,,EXIT
WIPRO,Wipro Limited,Technology,Information Technology Services,187.52999877929688,False,13219.0,True,False,-27.57,-27.1,False,90488.0,EXIT
VAML,Vedanta Aluminium Metal Limited,Basic Materials,Aluminum,470.04998779296875,False,7410.0,False,False,,,False,,EXIT
HYUNDAI,HYUNDAI,Consumer Cyclical,Auto Manufacturers,2200.5,False,4747.88,False,True,-7.92,-1.67,False,69829.0,EXIT
JIOFIN,Jio Financial Services Limited,Financial Services,Asset Management,256.79998779296875,False,1696.1100000000001,True,False,-25.92,-25.59,False,2043.0,EXIT
SOLARINDS,Solar Industries India Limited,Basic Materials,Specialty Chemicals,18650.0,True,1677.55,True,True,21.42,20.72,True,7540.0,ADD
PIDILITIND,Pidilite Industries Limited,Basic Materials,Specialty Chemicals,1660.0,True,2292.03,True,True,4.99,4.34,True,13140.0,ADD
DLF,DLF Limited,Real Estate,Real Estate - Development,642.0,False,4516.79,False,True,-3.84,-19.97,False,9926.0,EXIT
TMCV,TMCV,Consumer Cyclical,Auto Manufacturers,453.1000061035156,False,5193.0,False,False,,,False,,EXIT
TRENT,Trent Limited,Consumer Cyclical,Apparel Retail,2997.0,False,1719.65,False,False,-54.34,-47.98,False,17135.0,EXIT
MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,Auto Parts,168.5,True,3859.6800000000003,True,True,68.47,74.54,True,113663.0,ADD
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services,1866.199951171875,True,5729.22,True,True,20.81,20.93,True,,ADD
ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,7600.0,False,3042.87,True,True,43.8,44.0,True,13203.0,HOLD
TATACAP,TATACAP,Financial Services,Credit Services,370.29998779296875,True,4306.27,True,True,,,False,,HOLD
ICICIAMC,ICICIAMC,Financial Services,Asset Management,3072.800048828125,False,3479.24,False,False,,,False,4977.0,EXIT
CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery,5426.0,False,2268.92,True,True,43.0,43.2,True,10391.0,HOLD
VBL,Varun Beverages Limited,Consumer Defensive,Beverages - Non-Alcoholic,442.0,False,3961.97,True,False,-11.43,-16.56,False,21685.0,EXIT
BSE,BSE Limited,Financial Services,Financial Data & Stock Exchanges,3457.10009765625,False,2496.9799999999996,True,True,37.03,37.07,True,3212.0,HOLD
TECHM,Tech Mahindra Limited,Technology,Information Technology Services,1635.0,False,5081.5,False,True,5.57,5.84,True,53290.0,HOLD
POWERINDIA,Hitachi Energy India Limited,Industrials,Electrical Equipment & Parts,32600.0,False,907.37,False,True,52.75,52.93,True,,HOLD
BHEL,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery,405.20001220703125,False,2513.08,False,True,73.13,73.26,True,39561.0,HOLD
IDEA,Vodafone Idea Limited,Communication Services,Telecom Services,12.729999542236328,False,69388.3,True,True,104.74,84.95,True,44958.0,HOLD
PFC,Power Finance Corporation Limited,Financial Services,Credit Services,420.0,False,25900.96,True,True,-2.0,-1.78,False,,HOLD
POLYCAB,Polycab India Limited,Industrials,Electrical Equipment & Parts,9218.0,False,2770.92,True,True,29.25,29.48,True,22408.0,HOLD
BPCL,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,321.0,False,21524.66,False,False,-9.24,-1.05,False,473187.0,EXIT
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,Electrical Equipment & Parts,879.0,False,1232.56,False,True,24.24,24.48,True,13632.0,HOLD
SIEMENS,Siemens Limited,Industrials,Specialty Industrial Machinery,3940.10009765625,False,1555.2000000000003,False,True,21.67,21.92,True,22240.0,HOLD
UNIONBANK,Union Bank of India,Financial Services,Banks - Regional,183.60000610351562,False,20645.76,True,True,34.08,34.13,True,,HOLD
BRITANNIA,Britannia Industries Limited,Consumer Defensive,Packaged Foods,5510.0,False,2438.9700000000003,True,False,1.34,-3.87,False,17943.0,EXIT
PNB,Punjab National Bank,Financial Services,Banks - Regional,114.80999755859375,False,19082.13,False,False,4.99,5.18,True,,EXIT
LTM,LTM Limited,Technology,Information Technology Services,4658.10009765625,False,5083.299999999999,False,False,-12.39,-12.02,False,38008.0,EXIT
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,8945.0,True,1854.0,True,True,10.33,20.27,True,21794.0,ADD
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Asset Management,11263.0,False,9636.75,True,True,-23.06,-22.75,False,1702.0,HOLD
BANKBARODA,Bank of Baroda Limited,Financial Services,Banks - Regional,250.6999969482422,False,16496.15,False,False,-1.13,-0.91,False,,EXIT
MUTHOOTFIN,Muthoot Finance Limited,Financial Services,Credit Services,2890.0,False,10590.330000000002,True,False,5.02,5.21,True,,HOLD
TMPV,Tata Motors Passenger Vehicles Limited,Consumer Cyclical,Auto Manufacturers,347.0,False,89363.0,True,False,-57.18,-50.81,False,439695.0,EXIT
LODHA,Lodha Developers Limited,Real Estate,Real Estate - Development,1218.699951171875,False,4011.6000000000004,True,True,11.54,-4.79,False,13780.0,HOLD
TATAPOWER,The Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,380.54998779296875,False,3863.26,False,False,2.7,-5.78,False,65478.0,EXIT
BOSCHLTD,Bosch Limited,Consumer Cyclical,Auto Parts,42950.0,True,2773.2,True,True,0.64,6.87,True,18087.0,ADD
GROWW,GROWW,Financial Services,Capital Markets,190.5,False,2346.6699999999996,False,False,,,False,4061.0,EXIT
SBIFUNDS,SBIFUNDS,Financial Services,Asset Management,571.75,False,1241.6,False,False,,,False,,EXIT
GAIL,GAIL (India) Limited,Utilities,Utilities - Regulated Gas,173.6300048828125,False,8101.85,False,True,6.54,-2.04,False,145668.0,EXIT
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services,Insurance - Life,540.0,False,2075.2200000000003,True,False,-33.39,-33.03,False,101482.0,EXIT
CIPLA,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1463.800048828125,False,3317.1099999999997,False,True,-16.43,-6.31,False,27548.0,EXIT
IRFC,Indian Railway Finance Corporation Limited,Financial Services,Credit Services,88.75,False,7159.4,False,False,-35.11,-34.74,False,,EXIT
LLOYDSME,Lloyds Metals and Energy Limited,Basic Materials,Steel,2101.199951171875,True,3680.8400000000006,True,True,43.14,42.38,True,6721.0,ADD
ENRIN,Siemens Energy India Limited,Utilities,Utilities - Renewable,3648.800048828125,False,1309.8,False,True,19.36,10.43,True,,HOLD
CANBK,Canara Bank,Financial Services,Banks - Regional,131.9499969482422,False,18203.559999999998,True,False,16.66,16.79,True,,HOLD
MARICO,Marico Limited,Consumer Defensive,Household & Personal Products,862.0,True,1762.0,True,True,20.82,15.48,True,10831.0,ADD
INDIANB,Indian Bank,Financial Services,Banks - Regional,889.5,False,11952.93,True,True,32.79,32.86,True,,HOLD
ZYDUSLIFE,Zydus Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1114.199951171875,False,4952.299999999999,True,True,3.5,13.49,True,23242.0,HOLD
JINDALSTEL,Jindal Steel Limited,Basic Materials,Steel,1103.0,False,3573.9399999999996,False,False,6.53,5.87,True,53212.0,EXIT
HDFCAMC,HDFC Asset Management Company Limited,Financial Services,Asset Management,2545.0,False,2229.21,False,False,-14.9,-14.63,False,4051.0,EXIT
GMRAIRPORT,GMR Airports Limited,Industrials,Airports & Air Services,107.19999694824219,False,672.86,True,True,13.53,13.8,True,11088.0,HOLD
GVT&D,GE Vernova T&D India Limited,Industrials,Specialty Industrial Machinery,4299.0,False,1120.26,True,True,49.49,49.68,True,4020.0,HOLD
