Symbol,Company Name,Type,MarketCap,Date,Event_Type,Price,SMA20,SMA50,SMA200,Primary_Buy_Ref_Price,Details
AWL,AWL Agri Business Ltd,V40Next,33573.66026,2025-12-22,Primary_Buy,241.7,250.37,262.57,262.93,241.7,MA Crossover Buy
AWL,AWL Agri Business Ltd,V40Next,33573.66026,2025-12-23,Position_Still_Open,241.7,248.88,262.03,262.94,241.7,Primary buy from 2025-12-22 at 241.70 is still active. No secondary buy triggered yet for this primary cycle.
AXISBANK,Axis Bank Limited,V40,379957.4118,2024-03-22,Primary_Buy,1033.3,1077.83,1078.59,1084.15,1033.3,MA Crossover Buy
AXISBANK,Axis Bank Limited,V40,379957.4118,2024-05-17,Primary_Sell,1141.35,1118.76,1087.97,1087.31,1033.3,Closed primary buy from 2024-03-22 at 1033.30
AXISBANK,Axis Bank Limited,V40,379957.4118,2024-12-12,Primary_Buy,1145.65,1147.93,1160.67,1161.52,1145.65,MA Crossover Buy
AXISBANK,Axis Bank Limited,V40,379957.4118,2025-01-15,Secondary_Buy_Dip,1026.8,1071.46,1119.01,1161.69,1145.65,10% dip from primary buy
AXISBANK,Axis Bank Limited,V40,379957.4118,2025-04-16,Secondary_Sell_Rise,1161.3,1081.98,1039.45,1129.12,1145.65,Sell from secondary dip (buy at 1026.80)
AXISBANK,Axis Bank Limited,V40,379957.4118,2025-05-21,Primary_Sell,1197.8,1187.72,1123.87,1120.59,1145.65,Closed primary buy from 2024-12-12 at 1145.65
AXISBANK,Axis Bank Limited,V40,379957.4118,2025-09-08,Primary_Buy,1055.5,1064.14,1102.52,1105.1,1055.5,MA Crossover Buy
AXISBANK,Axis Bank Limited,V40,379957.4118,2025-10-15,Primary_Sell,1169.6,1162.9,1107.36,1106.46,1055.5,Closed primary buy from 2025-09-08 at 1055.50
BAJAJ-AUTO,Bajaj Auto Limited,V40,235760.0453,2024-12-23,Primary_Buy,8768.45,9009.59,9679.2,9721.35,8768.45,MA Crossover Buy
BAJAJ-AUTO,Bajaj Auto Limited,V40,235760.0453,2025-03-03,Secondary_Buy_Dip,7714.8,8573.39,8648.92,9681.79,8768.45,10% dip from primary buy
BAJAJ-AUTO,Bajaj Auto Limited,V40,235760.0453,2025-05-19,Secondary_Sell_Rise,8851.0,8094.85,7874.67,9301.54,8768.45,Sell from secondary dip (buy at 7714.80)
BAJAJ-AUTO,Bajaj Auto Limited,V40,235760.0453,2025-09-09,Primary_Sell,9383.0,8767.88,8461.12,8452.31,8768.45,Closed primary buy from 2024-12-23 at 8768.45
BAJAJFINSV,Bajaj Finserv Limited,V40,326015.9361,2024-03-06,Primary_Buy,1554.6,1587.09,1620.82,1621.82,1554.6,MA Crossover Buy
BAJAJFINSV,Bajaj Finserv Limited,V40,326015.9361,2024-09-02,Primary_Sell,1840.55,1626.13,1611.67,1610.03,1554.6,Closed primary buy from 2024-03-06 at 1554.60
