Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,TTM_Net_Sales,ATH_Sales,ATH_Sales_Flag,Signal
NETWORK18,Network18 Media & Investments Limited,Communication Services,Entertainment,29.010000228881836,False,-328.0,False,False,-34.45,-52.42,False,2000.0,1955.0,True,EXIT
DHANUKA,Dhanuka Agritech Limited,Basic Materials,Agricultural Inputs,1013.5,False,268.0,False,False,-41.2,-40.73,False,1953.0,2035.0,False,EXIT
IDEAFORGE,ideaForge Technology Limited,Technology,Computer Hardware,781.7999877929688,False,12.0,False,True,67.19,66.15,True,282.0,317.0,False,HOLD
RESPONIND,Responsive Industries Limited,Basic Materials,Specialty Chemicals,168.7100067138672,False,11.0,False,False,-19.55,-19.14,False,540.0,1835.0,False,EXIT
HIRECT,Hind Rectifiers Limited,Industrials,Electrical Equipment & Parts,1253.300048828125,False,60.0,True,True,26.11,27.46,True,971.0,949.0,True,HOLD
SYMPHONY,Symphony Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",631.25,False,-175.0,False,False,-44.19,-37.91,False,777.0,1182.0,False,EXIT
VIPIND,V.I.P. Industries Limited,Consumer Cyclical,Footwear & Accessories,307.70001220703125,False,-379.0,False,False,-34.48,-28.23,False,1857.0,2216.0,False,EXIT
NRBBEARING,NRB Bearings Limited,Consumer Cyclical,Auto Parts,458.8999938964844,True,130.0,False,True,52.54,58.58,True,1227.0,1186.0,True,HOLD
MARINE,Marine Electricals (India) Limited,Industrials,Electrical Equipment & Parts,371.20001220703125,True,59.0,True,True,110.88,112.04,True,834.0,747.0,True,ADD
NORTHARC,Northern Arc Capital Limited,Financial Services,Credit Services,286.5,False,447.0,True,True,16.48,17.18,True,2817.0,2635.0,True,HOLD
RAYMONDLSL,Raymond Lifestyle Limited,Consumer Cyclical,Apparel Manufacturing,738.5499877929688,False,19.0,False,False,-39.33,-33.06,False,5362.0,5356.0,True,EXIT
CAPILLARY,CAPILLARY,Technology,Software - Infrastructure,538.0499877929688,False,16.0,False,False,,,False,234.0,212.0,True,EXIT
ELECTCAST,Electrosteel Castings Limited,Industrials,Building Products & Equipment,72.8499984741211,False,51.0,False,False,-32.29,-30.8,False,4722.0,6938.0,False,EXIT
HAWKINCOOK,Hawkins Cookers Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",8305.5,False,136.0,True,False,,,False,1332.0,1253.0,True,EXIT
GMMPFAUDLR,GMM Pfaudler Limited,Industrials,Specialty Industrial Machinery,1012.9000244140625,False,54.0,False,True,-27.19,-25.71,False,1039.0,1075.0,False,EXIT
TEXRAIL,Texmaco Rail & Engineering Limited,Industrials,Railroads,104.8499984741211,False,211.0,True,False,-26.8,-25.32,False,4214.0,4371.0,False,EXIT
EMUDHRA,eMudhra Limited,Technology,Software - Application,529.5,False,39.0,True,True,-32.99,-33.42,False,279.0,269.0,True,HOLD
RPGLIFE,RPG Life Sciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2830.5,False,119.0,False,True,8.54,20.02,True,734.0,708.0,True,HOLD
MOREPENLAB,Morepen Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,84.19000244140625,False,112.0,True,True,66.35,77.45,True,1831.0,1681.0,True,HOLD
SUNTECK,Sunteck Realty Limited,Real Estate,Real Estate - Development,299.3500061035156,False,17.0,False,False,-10.05,-25.06,False,295.0,808.0,False,EXIT
RTNINDIA,RattanIndia Enterprises Limited,Consumer Cyclical,Internet Retail,30.40999984741211,False,-705.0,False,False,-51.81,-45.52,False,19.0,582.0,False,EXIT
BANARISUG,Bannari Amman Sugars Limited,Consumer Defensive,Confectioners,3462.5,False,122.0,False,False,-7.83,-11.71,False,1670.0,2526.0,False,EXIT
SWARAJENG,Swaraj Engines Limited,Consumer Cyclical,Auto Parts,3618.199951171875,False,202.0,True,False,-19.73,-13.51,False,2111.0,2007.0,True,EXIT
CMSINFO,CMS Info Systems Limited,Industrials,Specialty Business Services,265.95001220703125,False,318.0,False,False,-44.54,-43.02,False,2277.0,2272.0,True,EXIT
AVANTEL,Avantel Limited,Technology,Communication Equipment,160.16000366210938,False,26.0,False,True,16.68,15.95,True,240.0,248.0,False,HOLD
JUNIPER,Juniper Hotels Limited,Consumer Cyclical,Lodging,193.82000732421875,False,171.0,True,False,-40.57,-34.3,False,945.0,916.0,True,EXIT
MIDWESTLTD,MIDWESTLTD,Basic Materials,Building Materials,1128.5999755859375,False,105.0,True,False,,,False,442.0,422.0,True,EXIT
RAMRAT,Ram Ratna Wires Limited,Industrials,Electrical Equipment & Parts,475.04998779296875,True,131.0,True,True,33.81,35.15,True,5948.0,5076.0,True,ADD
BAJAJELEC,Bajaj Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",356.6000061035156,False,-31.0,False,False,-47.9,-41.61,False,4487.0,6656.0,False,EXIT
WAKEFIT,WAKEFIT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",121.37999725341797,False,193.0,True,False,,,False,1547.0,1489.0,True,EXIT
SANGHVIMOV,Sanghvi Movers Limited,Industrials,Rental & Leasing Services,489.04998779296875,False,158.0,False,True,43.82,45.14,True,717.0,674.0,True,HOLD
GUFICBIO,Gufic Biosciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,430.25,False,74.0,False,True,5.08,16.59,True,974.0,940.0,True,HOLD
WEBELSOLAR,Websol Energy System Limited,Technology,Solar,85.0999984741211,False,314.0,True,False,-41.0,-41.39,False,1203.0,1049.0,True,EXIT
AYE,AYE,Financial Services,Credit Services,172.82000732421875,False,238.0,True,False,,,False,1872.0,1815.0,True,EXIT
FOSECOIND,Foseco India Limited,Basic Materials,Chemicals,5537.5,False,79.0,True,True,9.14,9.48,True,643.0,604.0,True,HOLD
MANINDS,Man Industries (India) Limited,Basic Materials,Steel,599.4500122070312,True,245.0,True,True,46.96,47.19,True,3752.0,3455.0,True,ADD
MSTCLTD,MSTC Limited,Industrials,Conglomerates,623.4000244140625,False,235.0,False,True,34.67,36.01,True,386.0,5425.0,False,HOLD
NACLIND,NACL Industries Limited,Basic Materials,Agricultural Inputs,166.5399932861328,False,32.0,False,False,-42.31,-41.83,False,1451.0,2116.0,False,EXIT
RALLIS,Rallis India Limited,Basic Materials,Agricultural Inputs,212.47999572753906,False,214.0,False,False,-48.53,-48.04,False,2962.0,2967.0,False,EXIT
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Consumer Defensive,Confectioners,17.299999237060547,False,129.0,False,False,-19.54,-23.34,False,5294.0,6804.0,False,EXIT
LASERPOWER,LASERPOWER,Industrials,Electrical Equipment & Parts,302.8999938964844,True,,False,False,,,False,,2438.0,False,EXIT
ROSSTECH,Rossell Techsys Limited,Industrials,Aerospace & Defense,1057.1500244140625,True,25.0,True,True,74.78,76.03,True,553.0,485.0,True,ADD
ELLEN,ELLEN,Basic Materials,Chemicals,332.6000061035156,False,121.0,True,True,-37.88,-37.41,False,357.0,342.0,True,HOLD
KERNEX,Kernex Microsystems (India) Limited,Technology,Software - Application,2024.199951171875,False,183.0,True,True,79.94,78.82,True,874.0,426.0,True,HOLD
ROLEXRINGS,Rolex Rings Limited,Industrials,Metal Fabrication,176.3000030517578,False,152.0,False,True,23.25,24.62,True,1156.0,1222.0,False,HOLD
RAYMOND,Raymond Limited,Industrials,Specialty Industrial Machinery,642.0,False,-23.0,False,True,-0.18,1.24,False,4.0,5780.0,False,EXIT
TRUALT,TRUALT,Energy,Oil & Gas Refining & Marketing,489.3500061035156,False,143.0,True,True,,,False,2027.0,1880.0,True,HOLD
DEEPINDS,Deep Industries Limited,Energy,Oil & Gas E&P,668.7000122070312,True,106.0,True,True,14.32,23.42,True,702.0,703.0,False,ADD
VAIBHAVGBL,Vaibhav Global Limited,Consumer Cyclical,Luxury Goods,228.3000030517578,False,261.0,True,False,-3.2,2.98,False,579.0,674.0,False,EXIT
ORIENTELEC,Orient Electric Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",190.27000427246094,False,110.0,False,True,-19.65,-13.43,False,3507.0,3326.0,True,EXIT
SANATHAN,SANATHAN,Consumer Cyclical,Textile Manufacturing,480.20001220703125,False,210.0,False,True,-10.96,-4.76,False,3101.0,3329.0,False,EXIT
INDOTECH,Indo Tech Transformers Limited,Industrials,Electrical Equipment & Parts,3445.199951171875,False,99.0,True,True,84.52,85.74,True,846.0,782.0,True,HOLD
SANDHAR,Sandhar Technologies Limited,Consumer Cyclical,Auto Parts,639.8499755859375,False,184.0,True,True,46.54,52.6,True,2982.0,3044.0,False,HOLD
MOSCHIP,MOSCHIP,Technology,Semiconductor Equipment & Materials,208.30999755859375,False,16.0,False,True,20.14,19.39,True,500.0,521.0,False,HOLD
TATVA,Tatva Chintan Pharma Chem Limited,Basic Materials,Specialty Chemicals,1709.5999755859375,False,44.0,False,True,55.8,56.0,True,534.0,496.0,True,HOLD
REFEX,Refex Industries Limited,Energy,Thermal Coal,297.25,False,286.0,True,True,-31.5,-21.12,False,2307.0,2259.0,True,HOLD
AURIONPRO,Aurionpro Solutions Limited,Technology,Software - Application,733.9500122070312,False,104.0,True,False,-53.98,-54.29,False,872.0,888.0,False,EXIT
GHCL,GHCL Limited,Basic Materials,Chemicals,431.1000061035156,False,525.0,False,False,-28.84,-28.4,False,3043.0,4551.0,False,EXIT
MAHLOG,Mahindra Logistics Limited,Industrials,Integrated Freight & Logistics,405.5,False,66.0,False,True,20.43,21.8,True,5981.0,5672.0,True,HOLD
NOVARTIND,Novartis India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1548.300048828125,False,98.0,False,False,,,False,371.0,870.0,False,EXIT
STYRENIX,Styrenix Performance Materials Limited,Basic Materials,Chemicals,2183.699951171875,False,317.0,False,True,-21.66,-21.24,False,2687.0,2744.0,False,EXIT
WSTCSTPAPR,West Coast Paper Mills Limited,Basic Materials,Paper & Paper Products,606.0999755859375,False,221.0,False,True,16.62,16.93,True,2581.0,2810.0,False,HOLD
KIRLOSIND,Kirloskar Industries Limited,Industrials,Metal Fabrication,3806.39990234375,False,254.0,True,True,-8.61,-7.17,False,3648.0,124.0,True,HOLD
63MOONS,63 moons technologies limited,Technology,Software - Application,800.7999877929688,False,160.0,False,True,-18.18,-18.71,False,119.0,352.0,False,EXIT
VISHNU,Vishnu Chemicals Limited,Basic Materials,Specialty Chemicals,600.25,False,103.0,False,True,19.02,19.32,True,1257.0,1222.0,True,HOLD
KOLTEPATIL,Kolte-Patil Developers Limited,Real Estate,Real Estate - Development,491.8999938964844,False,171.0,True,True,32.08,16.55,True,1484.0,1539.0,False,HOLD
KNRCON,KNR Constructions Limited,Industrials,Engineering & Construction,134.5800018310547,False,347.0,False,False,-38.6,-37.09,False,2050.0,4091.0,False,EXIT
HEMIPROP,Hemisphere Properties India Limited,Real Estate,Real Estate - Diversified,132.33999633789062,False,-12.0,False,False,7.42,-7.81,False,1.0,2.0,False,EXIT
PACEDIGITK,Pace Digitek Limited,Technology,Communication Equipment,180.92999267578125,False,238.0,False,False,,,False,1635.0,2321.0,False,EXIT
CMLL,CMLL,Energy,Thermal Coal,544.4000244140625,False,,False,False,,,False,,1677.0,False,EXIT
JINDWORLD,Jindal Worldwide Limited,Consumer Cyclical,Textile Manufacturing,35.779998779296875,False,68.0,False,True,-12.26,-6.06,False,2310.0,2584.0,False,EXIT
KSCL,Kaveri Seed Company Limited,Basic Materials,Agricultural Inputs,779.9500122070312,False,238.0,False,False,-33.85,-33.4,False,1173.0,1304.0,False,EXIT
SEAMECLTD,Seamec Limited,Industrials,Marine Shipping,1532.300048828125,False,244.0,True,True,75.89,77.13,True,984.0,902.0,True,HOLD
GUJTHEM,Gujarat Themis Biosyn Limited,Healthcare,Drug Manufacturers - Specialty & Generic,347.25,False,49.0,False,False,-20.63,-8.96,False,174.0,170.0,True,EXIT
VSTTILLERS,V.S.T. Tillers Tractors Limited,Industrials,Farm & Heavy Construction Machinery,4601.39990234375,False,110.0,False,False,-17.47,-16.01,False,1271.0,1240.0,True,EXIT
HARSHA,Harsha Engineers International Limited,Industrials,Tools & Accessories,405.3999938964844,False,180.0,True,True,-6.68,-5.25,False,1273.0,1228.0,True,HOLD
SAMHI,SAMHI Hotels Limited,Consumer Cyclical,Lodging,164.77000427246094,False,340.0,False,False,-36.28,-30.03,False,135.0,151.0,False,EXIT
JTEKTINDIA,JTEKT India Limited,Consumer Cyclical,Auto Parts,133.32000732421875,False,72.0,False,False,-3.02,3.15,False,2818.0,2666.0,True,EXIT
INDIQUBE,INDIQUBE,Real Estate,Real Estate Services,183.33999633789062,False,-93.0,False,True,-5.39,-20.46,False,1564.0,1451.0,True,EXIT
ZOTA,Zota Health Care Limited,Healthcare,Biotechnology,1241.300048828125,False,24.0,False,False,-23.04,-11.35,False,456.0,407.0,True,EXIT
TARC,TARC Limited,Real Estate,Real Estate - Development,126.7699966430664,False,-53.0,False,False,-12.81,-27.78,False,46.0,436.0,False,EXIT
SPECTRUM,SPECTRUM,Industrials,Electrical Equipment & Parts,2236.89990234375,False,50.0,True,True,45.15,46.47,True,576.0,505.0,True,HOLD
PSPPROJECT,PSP Projects Limited,Industrials,Engineering & Construction,922.4000244140625,False,67.0,False,True,36.94,38.27,True,3262.0,2989.0,True,HOLD
LUXIND,Lux Industries Limited,Consumer Cyclical,Apparel Manufacturing,1188.0999755859375,False,100.0,False,True,-17.99,-11.77,False,2948.0,2937.0,True,EXIT
AARTIDRUGS,Aarti Drugs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,416.3500061035156,False,171.0,False,True,-30.22,-18.48,False,2367.0,2498.0,False,EXIT
