Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA200_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,ATH_Sales,Signal
RELIANCE,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1307.800048828125,False,83556.0,True,False,-12.88,-8.31,False,962820.0,EXIT
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1972.0,False,30925.3,False,True,19.89,0.63,True,172985.0,HOLD
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,748.1500244140625,False,49307.979999999996,False,False,-27.57,-28.24,False,,EXIT
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1435.4000244140625,True,56090.159999999996,True,True,-4.71,-5.49,False,,HOLD
SBIN,State Bank of India,Financial Services,Banks - Regional,1027.4000244140625,False,62161.45,False,True,27.52,26.6,True,,HOLD
TCS,Tata Consultancy Services Limited,Technology,Information Technology Services,2365.60009765625,False,50484.0,True,False,-21.86,-24.48,False,267021.0,EXIT
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,1141.199951171875,True,20303.53,True,True,28.04,27.12,True,,ADD
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,3938.89990234375,False,16280.750000000002,True,False,10.04,5.93,True,255734.0,HOLD
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2101.300048828125,False,15028.0,True,False,-11.06,-19.04,False,63121.0,EXIT
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1990.5,True,10511.350000000002,False,True,9.77,14.25,True,52578.0,HOLD
INFY,Infosys Limited,Technology,Information Technology Services,1130.0999755859375,False,332.4,False,False,-24.89,-27.49,False,162990.0,EXIT
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,14188.0,False,15241.6,True,False,9.1,10.06,True,152913.0,HOLD
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,4875.2001953125,True,4825.0,True,True,42.38,43.26,True,60456.0,ADD
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,3009.5,False,7007.960000000001,False,True,17.71,21.43,True,127540.0,HOLD
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3398.5,False,18880.07,True,True,2.74,3.72,True,159211.0,HOLD
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,211.30999755859375,False,14687.210000000001,False,True,90.75,77.27,True,56203.0,HOLD
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,1696.5,False,13317.560000000001,True,True,25.31,21.17,True,30475.0,HOLD
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,389.3999938964844,False,15827.900000000001,False,False,-2.25,-3.03,False,,EXIT
AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional,1229.5,False,28489.31,True,False,13.55,12.7,True,,HOLD
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,1346.9000244140625,False,13188.0,False,False,-7.92,-10.62,False,117055.0,EXIT
ITC,ITC Limited,Consumer Defensive,Tobacco,281.0,False,20494.55,False,False,-26.3,-34.17,False,75323.0,EXIT
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials,11847.0,False,9533.34,True,True,-0.75,-5.81,False,75955.0,HOLD
NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,347.25,False,28706.79,True,False,12.88,1.51,True,188138.0,HOLD
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,2029.0999755859375,False,9800.970000000001,True,True,2.59,1.78,True,133822.0,HOLD
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,11432.0,False,11759.400000000001,True,True,38.86,39.75,True,50995.0,HOLD
HAL,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense,4646.5,False,9115.6,True,True,4.19,0.1,True,30981.0,HOLD
JSWSTEEL,JSW Steel Limited,Basic Materials,Steel,1270.0,True,25344.0,True,True,23.9,18.77,True,175006.0,ADD
ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,242.52999877929688,False,41424.38,False,False,-6.13,-1.75,False,632291.0,EXIT
NESTLEIND,Nestlé India Limited,Consumer Defensive,Packaged Foods,1509.5999755859375,True,3477.1800000000003,False,True,40.26,31.94,True,24394.0,HOLD
BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense,387.8500061035156,False,5828.57,True,False,2.95,-1.14,False,23769.0,EXIT
ETERNAL,Eternal Limited,Consumer Cyclical,Internet Retail,302.45001220703125,False,393.0,False,True,-5.11,-4.12,False,20243.0,EXIT
LICI,Life Insurance Corporation of India,Financial Services,Insurance - Life,424.70001220703125,False,47354.67,False,True,-6.71,-7.48,False,889970.0,EXIT
POWERGRID,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric,284.25,False,16504.74,False,False,6.49,-4.7,False,45843.0,EXIT
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2746.199951171875,False,4764.83,False,True,16.4,11.29,True,35495.0,HOLD
DMART,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,3874.0,False,3146.09,True,False,-3.88,-11.9,False,59358.0,EXIT
COALINDIA,Coal India Limited,Energy,Thermal Coal,414.1499938964844,False,35645.79,False,False,3.54,7.66,True,144762.0,EXIT
SHRIRAMFIN,Shriram Finance Limited,Financial Services,Credit Services,1046.699951171875,False,11162.76,False,True,64.62,63.54,True,,HOLD
TATASTEEL,Tata Steel Limited,Basic Materials,Steel,189.69000244140625,False,11034.54,False,False,22.85,17.72,True,243959.0,EXIT
HINDZINC,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining,539.2000122070312,False,16652.0,True,False,29.92,24.77,True,34098.0,HOLD
ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable,1383.0,False,1283.0,False,True,50.45,38.07,True,11212.0,HOLD
HINDALCO,Hindalco Industries Limited,Basic Materials,Aluminum,970.4000244140625,False,13391.0,False,True,43.69,38.5,True,238496.0,HOLD
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers,7833.5,True,5772.5199999999995,True,True,39.98,40.87,True,18451.0,ADD
DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,8056.0,True,2541.0,False,True,15.32,19.76,True,9360.0,HOLD
GRASIM,Grasim Industries Limited,Basic Materials,Building Materials,3104.800048828125,True,5908.91,False,True,15.27,10.17,True,148478.0,HOLD
TVSMOTOR,TVS Motor Company Limited,Consumer Cyclical,Auto Manufacturers,4208.39990234375,True,3242.2799999999997,True,True,47.4,48.26,True,44089.0,ADD
INDIGO,InterGlobe Aviation Limited,Industrials,Airlines,5171.0,False,5500.0,False,True,-10.83,-14.89,False,80803.0,EXIT
IOC,Indian Oil Corporation Limited,Energy,Oil & Gas Refining & Marketing,140.1699981689453,False,42402.35,True,False,-10.64,-6.12,False,841756.0,EXIT
