Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_Peer_Group,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,TTM_Net_Sales,ATH_Sales,ATH_Sales_Flag,Signal
RELIANCE,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1311.0,False,39219.0,False,False,NIFTY ENERGY,-18.89,-9.04,False,552939.0,537909.0,True,EXIT
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1922.0,False,15408.0,False,False,Sector: Communication Services,19.64,0.04,True,124600.0,121493.0,True,EXIT
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,720.0,False,75576.0,True,False,NIFTY BANK,-49.33,-29.05,False,309415.0,307522.0,True,EXIT
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1402.0,False,52183.0,True,True,NIFTY BANK,-22.3,-3.94,False,172670.0,169946.0,True,HOLD
SBIN,State Bank of India,Financial Services,Banks - Regional,1048.5999755859375,False,81993.0,True,True,NIFTY BANK,9.92,25.97,True,493000.0,482797.0,True,HOLD
TCS,Tata Consultancy Services Limited,Technology,Information Technology Services,2289.0,False,50186.0,True,False,NIFTY IT,-21.29,-27.26,False,227703.0,220938.0,True,EXIT
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,1080.199951171875,False,19016.0,True,True,Sector: Financial Services,19.15,19.07,True,73287.0,71267.0,True,HOLD
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,4041.300048828125,False,7257.0,False,True,Sector: Industrials,10.45,10.6,True,156234.0,153680.0,True,HOLD
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2020.699951171875,False,15326.0,False,False,NIFTY FMCG,-15.09,-24.85,False,63458.0,61975.0,True,EXIT
INFY,Infosys Limited,Technology,Information Technology Services,1119.800048828125,False,30346.0,True,False,NIFTY IT,-19.49,-25.64,False,153501.0,148819.0,True,EXIT
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1900.0,False,2994.0,False,True,NIFTY PHARMA,-6.63,13.91,False,20901.0,22977.0,False,EXIT
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,5068.0,True,5299.0,True,True,Sector: Consumer Cyclical,41.95,38.15,True,81091.0,77554.0,True,ADD
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,13690.0,False,14039.0,False,False,NIFTY AUTO,-29.53,-5.93,False,197129.0,183266.0,True,EXIT
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,2990.300048828125,False,9984.0,False,True,NIFTY METAL,-14.15,24.09,False,23138.0,57844.0,False,EXIT
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3415.0,False,15874.0,True,True,NIFTY AUTO,-24.55,-1.28,False,155581.0,147765.0,True,HOLD
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,204.02000427246094,False,11974.0,False,True,NIFTY ENERGY,59.96,67.8,True,48589.0,49711.0,False,HOLD
