Symbol,Company Name,Type,MarketCap,All-Time High (ATH),Current Market Price (CMP),Buy Trigger Price,Sell Trigger Price,CMP Proximity to Buy (%),ClosenessAbs (%)
IOC,Indian Oil Corporation Limited,PSU,198798.2524416,202.12,140.82,141.49,169.78,-0.47,0.47
ITC,ITC Limited,Non-PSU,526906.1894144,522.75,415.9,418.2,501.84,-0.55,0.55
PFC,Power Finance Corporation Limited,PSU,138208.3985408,570.6,397.05,399.42,479.3,-0.59,0.59
INDUSTOWER,Indus Towers Limited,Non-PSU,103155.7545984,482.3,391.9,385.84,463.01,1.57,1.57
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,695.0,545.05,556.0,667.2,-1.97,1.97
INFY,Infosys Limited,Non-PSU,648126.3460352,1999.7,1632.9,1599.76,1919.71,2.07,2.07
COALINDIA,Coal India Limited,PSU,245862.1313024,540.4,390.35,378.28,453.94,3.19,3.19
NATIONALUM,National Aluminium Company Limited,PSU,34614.9650432,256.85,186.19,179.8,215.75,3.56,3.56
ONGC,Oil & Natural Gas Corporation Limited,PSU,302002.6806272,341.75,250.36,239.22,287.07,4.65,4.65
HINDUNILVR,Hindustan Unilever Limited,Non-PSU,561505.0555392,3028.55,2297.3,2422.84,2907.41,-5.18,5.18
TCS,Tata Consultancy Services Limited,Non-PSU,1224434.0441088,4553.75,3451.4,3643.0,4371.6,-5.26,5.26
SUNPHARMA,Sun Pharmaceutical Industries Limited,Non-PSU,402895.4836992,1948.7,1648.0,1558.96,1870.75,5.71,5.71
GICRE,General Insurance Corporation of India,PSU,70140.9329152,501.0,371.4,350.7,420.84,5.9,5.9
HINDALCO,Hindalco Industries Limited,Non-PSU,145422.9553152,761.55,645.35,609.24,731.09,5.93,5.93
NTPC,NTPC Limited,PSU,322753.65888,443.2,332.4,310.24,372.29,7.14,7.14
HCLTECH,HCL Technologies Limited,Non-PSU,443638.1925376,1995.1,1715.9,1596.08,1915.3,7.51,7.51
LICHSGFIN,LIC Housing Finance Limited,Non-PSU,33743.6147712,816.35,604.0,653.08,783.7,-7.52,7.52
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Non-PSU,317907.795968,1590.15,1372.6,1272.12,1526.54,7.9,7.9
VEDL,Vedanta Limited,Non-PSU,174976.9650176,522.0,456.5,417.6,501.12,9.32,9.32
WIPRO,Wipro Limited,Non-PSU,260266.262528,360.75,261.59,288.6,346.32,-9.36,9.36
OIL,Oil India Limited,PSU,69065.6575488,741.0,469.65,518.7,622.44,-9.46,9.46
GAIL,GAIL (India) Limited,PSU,125682.64704,240.97,185.72,168.68,202.41,10.1,10.1
CIPLA,Cipla Limited,Non-PSU,121492.7208448,1680.5,1498.1,1344.4,1613.28,11.43,11.43
RELIANCE,Reliance Industries Limited,Non-PSU,1953416.347648,1600.9,1430.1,1280.72,1536.86,11.66,11.66
POWERGRID,Power Grid Corporation of India Limited,PSU,275158.4796672,365.45,287.3,255.82,306.98,12.31,12.31
LICI,Life Insurance Corporation Of India,PSU,607105.1091968,1188.1,934.6,831.67,998.0,12.38,12.38
RECLTD,REC Limited,PSU,109357.8981376,645.8,392.5,452.06,542.47,-13.18,13.18
BANKBARODA,Bank of Baroda,PSU,127370.5660416,296.95,236.51,207.87,249.44,13.78,13.78
LT,Larsen & Toubro Limited,Non-PSU,502843.6246528,3947.3,3601.5,3157.84,3789.41,14.05,14.05
SHRIRAMFIN,Shriram Finance Limited,Non-PSU,129427.4789376,725.69,662.1,580.55,696.66,14.05,14.05
INDIGO,InterGlobe Aviation Limited,Non-PSU,211793.3727744,5695.0,5273.0,4556.0,5467.2,15.74,15.74
AXISBANK,Axis Bank Limited,Non-PSU,370569.6944128,1317.3,1221.0,1053.84,1264.61,15.86,15.86
DRREDDY,Dr. Reddy's Laboratories Limited,Non-PSU,109906.9390848,1412.49,1313.3,1129.99,1355.99,16.22,16.22
BAJAJ-AUTO,Bajaj Auto Limited,Non-PSU,241220.190208,12666.4,8468.0,10133.12,12159.74,-16.43,16.43
