Symbol,Company Name,Type,MarketCap,All-Time High (ATH),Current Market Price (CMP),Buy Trigger Price,Sell Trigger Price,CMP Proximity to Buy (%),ClosenessAbs (%)
INFY,Infosys Limited,Non-PSU,648126.3460352,1999.7,1596.0,1599.76,1919.71,-0.24,0.24
IOC,Indian Oil Corporation Limited,PSU,198798.2524416,202.12,142.19,141.49,169.78,0.5,0.5
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,695.0,561.1,556.0,667.2,0.92,0.92
HINDUNILVR,Hindustan Unilever Limited,Non-PSU,561505.0555392,3028.55,2395.2,2422.84,2907.41,-1.14,1.14
INDUSTOWER,Indus Towers Limited,Non-PSU,103155.7545984,482.3,393.35,385.84,463.01,1.95,1.95
ITC,ITC Limited,Non-PSU,526906.1894144,522.75,427.0,418.2,501.84,2.1,2.1
ONGC,Oil & Natural Gas Corporation Limited,PSU,302002.6806272,341.75,244.68,239.22,287.07,2.28,2.28
HCLTECH,HCL Technologies Limited,Non-PSU,443638.1925376,1995.1,1668.1,1596.08,1915.3,4.51,4.51
TCS,Tata Consultancy Services Limited,Non-PSU,1224434.0441088,4553.75,3462.9,3643.0,4371.6,-4.94,4.94
LICHSGFIN,LIC Housing Finance Limited,Non-PSU,33743.6147712,816.35,618.15,653.08,783.7,-5.35,5.35
COALINDIA,Coal India Limited,PSU,245862.1313024,540.4,399.55,378.28,453.94,5.62,5.62
RECLTD,REC Limited,PSU,109357.8981376,645.8,423.05,452.06,542.47,-6.42,6.42
NATIONALUM,National Aluminium Company Limited,PSU,34614.9650432,256.85,191.7,179.8,215.75,6.62,6.62
PFC,Power Finance Corporation Limited,PSU,138208.3985408,570.6,431.45,399.42,479.3,8.02,8.02
HINDALCO,Hindalco Industries Limited,Non-PSU,145422.9553152,761.55,658.35,609.24,731.09,8.06,8.06
SUNPHARMA,Sun Pharmaceutical Industries Limited,Non-PSU,402895.4836992,1948.7,1688.8,1558.96,1870.75,8.33,8.33
NTPC,NTPC Limited,PSU,322753.65888,443.2,339.2,310.24,372.29,9.33,9.33
VEDL,Vedanta Limited,Non-PSU,174976.9650176,522.0,461.55,417.6,501.12,10.52,10.52
WIPRO,Wipro Limited,Non-PSU,260266.262528,360.75,254.87,288.6,346.32,-11.69,11.69
RELIANCE,Reliance Industries Limited,Non-PSU,1953416.347648,1600.9,1438.5,1280.72,1536.86,12.32,12.32
CIPLA,Cipla Limited,Non-PSU,121492.7208448,1680.5,1510.8,1344.4,1613.28,12.38,12.38
HINDZINC,Hindustan Zinc Limited,Non-PSU,212216.6960128,772.3,534.05,617.84,741.41,-13.56,13.56
IRB,IRB Infrastructure Developers Limited,Non-PSU,31191.4364928,76.85,52.98,61.48,73.78,-13.83,13.83
LICI,Life Insurance Corporation Of India,PSU,607105.1091968,1188.1,947.45,831.67,998.0,13.92,13.92
MAHABANK,Bank of Maharashtra,PSU,42341.9969536,94.25,56.48,65.97,79.17,-14.39,14.39
ADANIPOWER,Adani Power Limited,Non-PSU,214156.6009344,874.5,596.05,699.6,839.52,-14.8,14.8
BAJAJ-AUTO,Bajaj Auto Limited,Non-PSU,241220.190208,12666.4,8626.0,10133.12,12159.74,-14.87,14.87
OIL,Oil India Limited,PSU,69065.6575488,741.0,437.4,518.7,622.44,-15.67,15.67
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Non-PSU,317907.795968,1590.15,1473.8,1272.12,1526.54,15.85,15.85
MARUTI,Maruti Suzuki India Limited,Non-PSU,391809.0207232,13495.6,12520.0,10796.48,12955.78,15.96,15.96
GAIL,GAIL (India) Limited,PSU,125682.64704,240.97,195.67,168.68,202.41,16.0,16.0
ULTRACEMCO,UltraTech Cement Limited,Non-PSU,331004.7461376,12237.0,11391.0,9789.6,11747.52,16.36,16.36
LT,Larsen & Toubro Limited,Non-PSU,502843.6246528,3947.3,3679.8,3157.84,3789.41,16.53,16.53
GICRE,General Insurance Corporation of India,PSU,70140.9329152,501.0,409.5,350.7,420.84,16.77,16.77
AXISBANK,Axis Bank Limited,Non-PSU,370569.6944128,1317.3,1232.8,1053.84,1264.61,16.98,16.98
POWERGRID,Power Grid Corporation of India Limited,PSU,275158.4796672,365.45,301.05,255.82,306.98,17.68,17.68
