Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA200_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,ATH_Sales,Signal
RELIANCE,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1290.9000244140625,False,83556.0,True,False,-20.09,-12.17,False,962820.0,EXIT
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1970.0999755859375,False,30925.3,False,True,17.92,-0.73,False,172985.0,EXIT
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,742.0,False,49307.979999999996,False,False,-29.08,-29.13,False,,EXIT
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1454.5999755859375,True,56090.159999999996,True,True,-4.05,-4.22,False,,HOLD
SBIN,State Bank of India,Financial Services,Banks - Regional,1042.699951171875,False,62161.45,False,True,27.72,27.41,True,,HOLD
TCS,Tata Consultancy Services Limited,Technology,Information Technology Services,2460.0,False,50484.0,True,False,-23.81,-23.61,False,267021.0,EXIT
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,1149.0,True,20303.53,True,True,26.46,26.16,True,,ADD
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,3990.0,False,16280.750000000002,True,True,8.46,6.25,True,255734.0,HOLD
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2096.5,False,15028.0,True,False,-14.47,-21.21,False,63121.0,EXIT
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1964.0,True,10511.350000000002,False,True,8.83,16.01,True,52578.0,HOLD
INFY,Infosys Limited,Technology,Information Technology Services,1167.5,False,332.4,False,False,-24.97,-24.77,False,162990.0,EXIT
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,14168.0,False,15241.6,True,False,7.56,10.95,True,152913.0,HOLD
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,4935.0,True,4825.0,True,True,40.09,43.41,True,60456.0,ADD
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,3050.0,False,7007.960000000001,False,True,18.57,25.41,True,127540.0,HOLD
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3433.0,False,18880.07,True,True,0.23,3.64,True,159211.0,HOLD
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,209.9499969482422,False,14687.210000000001,False,True,88.02,76.12,True,56203.0,HOLD
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,1706.699951171875,False,13317.560000000001,True,True,21.48,19.25,True,30475.0,HOLD
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,398.0,False,15827.900000000001,False,False,-3.81,-3.98,False,,EXIT
AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional,1261.800048828125,False,28489.31,True,False,14.7,14.45,True,,HOLD
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,1369.9000244140625,False,13188.0,False,False,-10.83,-10.72,False,117055.0,EXIT
ITC,ITC Limited,Consumer Defensive,Tobacco,289.0,False,20494.55,False,False,-27.64,-34.3,False,75323.0,EXIT
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials,12050.0,False,9533.34,True,True,-2.87,-5.32,False,75955.0,HOLD
NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,343.6499938964844,False,28706.79,True,False,9.66,-0.12,False,188138.0,EXIT
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,2105.0,False,9800.970000000001,True,True,5.44,5.23,True,133822.0,HOLD
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,11600.0,False,11759.400000000001,True,True,34.72,38.05,True,50995.0,HOLD
HAL,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense,4635.0,False,9115.6,True,True,0.69,-1.49,False,30981.0,HOLD
JSWSTEEL,JSW Steel Limited,Basic Materials,Steel,1300.0,True,25344.0,True,True,22.01,19.49,True,175006.0,ADD
ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,242.0,False,41424.38,False,False,-8.16,-0.58,False,632291.0,EXIT
NESTLEIND,Nestlé India Limited,Consumer Defensive,Packaged Foods,1520.0,True,3477.1800000000003,False,True,36.94,29.86,True,24394.0,HOLD
BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense,391.5,False,5828.57,True,False,-0.95,-3.13,False,23769.0,EXIT
ETERNAL,Eternal Limited,Consumer Cyclical,Internet Retail,312.3999938964844,False,393.0,False,True,-4.71,-1.29,False,20243.0,EXIT
LICI,Life Insurance Corporation of India,Financial Services,Insurance - Life,391.29998779296875,False,47354.67,False,False,-16.11,-16.22,False,889970.0,EXIT
POWERGRID,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric,283.3999938964844,False,16504.74,False,False,4.43,-5.21,False,45843.0,EXIT
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2775.0,False,4764.83,False,True,12.14,9.64,True,35495.0,HOLD
DMART,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,4023.0,False,3146.09,True,False,-0.95,-7.78,False,59358.0,EXIT
COALINDIA,Coal India Limited,Energy,Thermal Coal,417.6000061035156,False,35645.79,False,False,0.48,7.82,True,144762.0,EXIT
SHRIRAMFIN,Shriram Finance Limited,Financial Services,Credit Services,1087.300048828125,True,11162.76,False,True,70.87,70.37,True,,HOLD
TATASTEEL,Tata Steel Limited,Basic Materials,Steel,190.9499969482422,False,11034.54,False,False,18.55,16.04,True,243959.0,EXIT
HINDZINC,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining,562.9000244140625,False,16652.0,True,False,32.43,29.89,True,34098.0,HOLD
ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable,1384.0,False,1283.0,False,True,46.99,36.2,True,11212.0,HOLD
HINDALCO,Hindalco Industries Limited,Basic Materials,Aluminum,1020.0,False,13391.0,False,True,47.28,44.69,True,238496.0,HOLD
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers,7935.0,True,5772.5199999999995,True,True,34.21,37.54,True,18451.0,ADD
DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,8378.0,True,2541.0,False,True,18.35,25.47,True,9360.0,HOLD
GRASIM,Grasim Industries Limited,Basic Materials,Building Materials,3138.0,True,5908.91,False,True,11.42,8.93,True,148478.0,HOLD
TVSMOTOR,TVS Motor Company Limited,Consumer Cyclical,Auto Manufacturers,4360.0,True,3242.2799999999997,True,True,41.23,44.54,True,44089.0,ADD
INDIGO,InterGlobe Aviation Limited,Industrials,Airlines,5358.0,False,5500.0,False,True,-8.78,-10.94,False,80803.0,EXIT
IOC,Indian Oil Corporation Limited,Energy,Oil & Gas Refining & Marketing,141.60000610351562,False,42402.35,True,False,-11.86,-4.18,False,841756.0,EXIT
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,1646.0,False,2897.6299999999997,True,True,114.86,102.24,True,23767.0,HOLD
TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,5030.0,True,2181.0,False,True,28.54,35.6,True,11516.0,HOLD
SBILIFE,SBI Life Insurance Company Limited,Financial Services,Insurance - Life,1899.0,False,2700.68,False,False,0.24,0.06,True,,EXIT
WIPRO,Wipro Limited,Technology,Information Technology Services,186.3000030517578,False,13219.0,True,False,-28.13,-27.91,False,90488.0,EXIT
VAML,Vedanta Aluminium Metal Limited,Basic Materials,Aluminum,467.6000061035156,False,7410.0,False,False,,,False,,EXIT
HYUNDAI,HYUNDAI,Consumer Cyclical,Auto Manufacturers,2220.0,False,4747.88,False,True,-5.65,-2.22,False,69829.0,EXIT
JIOFIN,Jio Financial Services Limited,Financial Services,Asset Management,265.0,False,1696.1100000000001,True,True,-24.19,-24.26,False,2043.0,HOLD
SOLARINDS,Solar Industries India Limited,Basic Materials,Specialty Chemicals,18700.0,True,1677.55,True,True,29.08,26.54,True,7540.0,ADD
PIDILITIND,Pidilite Industries Limited,Basic Materials,Specialty Chemicals,1620.0,True,2292.03,True,True,8.61,6.13,True,13140.0,ADD
DLF,DLF Limited,Real Estate,Real Estate - Development,643.4000244140625,False,4516.79,False,True,-5.55,-22.48,False,9926.0,EXIT
TMCV,TMCV,Consumer Cyclical,Auto Manufacturers,446.75,False,5193.0,False,False,,,False,,EXIT
TRENT,Trent Limited,Consumer Cyclical,Apparel Retail,3107.699951171875,False,1719.65,False,False,-47.95,-44.42,False,17135.0,EXIT
MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,Auto Parts,151.0,True,3859.6800000000003,True,True,46.68,49.98,True,113663.0,ADD
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services,1875.0,True,5729.22,True,True,24.03,23.74,True,,ADD
ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,7700.0,False,3042.87,True,True,49.87,47.57,True,13203.0,HOLD
TATACAP,TATACAP,Financial Services,Credit Services,360.6000061035156,True,4306.27,True,True,,,False,,HOLD
ICICIAMC,ICICIAMC,Financial Services,Asset Management,3063.800048828125,False,3479.24,False,False,,,False,4977.0,EXIT
CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery,5550.0,False,2268.92,True,True,54.28,51.97,True,10391.0,HOLD
VBL,Varun Beverages Limited,Consumer Defensive,Beverages - Non-Alcoholic,439.0,False,3961.97,True,False,-10.54,-17.31,False,21685.0,EXIT
BSE,BSE Limited,Financial Services,Financial Data & Stock Exchanges,3618.0,False,2496.9799999999996,True,True,42.24,41.87,True,3212.0,HOLD
TECHM,Tech Mahindra Limited,Technology,Information Technology Services,1648.5,False,5081.5,False,True,8.14,8.13,True,53290.0,HOLD
POWERINDIA,Hitachi Energy India Limited,Industrials,Electrical Equipment & Parts,32005.0,False,907.37,False,True,49.63,47.34,True,,HOLD
BHEL,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery,411.95001220703125,False,2513.08,False,True,69.34,67.0,True,39561.0,HOLD
IDEA,Vodafone Idea Limited,Communication Services,Telecom Services,12.899999618530273,False,69388.3,True,True,104.77,84.97,True,44958.0,HOLD
PFC,Power Finance Corporation Limited,Financial Services,Credit Services,420.0,False,25900.96,True,True,-1.94,-2.12,False,,HOLD
POLYCAB,Polycab India Limited,Industrials,Electrical Equipment & Parts,9176.0,False,2770.92,True,True,31.23,28.98,True,22408.0,HOLD
BPCL,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,324.0,False,21524.66,False,False,-9.31,-1.69,False,473187.0,EXIT
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,Electrical Equipment & Parts,880.0499877929688,False,1232.56,False,True,31.51,29.26,True,13632.0,HOLD
SIEMENS,Siemens Limited,Industrials,Specialty Industrial Machinery,4000.5,False,1555.2000000000003,False,True,32.26,30.01,True,22240.0,HOLD
UNIONBANK,Union Bank of India,Financial Services,Banks - Regional,174.0,False,20645.76,False,True,31.54,31.21,True,,HOLD
BRITANNIA,Britannia Industries Limited,Consumer Defensive,Packaged Foods,5478.0,False,2438.9700000000003,True,False,-2.14,-8.97,False,17943.0,EXIT
PNB,Punjab National Bank,Financial Services,Banks - Regional,113.98999786376953,False,19082.13,False,False,5.49,5.28,True,,EXIT
LTM,LTM Limited,Technology,Information Technology Services,4559.0,False,5083.299999999999,False,False,-14.18,-14.04,False,38008.0,EXIT
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,9050.0,True,1854.0,True,True,13.05,20.21,True,21794.0,ADD
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Asset Management,11475.0,False,9636.75,True,True,-20.98,-21.07,False,1702.0,HOLD
BANKBARODA,Bank of Baroda Limited,Financial Services,Banks - Regional,245.0,False,16496.15,False,False,-1.87,-2.04,False,,EXIT
MUTHOOTFIN,Muthoot Finance Limited,Financial Services,Credit Services,2870.0,False,10590.330000000002,True,False,4.23,4.03,True,,HOLD
TMPV,Tata Motors Passenger Vehicles Limited,Consumer Cyclical,Auto Manufacturers,348.54998779296875,False,89363.0,True,False,-53.84,-50.3,False,439695.0,EXIT
LODHA,Lodha Developers Limited,Real Estate,Real Estate - Development,1229.800048828125,False,4011.6000000000004,True,True,12.39,-4.77,False,13780.0,HOLD
TATAPOWER,The Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,380.0,False,3863.26,False,False,4.17,-5.46,False,65478.0,EXIT
BOSCHLTD,Bosch Limited,Consumer Cyclical,Auto Parts,41200.0,True,2773.2,True,True,-6.85,-3.42,False,18087.0,HOLD
GROWW,GROWW,Financial Services,Capital Markets,191.3300018310547,False,2346.6699999999996,False,False,,,False,4061.0,EXIT
SBIFUNDS,SBIFUNDS,Financial Services,Asset Management,569.7000122070312,False,1241.6,False,False,,,False,,EXIT
GAIL,GAIL (India) Limited,Utilities,Utilities - Regulated Gas,175.0,False,8101.85,False,True,6.33,-3.37,False,145668.0,EXIT
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services,Insurance - Life,535.9500122070312,False,2075.2200000000003,True,False,-31.14,-31.18,False,101482.0,EXIT
CIPLA,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1460.0,False,3317.1099999999997,False,True,-14.61,-7.27,False,27548.0,EXIT
IRFC,Indian Railway Finance Corporation Limited,Financial Services,Credit Services,89.5999984741211,False,7159.4,False,False,-34.54,-34.57,False,,EXIT
LLOYDSME,Lloyds Metals and Energy Limited,Basic Materials,Steel,2053.0,True,3680.8400000000006,True,True,38.16,35.59,True,6721.0,ADD
ENRIN,Siemens Energy India Limited,Utilities,Utilities - Renewable,3310.300048828125,False,1309.8,False,True,8.49,-1.26,False,,EXIT
CANBK,Canara Bank,Financial Services,Banks - Regional,128.0,False,18203.559999999998,True,False,15.42,15.16,True,,HOLD
MARICO,Marico Limited,Consumer Defensive,Household & Personal Products,875.0,True,1762.0,True,True,24.35,17.34,True,10831.0,ADD
INDIANB,Indian Bank,Financial Services,Banks - Regional,845.0,False,11952.93,True,False,29.1,28.78,True,,HOLD
ZYDUSLIFE,Zydus Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1130.0,False,4952.299999999999,True,True,7.02,14.22,True,23242.0,HOLD
JINDALSTEL,Jindal Steel Limited,Basic Materials,Steel,1124.0,False,3573.9399999999996,False,True,13.53,11.04,True,53212.0,HOLD
HDFCAMC,HDFC Asset Management Company Limited,Financial Services,Asset Management,2556.0,False,2229.21,False,False,-13.59,-13.71,False,4051.0,EXIT
GMRAIRPORT,GMR Airports Limited,Industrials,Airports & Air Services,106.55999755859375,False,672.86,True,True,15.08,12.87,True,11088.0,HOLD
GVT&D,GE Vernova T&D India Limited,Industrials,Specialty Industrial Machinery,4333.2001953125,False,1120.26,True,True,54.67,52.36,True,4020.0,HOLD
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,420.0,True,3773.86,False,True,47.6,47.21,True,,HOLD
LUPIN,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2410.0,True,4627.4400000000005,True,True,17.28,24.41,True,22708.0,ADD
GODREJCP,Godrej Consumer Products Limited,Consumer Defensive,Household & Personal Products,1058.199951171875,False,1814.0300000000002,False,False,-12.17,-18.93,False,14364.0,EXIT
INDIAMART,IndiaMART InterMESH Limited,Communication Services,Internet Content & Information,1774.800048828125,False,410.75,False,False,-15.14,-33.34,False,1388.0,EXIT
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,5548.0,False,5741.7300000000005,True,True,15.31,18.68,True,40923.0,HOLD
UNITDSPR,UNITDSPR,Consumer Defensive,Beverages - Wineries & Distilleries,1525.0,False,1837.0,True,True,17.16,10.2,True,12069.0,HOLD
AMBUJACEM,Ambuja Cements Limited,Basic Materials,Building Materials,436.04998779296875,False,2610.85,False,False,-29.21,-31.59,False,19985.0,EXIT
TATACONSUM,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1092.0,False,1564.8200000000002,True,False,5.05,-1.82,False,17618.0,EXIT
MAXHEALTH,Max Healthcare Institute Limited,Healthcare,Medical Care Facilities,1077.0,False,1442.41,True,True,-24.9,-17.5,False,7028.0,HOLD
BHARATFORG,Bharat Forge Limited,Consumer Cyclical,Auto Parts,2195.0,True,1079.65,False,True,79.58,82.8,True,15682.0,HOLD
INDHOTEL,The Indian Hotels Company Limited,Consumer Cyclical,Lodging,750.0,False,2157.36,True,True,-6.9,-3.47,False,8335.0,HOLD
VEDL,Vedanta Limited,Basic Materials,Other Industrial Metals & Mining,269.0,False,21066.0,True,False,-38.94,-41.28,False,152968.0,EXIT
INDUSTOWER,Indus Towers Limited,Communication Services,Telecom Services,390.0,False,7051.400000000001,False,False,27.93,9.15,True,30123.0,EXIT
MANKIND,Mankind Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2438.0,False,1969.4799999999998,False,True,-18.25,-10.89,False,12207.0,EXIT
JSWENERGY,JSW Energy Limited,Utilities,Utilities - Independent Power Producers,568.0,False,2005.6,True,True,11.83,1.99,True,11745.0,HOLD
LGEINDIA,LGEINDIA,Technology,Consumer Electronics,1542.5,False,1770.3999999999999,False,False,,,False,,EXIT
RECLTD,REC Limited,Financial Services,Credit Services,368.0,False,16085.990000000002,False,True,-9.98,-10.12,False,,EXIT
LAURUSLABS,Laurus Labs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1850.0,True,1061.42,True,True,104.64,111.19,True,6041.0,ADD
ASHOKLEY,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,172.0800018310547,False,3471.03,True,True,39.0,36.73,True,48535.0,HOLD
OFSS,Oracle Financial Services Software Limited,Technology,Software - Infrastructure,11600.0,False,3508.7,True,True,31.88,31.73,True,6847.0,HOLD
LENSKART,LENSKART,Healthcare,Medical Instruments & Supplies,567.5,True,552.0400000000001,False,False,,,False,6653.0,EXIT
MAZDOCK,Mazagon Dock Shipbuilders Limited,Industrials,Aerospace & Defense,2389.0,False,2560.52,False,False,-15.15,-17.3,False,11432.0,EXIT
