Symbol,TTM_Net_Profit,Max_Annual_Net_Profit,TTM_Net_Sales,Max_Annual_Net_Sales
AMJLAND,15.0,21.0,53.0,333.0
AMNPLST,39.0,41.0,581.0,661.0
AMRUTANJAN,54.0,67.0,511.0,503.0
ANANDRATHI,467.0,397.0,1197.0,1253.0
ANANTRAJ,580.0,559.0,2551.0,2512.0
ANDHRAPAP,28.0,522.0,1702.0,2098.0
ANDHRSUGAR,109.0,246.0,2493.0,2466.0
ANGELONE,1032.0,1172.0,5426.0,5239.0
ANIKINDS,-1.0,36.0,110.0,610.0
ANKITMETAL,-257.0,51.0,818.0,1476.0
ANMOL,12.0,21.0,1296.0,1501.0
ANNAPURNA,,,,
ANSALAPI,-158.0,20.0,768.0,1406.0
ANTELOPUS,133.0,90.0,359.0,279.0
ANTGRAPHIC,1.09,1.28,98.32,62.91
ANTHEM,576.0,592.0,2002.0,2124.0
ANUHPHR,44.0,60.0,779.0,772.0
ANUP,85.0,118.0,772.0,822.0
ANURAS,225.0,222.0,2535.0,2365.0
APARINDS,1182.0,977.0,24389.0,22902.0
APCL,-33.0,42.0,405.0,801.0
APCOTEXIND,38.0,39.0,361.0,352.0
APEX,51.0,79.0,927.0,1070.0
APLAPOLLO,1229.0,1203.0,23065.0,23079.0
APLLTD,690.0,1146.0,7784.0,7345.0
APOLLO,115.0,107.0,1022.0,904.0
APOLLOHOSP,2172.0,2003.0,26430.0,25228.0
APOLLOPIPE,-15.0,43.0,1125.0,1182.0
APOLLOTYRE,1708.0,1722.0,29308.0,28471.0
APOLSINHOT,8.0,21.0,672.0,632.0
APTECHT,24.0,68.0,517.0,503.0
APTUS,985.0,943.0,2272.0,2192.0
AQYLON,-24.0,13.0,5.0,180.0
ARCHIDPLY,13.0,12.0,712.0,671.0
ARCHIES,-5.97,4.12,50.24,194.51
ARDEE,,,,
ARE&M,922.0,945.0,14627.0,13814.0
ARENTERP,-0.06,0.72,0.57,1.9
ARFIN,18.0,15.0,722.0,618.0
ARIES,47.0,42.0,779.0,753.0
ARIHANT,68.0,59.0,472.0,420.0
ARIHANTCAP,40.0,71.0,233.0,247.0
ARIHANTSUP,40.0,69.0,561.0,551.0
ARIS,75.0,60.0,1146.0,1067.0
ARKADE,-4.0,157.0,804.0,816.0
ARMANFIN,116.0,174.0,697.0,730.0
AROGRANITE,-19.0,17.0,67.0,253.0
ARROWGREEN,64.0,63.0,247.0,243.0
ARSHIYA,-2.08,401.57,18.15,301.7
ARSSBL,130.0,129.0,977.0,932.0
ARTEMISMED,114.0,104.0,1114.0,1081.0
ARTNIRMAN,0.39,1.99,33.84,81.13
ARVEE,4.05,4.12,41.26,61.35
ARVIND,430.0,427.0,9798.0,9303.0
ARVINDFASN,186.0,184.0,5437.0,5266.0
ARVSMART,189.0,119.0,780.0,713.0
ASAHIINDIA,439.0,367.0,5175.0,4990.0
ASAHISONG,34.0,32.0,575.0,562.0
ASAL,30.0,52.0,971.0,891.0
ASALCBR,83.0,88.0,1034.0,1075.0
ASHAPURMIN,411.0,416.0,5498.0,5237.0
ASHIANA,118.0,118.0,958.0,1143.0
ASHIKAG,74.0,59.0,284.0,240.0
ASHIMASYN,-16.0,96.0,20.0,336.0
ASHOKA,2476.0,2576.0,7132.0,10037.0
ASHOKAMET,13.0,11.0,26.0,67.0
ASHOKLEY,3731.0,3721.0,57723.0,48314.0
ASIANENE,59.0,52.0,947.0,791.0
ASIANHOTNR,-92.0,187.0,348.0,341.0
ASIANPAINT,4837.0,5558.0,37187.0,35584.0
ASIANTILES,11.0,92.0,1938.0,1858.0
ASKAUTOLTD,316.0,297.0,4643.0,4176.0
ASMS,7.0,110.0,107.0,104.0
ASPINWALL,16.0,29.0,440.0,417.0
ASTAR,33.0,116.0,2804.0,4478.0
ASTEC,-67.0,90.0,441.0,677.0
ASTERDM,363.0,5408.0,4876.0,10253.0
ASTRAL,576.0,546.0,6785.0,6569.0
ASTRAMICRO,189.0,193.0,1140.0,1163.0
ASTRAZEN,170.0,188.0,2432.0,2276.0
ASTRON,,,,
ATALREAL,7.0,6.0,120.0,120.0
ATAM,1.82,7.67,47.21,60.23
ATGL,632.0,668.0,6269.0,5894.0
ATHERENERG,-390.0,-220.0,4244.0,3672.0
ATL,41.0,59.0,848.0,821.0
ATLANTAA,-5.06,467.86,77.72,540.58
ATLANTAELE,217.0,202.0,2003.0,1852.0
ATLASCYCLE,-8.37,9.51,6.46,684.28
ATUL,811.0,689.0,6643.0,6274.0
ATULAUTO,49.0,55.0,890.0,824.0
AUBANK,2856.0,2641.0,19561.0,18636.0
AURIONPRO,206.0,212.0,1432.0,1411.0
AUROPHARMA,3711.0,5334.0,34935.0,33653.0
AURUM,56.0,2413.0,431.0,988.0
AURUS,1.78,3.54,15.95,436.84
AUSOMENT,25.0,20.0,4398.0,2393.0
AUTOAXLES,174.0,166.0,2205.0,2324.0
AUTOIND,40.0,38.0,938.0,824.0
AVADHSUGAR,66.0,203.0,2756.0,2798.0
AVALON,134.0,113.0,1764.0,1603.0
