Symbol,Buy_Date,Buy_Price_Low,Sell_Date,Sell_Price_High,Sequence_Gain_Percent,Days_in_Sequence
ABBOTINDIA,2018-06-14,6342.0,2018-06-25,7760.0,22.36,8
ABCAPITAL,2020-05-29,44.5,2020-06-03,56.55,27.08,4
ABCAPITAL,2020-11-10,69.75,2020-11-18,87.0,24.73,7
AIIL,2024-06-05,159.0,2024-06-07,216.89,36.41,3
AIIL,2024-08-07,202.0,2024-08-12,292.0,44.55,4
AIIL,2025-04-11,314.69,2025-04-22,385.4,22.47,6
AIIL,2025-05-09,330.32,2025-05-15,431.2,30.54,5
ALOKINDS,2024-01-01,21.4,2024-01-03,29.1,35.98,3
ALOKINDS,2024-01-05,27.4,2024-01-08,35.5,29.56,2
AUBANK,2021-12-29,487.17,2022-01-11,654.4,34.33,10
AXISBANK,2020-03-25,286.0,2020-03-26,399.0,39.51,2
AXISBANK,2020-05-27,341.5,2020-06-02,415.0,21.52,5
AXISBANK,2020-11-02,495.1,2020-11-11,611.15,23.44,8
BAJAJFINSV,2016-06-14,176.21,2016-06-16,214.96,21.99,3
BAJAJFINSV,2016-11-09,248.0,2016-11-10,314.0,26.61,2
BAJAJFINSV,2020-05-27,398.53,2020-06-02,523.8,31.43,5
BAJAJFINSV,2020-06-17,500.79,2020-06-23,638.2,27.44,5
BAJAJFINSV,2020-11-17,725.1,2020-11-24,890.8,22.85,6
BAJAJHFL,2024-09-16,146.0,2024-09-17,181.5,24.32,2
BAJAJHFL,2024-10-08,130.35,2024-10-09,159.62,22.45,2
BAJAJHLDNG,2020-05-29,1966.1,2020-06-03,2370.0,20.54,4
BAJAJHLDNG,2020-11-18,2690.2,2020-11-23,3279.0,21.89,4
BAJAJHLDNG,2025-05-14,11808.0,2025-05-19,14400.0,21.95,4
BAJFINANCE,2020-05-29,189.1,2020-06-02,237.5,25.59,3
BAJFINANCE,2020-06-17,233.21,2020-06-23,310.92,33.33,5
BAJFINANCE,2020-11-02,327.46,2020-11-13,441.0,34.67,10
BAJFINANCE,2021-04-19,436.2,2021-05-04,574.99,31.82,11
BANKBARODA,2020-11-25,47.3,2020-12-08,66.15,39.85,9
BANKINDIA,2017-10-23,133.95,2017-10-26,200.8,49.91,4
BANKINDIA,2020-03-13,30.4,2020-03-13,37.1,22.04,1
BANKINDIA,2020-06-01,31.9,2020-06-05,42.8,34.17,5
BANKINDIA,2020-06-12,38.0,2020-06-16,52.5,38.16,3
BANKINDIA,2022-10-20,48.1,2022-11-01,62.35,29.63,8
BANKINDIA,2022-11-03,60.3,2022-11-09,77.7,28.86,4
BANKINDIA,2023-02-28,67.55,2023-03-06,85.9,27.17,5
BRITANNIA,2020-03-24,2111.9,2020-03-26,2668.8,26.37,3
BSE,2021-05-24,82.94,2021-05-26,104.7,26.23,3
BSE,2021-07-12,108.24,2021-07-19,156.22,44.33,6
BSE,2023-08-29,300.7,2023-09-04,401.02,33.36,5
BSE,2023-09-06,369.33,2023-09-11,479.33,29.78,4
BSE,2023-10-18,488.67,2023-10-30,637.63,30.48,8
BSE,2024-09-13,958.0,2024-09-16,1153.0,20.35,2
BSE,2025-03-27,1526.07,2025-03-28,1844.8,20.89,2
CANBK,2020-03-24,14.73,2020-03-26,18.29,24.17,3
CASTROLIND,2020-03-31,96.15,2020-04-09,117.0,21.68,6
CASTROLIND,2023-12-21,143.5,2023-12-26,186.0,29.62,3
CASTROLIND,2024-07-03,214.63,2024-07-05,260.0,21.14,3
CEATLTD,2020-03-25,605.0,2020-03-27,748.0,23.64,3
CEATLTD,2020-05-28,761.8,2020-06-03,951.1,24.85,5
CEATLTD,2022-07-06,952.35,2022-07-07,1148.4,20.59,2
CEATLTD,2023-07-05,2050.6,2023-07-06,2512.2,22.51,2
CEATLTD,2025-04-28,2984.5,2025-05-09,3801.0,27.36,9
CEATLTD,2025-10-15,3445.5,2025-10-23,4438.0,28.81,6
CENTRALBK,2017-08-30,78.15,2017-09-05,101.65,30.07,5
CENTRALBK,2017-11-16,78.0,2017-11-17,94.0,20.51,2
CENTRALBK,2018-03-13,72.1,2018-03-15,87.5,21.36,3
CENTRALBK,2020-11-25,11.9,2020-12-08,15.8,32.77,9
CENTRALBK,2021-02-16,15.3,2021-02-18,24.0,56.86,3
CENTRALBK,2023-09-13,36.6,2023-09-18,56.0,53.01,4
CENTRALBK,2024-01-31,55.7,2024-02-07,76.9,38.06,6
CHOLAFIN,2020-05-27,120.1,2020-06-02,159.75,33.01,5
CHOLAFIN,2020-06-17,153.2,2020-06-22,216.45,41.29,4
CHOLAFIN,2020-10-29,234.5,2020-11-03,299.7,27.8,4
CHOLAFIN,2022-03-08,595.1,2022-03-17,723.95,21.65,8
CHOLAHLDNG,2020-06-02,252.0,2020-06-03,304.3,20.75,2
CHOLAHLDNG,2023-04-28,580.0,2023-05-08,715.5,23.36,6
CHOLAHLDNG,2024-06-28,1289.1,2024-07-01,1649.8,27.98,2
CHOLAHLDNG,2025-04-07,1357.35,2025-04-08,1746.65,28.68,2
CYIENT,2020-06-17,210.05,2020-06-23,263.35,25.37,5
CYIENT,2021-01-19,480.0,2021-01-22,609.35,26.95,4
CYIENT,2024-08-14,1674.0,2024-08-21,2049.95,22.46,5
DBCORP,2022-08-18,91.4,2022-08-22,113.3,23.96,3
DBCORP,2023-07-14,175.1,2023-07-21,237.2,35.47,6
DMART,2017-04-06,630.2,2017-04-10,806.9,28.04,3
DMART,2019-09-20,1620.0,2019-09-23,1945.05,20.06,2
FEDERALBNK,2020-03-25,35.7,2020-03-27,47.75,33.75,3
FEDERALBNK,2020-05-26,37.55,2020-06-02,48.1,28.1,6
FIVESTAR,2022-11-21,448.2,2022-11-21,543.6,21.29,1
