Symbol,NSE_Categories
NH,NIFTY SMALLCAP 50
NHPC,"NIFTY ENERGY,NIFTY MIDCAP 50"
NIFTY 50,NIFTY 50
NIFTY AUTO,NIFTY AUTO
NIFTY BANK,NIFTY BANK
NIFTY ENERGY,NIFTY ENERGY
NIFTY FMCG,NIFTY FMCG
NIFTY IT,NIFTY IT
NIFTY METAL,NIFTY METAL
NIFTY MIDCAP 50,NIFTY MIDCAP 50
NIFTY PHARMA,NIFTY PHARMA
NIFTY REALTY,NIFTY REALTY
NIFTY SMALLCAP 50,NIFTY SMALLCAP 50
NLCINDIA,NIFTY ENERGY
NMDC,"NIFTY METAL,NIFTY MIDCAP 50"
NTPC,"NIFTY 50,NIFTY ENERGY"
NTPCGREEN,NIFTY ENERGY
NYKAA,NIFTY MIDCAP 50
OBEROIRLTY,NIFTY REALTY
OFSS,NIFTY IT
OIL,"NIFTY ENERGY,NIFTY MIDCAP 50"
ONGC,"NIFTY 50,NIFTY ENERGY"
PATANJALI,NIFTY FMCG
PAYTM,NIFTY MIDCAP 50
PERSISTENT,"NIFTY IT,NIFTY MIDCAP 50"
PETRONET,NIFTY ENERGY
PGEL,NIFTY SMALLCAP 50
PHOENIXLTD,"NIFTY REALTY,NIFTY MIDCAP 50"
PIRAMALFIN,NIFTY SMALLCAP 50
PNB,NIFTY BANK
PNBHOUSING,NIFTY SMALLCAP 50
POLICYBZR,NIFTY MIDCAP 50
POLYCAB,NIFTY MIDCAP 50
POONAWALLA,NIFTY SMALLCAP 50
POWERGRID,"NIFTY 50,NIFTY ENERGY"
POWERINDIA,NIFTY ENERGY
PPLPHARMA,"NIFTY PHARMA,NIFTY SMALLCAP 50"
PRESTIGE,"NIFTY REALTY,NIFTY MIDCAP 50"
RADICO,NIFTY FMCG
RBLBANK,NIFTY SMALLCAP 50
REDINGTON,NIFTY SMALLCAP 50
RELIANCE,"NIFTY 50,NIFTY ENERGY"
RPOWER,"NIFTY ENERGY,NIFTY SMALLCAP 50"
SAIL,NIFTY METAL
SAILIFE,NIFTY SMALLCAP 50
SBICARD,NIFTY MIDCAP 50
SBILIFE,NIFTY 50
SBIN,"NIFTY 50,NIFTY BANK"
SHRIRAMFIN,NIFTY 50
SIEMENS,NIFTY ENERGY
SJVN,NIFTY ENERGY
SOBHA,NIFTY REALTY
SONACOMS,"NIFTY AUTO,NIFTY SMALLCAP 50"
SRF,NIFTY MIDCAP 50
SUNPHARMA,"NIFTY 50,NIFTY PHARMA"
SUPREMEIND,NIFTY MIDCAP 50
SUZLON,"NIFTY ENERGY,NIFTY MIDCAP 50"
SWIGGY,NIFTY MIDCAP 50
SYNGENE,NIFTY SMALLCAP 50
TATACHEM,NIFTY SMALLCAP 50
TATACONSUM,"NIFTY 50,NIFTY FMCG"
TATAPOWER,NIFTY ENERGY
TATASTEEL,"NIFTY 50,NIFTY METAL"
TATATECH,NIFTY SMALLCAP 50
TCS,"NIFTY 50,NIFTY IT"
TECHM,"NIFTY 50,NIFTY IT"
THERMAX,NIFTY ENERGY
TIINDIA,"NIFTY AUTO,NIFTY MIDCAP 50"
TITAN,NIFTY 50
TMPV,"NIFTY 50,NIFTY AUTO"
TORNTPHARM,NIFTY PHARMA
TORNTPOWER,NIFTY ENERGY
TRENT,NIFTY 50
TVSMOTOR,NIFTY AUTO
UBL,NIFTY FMCG
ULTRACEMCO,NIFTY 50
UNIONBANK,NIFTY BANK
UNITDSPR,NIFTY FMCG
UNOMINDA,NIFTY AUTO
UPL,NIFTY MIDCAP 50
VBL,NIFTY FMCG
VEDL,NIFTY METAL
WAAREEENER,NIFTY MIDCAP 50
WELCORP,"NIFTY METAL,NIFTY SMALLCAP 50"
WIPRO,"NIFTY 50,NIFTY IT"
WOCKPHARMA,"NIFTY PHARMA,NIFTY SMALLCAP 50"
YESBANK,"NIFTY BANK,NIFTY MIDCAP 50"
ZYDUSLIFE,NIFTY PHARMA
