Symbol,Company Name,Type,MarketCap,All-Time High (ATH),Current Market Price (CMP),Buy Trigger Price,Sell Trigger Price,CMP Proximity to Buy (%),ClosenessAbs (%)
INFY,Infosys Limited,Non-PSU,648126.3460352,1999.7,1602.0,1599.76,1919.71,0.14,0.14
IOC,Indian Oil Corporation Limited,PSU,198798.2524416,202.12,140.34,141.49,169.78,-0.81,0.81
ITC,ITC Limited,Non-PSU,526906.1894144,522.75,413.9,418.2,501.84,-1.03,1.03
INDUSTOWER,Indus Towers Limited,Non-PSU,103155.7545984,482.3,380.35,385.84,463.01,-1.42,1.42
PFC,Power Finance Corporation Limited,PSU,138208.3985408,570.6,406.45,399.42,479.3,1.76,1.76
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,695.0,542.5,556.0,667.2,-2.43,2.43
NATIONALUM,National Aluminium Company Limited,PSU,34614.9650432,256.85,185.68,179.8,215.75,3.27,3.27
COALINDIA,Coal India Limited,PSU,245862.1313024,540.4,391.2,378.28,453.94,3.42,3.42
HINDUNILVR,Hindustan Unilever Limited,Non-PSU,561505.0555392,3028.55,2319.0,2422.84,2907.41,-4.29,4.29
ONGC,Oil & Natural Gas Corporation Limited,PSU,302002.6806272,341.75,251.51,239.22,287.07,5.14,5.14
HINDALCO,Hindalco Industries Limited,Non-PSU,145422.9553152,761.55,641.8,609.24,731.09,5.34,5.34
TCS,Tata Consultancy Services Limited,Non-PSU,1224434.0441088,4553.75,3445.7,3643.0,4371.6,-5.42,5.42
HCLTECH,HCL Technologies Limited,Non-PSU,443638.1925376,1995.1,1695.3,1596.08,1915.3,6.22,6.22
NTPC,NTPC Limited,PSU,322753.65888,443.2,331.95,310.24,372.29,7.0,7.0
OIL,Oil India Limited,PSU,69065.6575488,741.0,477.75,518.7,622.44,-7.89,7.89
LICHSGFIN,LIC Housing Finance Limited,Non-PSU,33743.6147712,816.35,600.0,653.08,783.7,-8.13,8.13
SUNPHARMA,Sun Pharmaceutical Industries Limited,Non-PSU,402895.4836992,1948.7,1687.8,1558.96,1870.75,8.26,8.26
VEDL,Vedanta Limited,Non-PSU,174976.9650176,522.0,458.1,417.6,501.12,9.7,9.7
WIPRO,Wipro Limited,Non-PSU,260266.262528,360.75,260.21,288.6,346.32,-9.84,9.84
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Non-PSU,317907.795968,1590.15,1405.0,1272.12,1526.54,10.45,10.45
RECLTD,REC Limited,PSU,109357.8981376,645.8,402.7,452.06,542.47,-10.92,10.92
RELIANCE,Reliance Industries Limited,Non-PSU,1953416.347648,1600.9,1427.9,1280.72,1536.86,11.49,11.49
POWERGRID,Power Grid Corporation of India Limited,PSU,275158.4796672,365.45,285.5,255.82,306.98,11.6,11.6
GICRE,General Insurance Corporation of India,PSU,70140.9329152,501.0,391.5,350.7,420.84,11.63,11.63
CIPLA,Cipla Limited,Non-PSU,121492.7208448,1680.5,1505.2,1344.4,1613.28,11.96,11.96
LICI,Life Insurance Corporation Of India,PSU,607105.1091968,1188.1,937.95,831.67,998.0,12.78,12.78
GAIL,GAIL (India) Limited,PSU,125682.64704,240.97,191.34,168.68,202.41,13.43,13.43
LT,Larsen & Toubro Limited,Non-PSU,502843.6246528,3947.3,3587.4,3157.84,3789.41,13.6,13.6
AXISBANK,Axis Bank Limited,Non-PSU,370569.6944128,1317.3,1205.8,1053.84,1264.61,14.42,14.42
ULTRACEMCO,UltraTech Cement Limited,Non-PSU,331004.7461376,12237.0,11224.0,9789.6,11747.52,14.65,14.65
SHRIRAMFIN,Shriram Finance Limited,Non-PSU,129427.4789376,725.69,667.15,580.55,696.66,14.92,14.92
MARUTI,Maruti Suzuki India Limited,Non-PSU,391809.0207232,13495.6,12408.0,10796.48,12955.78,14.93,14.93
BANKBARODA,Bank of Baroda,PSU,127370.5660416,296.95,239.22,207.87,249.44,15.08,15.08
INDIGO,InterGlobe Aviation Limited,Non-PSU,211793.3727744,5695.0,5262.0,4556.0,5467.2,15.5,15.5
KOTAKBANK,Kotak Mahindra Bank Limited,Non-PSU,412243.72224,2268.8,2107.4,1815.04,2178.05,16.11,16.11
BAJAJ-AUTO,Bajaj Auto Limited,Non-PSU,241220.190208,12666.4,8463.5,10133.12,12159.74,-16.48,16.48
HINDZINC,Hindustan Zinc Limited,Non-PSU,212216.6960128,772.3,514.25,617.84,741.41,-16.77,16.77
M&M,Mahindra & Mahindra Limited,Non-PSU,372668.1833472,3211.1,3006.0,2568.88,3082.66,17.02,17.02
GRASIM,Grasim Industries Limited,Non-PSU,174650.8972032,2843.75,2663.8,2275.0,2730.0,17.09,17.09
MAHABANK,Bank of Maharashtra,PSU,42341.9969536,94.25,54.4,65.97,79.17,-17.54,17.54
ADANIPOWER,Adani Power Limited,Non-PSU,214156.6009344,874.5,570.9,699.6,839.52,-18.4,18.4
