Symbol,Company Name,Sector,Industry,Market Cap,Net Profit (Cr),ROCE (%),ROE (%),Debt to Equity,Latest Quarter Profit (Cr),Last 3Q Avg Profit (Cr),Public Holding (%),Is Bank/Finance,Is PSU,Screening Date
FEDERALBNK,The Federal Bank Limited,Financial Services,Banks - Regional,628909277184,4158.85,1.13,11.45,0.0,918.32,1043.78,92.87,True,False,2026-01-11
HDBFS,HDBFS,Financial Services,Credit Services,625234673664,2175.92,1.99,12.58,4.6827,0.0,0.0,24.65,True,False,2026-01-11
NATIONALUM,National Aluminium Company Limited,Basic Materials,Aluminum,612745805824,5267.94,21.42,34.46,0.0028,1429.94,1561.01,48.66,False,True,2026-01-11
ABBOTINDIA,Abbott India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,602205192192,1414.44,20.24,40.07,0.0455,415.27,364.56,24.5,False,False,2026-01-11
SUNDARMFIN,Sundaram Finance Limited,Financial Services,Credit Services,578838855680,1879.44,2.6,14.27,3.7704,475.21,481.53,64.77,True,False,2026-01-11
NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,Asset Management,570797064192,1286.39,23.29,31.59,0.0194,396.12,318.02,27.46,True,False,2026-01-11
COLPAL,Colgate-Palmolive (India) Limited,Consumer Defensive,Household & Personal Products,556946358272,1436.81,33.48,81.97,0.0379,320.62,357.61,48.57,False,False,2026-01-11
AIIL,Authum Investment & Infrastructure Limited,Financial Services,Capital Markets,530955567104,4241.41,23.56,27.51,0.2029,766.87,1081.67,19.53,True,False,2026-01-11
MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services,Capital Markets,495354544128,2501.64,5.58,16.87,1.2104,1162.06,583.14,26.07,True,False,2026-01-11
M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,Credit Services,493303660544,2261.87,1.75,10.99,4.3508,527.87,588.07,45.92,True,False,2026-01-11
360ONE,360 One Wam Limited,Financial Services,Asset Management,479394332672,1015.3,7.48,16.99,1.4724,284.67,257.19,63.64,True,False,2026-01-11
MAHABANK,Bank of Maharashtra,Financial Services,Banks - Regional,477030219776,5541.78,1.76,22.43,0.0,1504.37,1415.56,26.39,True,False,2026-01-11
HUDCO,Housing and Urban Development Corporation Limited,Financial Services,Credit Services,435473317888,2709.14,2.13,15.94,7.0576,709.83,697.67,24.97,True,False,2026-01-11
IREDA,Indian Renewable Energy Development Agency Limited,Financial Services,Credit Services,396607258624,1698.34,2.2,15.48,5.5484,246.88,438.22,28.24,True,True,2026-01-11
PAGEIND,Page Industries Limited,Consumer Cyclical,Apparel Manufacturing,387784245248,729.14,22.87,52.72,0.1903,194.76,189.82,51.53,False,False,2026-01-11
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Services,Credit Services,350430855168,2173.66,2.22,18.28,6.3538,549.92,559.42,52.3,True,False,2026-01-11
CENTRALBK,Central Bank of India,Financial Services,Banks - Regional,337979310080,3934.21,0.96,12.72,0.0,1281.98,997.26,96.9,True,False,2026-01-11
LICHSGFIN,LIC Housing Finance Limited,Financial Services,Mortgage Finance,289195622400,5442.23,1.79,15.31,6.7925,1363.89,1378.64,54.51,True,False,2026-01-11
KARURVYSYA,The Karur Vysya Bank Limited,Financial Services,Banks - Regional,265433563136,1941.64,1.74,17.76,0.0,521.45,494.33,94.57,True,False,2026-01-11
PNBHOUSING,PNB Housing Finance Limited,Financial Services,Mortgage Finance,255181160448,1936.14,2.67,12.7,2.6191,533.5,501.11,67.34,True,True,2026-01-11
HBLENGINE,HBLENGINE,Industrials,Electrical Equipment & Parts,252552314880,276.92,23.88,38.13,0.044,387.27,84.28,38.03,False,False,2026-01-11
ANGELONE,Angel One Limited,Financial Services,Capital Markets,219296006144,1172.08,4.26,14.08,0.7635,114.47,293.12,47.77,True,False,2026-01-11
CUB,City Union Bank Limited,Financial Services,Banks - Regional,207416475648,1123.63,1.55,12.85,0.0,305.92,286.38,93.68,True,False,2026-01-11
CAMS,Computer Age Management Services Limited,Technology,Information Technology Services,184899878912,470.19,21.87,40.83,0.0639,109.09,119.76,96.24,False,False,2026-01-11
FIVESTAR,Five-Star Business Finance Limited,Financial Services,Credit Services,152248107008,1072.49,7.83,17.64,1.2306,266.31,273.64,69.9,True,False,2026-01-11
J&KBANK,Jammu and Kashmir Bank Limited,Financial Services,Banks - Regional,112452755456,2081.79,1.25,14.8,0.0,484.53,554.43,37.91,True,False,2026-01-11
SOUTHBANK,The South Indian Bank Limited,Financial Services,Banks - Regional,110900387840,1303.09,1.06,13.55,0.0,322.17,336.4,95.31,True,True,2026-01-11
INGERRAND,Ingersoll-Rand (India) Limited,Industrials,Specialty Industrial Machinery,104894152704,267.52,23.01,41.05,0.0151,60.35,68.1,23.09,False,False,2026-01-11
WAAREERTL,Waaree Renewable Technologies Limited,Utilities,Utilities - Renewable,96944349184,229.16,23.77,71.73,0.1231,86.44,66.95,24.52,False,False,2026-01-11
TTML,Tata Teleservices (Maharashtra) Limited,Communication Services,Telecom Services,93210951680,1275.32,20.76,0.0,0.0,324.98,317.31,45.25,False,False,2026-01-11
TMB,Tamilnad Mercantile Bank Limited,Financial Services,Banks - Regional,89449046016,1182.61,1.84,13.59,0.0,304.89,298.44,69.18,True,False,2026-01-11
GANESHHOU,Ganesh Housing Limited,Real Estate,Real Estate - Development,64766820352,598.06,20.7,29.66,0.0348,93.06,161.41,14.33,False,False,2026-01-11
