Symbol,Company Name,Type,MarketCap,All-Time High (ATH),Current Market Price (CMP),Buy Trigger Price,Sell Trigger Price,CMP Proximity to Buy (%),ClosenessAbs (%)
ITC,ITC Limited,Non-PSU,526906.1894144,522.75,418.2,418.2,501.84,0.0,0.0
IOC,Indian Oil Corporation Limited,PSU,198798.2524416,202.12,141.85,141.49,169.78,0.26,0.26
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,695.0,550.15,556.0,667.2,-1.05,1.05
INDUSTOWER,Indus Towers Limited,Non-PSU,103155.7545984,482.3,391.05,385.84,463.01,1.35,1.35
INFY,Infosys Limited,Non-PSU,648126.3460352,1999.7,1623.8,1599.76,1919.71,1.5,1.5
PFC,Power Finance Corporation Limited,PSU,138208.3985408,570.6,406.55,399.42,479.3,1.79,1.79
HINDUNILVR,Hindustan Unilever Limited,Non-PSU,561505.0555392,3028.55,2327.4,2422.84,2907.41,-3.94,3.94
TCS,Tata Consultancy Services Limited,Non-PSU,1224434.0441088,4553.75,3496.3,3643.0,4371.6,-4.03,4.03
COALINDIA,Coal India Limited,PSU,245862.1313024,540.4,394.35,378.28,453.94,4.25,4.25
NATIONALUM,National Aluminium Company Limited,PSU,34614.9650432,256.85,188.03,179.8,215.75,4.58,4.58
HINDALCO,Hindalco Industries Limited,Non-PSU,145422.9553152,761.55,649.6,609.24,731.09,6.62,6.62
LICHSGFIN,LIC Housing Finance Limited,Non-PSU,33743.6147712,816.35,605.5,653.08,783.7,-7.29,7.29
OIL,Oil India Limited,PSU,69065.6575488,741.0,480.85,518.7,622.44,-7.3,7.3
ONGC,Oil & Natural Gas Corporation Limited,PSU,302002.6806272,341.75,256.79,239.22,287.07,7.34,7.34
NTPC,NTPC Limited,PSU,322753.65888,443.2,333.7,310.24,372.29,7.56,7.56
HCLTECH,HCL Technologies Limited,Non-PSU,443638.1925376,1995.1,1723.0,1596.08,1915.3,7.95,7.95
SUNPHARMA,Sun Pharmaceutical Industries Limited,Non-PSU,402895.4836992,1948.7,1685.3,1558.96,1870.75,8.1,8.1
WIPRO,Wipro Limited,Non-PSU,260266.262528,360.75,262.89,288.6,346.32,-8.91,8.91
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Non-PSU,317907.795968,1590.15,1400.6,1272.12,1526.54,10.1,10.1
GICRE,General Insurance Corporation of India,PSU,70140.9329152,501.0,386.95,350.7,420.84,10.34,10.34
VEDL,Vedanta Limited,Non-PSU,174976.9650176,522.0,463.9,417.6,501.12,11.09,11.09
RECLTD,REC Limited,PSU,109357.8981376,645.8,401.5,452.06,542.47,-11.18,11.18
RELIANCE,Reliance Industries Limited,Non-PSU,1953416.347648,1600.9,1437.8,1280.72,1536.86,12.26,12.26
POWERGRID,Power Grid Corporation of India Limited,PSU,275158.4796672,365.45,288.65,255.82,306.98,12.84,12.84
CIPLA,Cipla Limited,Non-PSU,121492.7208448,1680.5,1527.0,1344.4,1613.28,13.58,13.58
GAIL,GAIL (India) Limited,PSU,125682.64704,240.97,191.63,168.68,202.41,13.61,13.61
LICI,Life Insurance Corporation Of India,PSU,607105.1091968,1188.1,949.4,831.67,998.0,14.16,14.16
LT,Larsen & Toubro Limited,Non-PSU,502843.6246528,3947.3,3628.7,3157.84,3789.41,14.91,14.91
AXISBANK,Axis Bank Limited,Non-PSU,370569.6944128,1317.3,1215.4,1053.84,1264.61,15.33,15.33
BANKBARODA,Bank of Baroda,PSU,127370.5660416,296.95,240.62,207.87,249.44,15.76,15.76
BAJAJ-AUTO,Bajaj Auto Limited,Non-PSU,241220.190208,12666.4,8529.5,10133.12,12159.74,-15.83,15.83
MARUTI,Maruti Suzuki India Limited,Non-PSU,391809.0207232,13495.6,12530.0,10796.48,12955.78,16.06,16.06
SHRIRAMFIN,Shriram Finance Limited,Non-PSU,129427.4789376,725.69,676.15,580.55,696.66,16.47,16.47
HINDZINC,Hindustan Zinc Limited,Non-PSU,212216.6960128,772.3,512.95,617.84,741.41,-16.98,16.98
MAHABANK,Bank of Maharashtra,PSU,42341.9969536,94.25,54.61,65.97,79.17,-17.23,17.23
ULTRACEMCO,UltraTech Cement Limited,Non-PSU,331004.7461376,12237.0,11495.0,9789.6,11747.52,17.42,17.42
M&M,Mahindra & Mahindra Limited,Non-PSU,372668.1833472,3211.1,3023.6,2568.88,3082.66,17.7,17.7
KOTAKBANK,Kotak Mahindra Bank Limited,Non-PSU,412243.72224,2268.8,2139.0,1815.04,2178.05,17.85,17.85
INDIGO,InterGlobe Aviation Limited,Non-PSU,211793.3727744,5695.0,5382.5,4556.0,5467.2,18.14,18.14
IRB,IRB Infrastructure Developers Limited,Non-PSU,31191.4364928,76.85,50.01,61.48,73.78,-18.66,18.66
GRASIM,Grasim Industries Limited,Non-PSU,174650.8972032,2843.75,2704.9,2275.0,2730.0,18.9,18.9
DRREDDY,Dr. Reddy's Laboratories Limited,Non-PSU,109906.9390848,1412.49,1346.8,1129.99,1355.99,19.19,19.19
ADANIPOWER,Adani Power Limited,Non-PSU,214156.6009344,874.5,562.95,699.6,839.52,-19.53,19.53
