Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,ATH_Sales,ATH_Sales_Flag,Signal
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1915.199951171875,False,28070.9,False,False,17.03,-1.52,False,172985.0,True,EXIT
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,729.0,False,49307.979999999996,False,False,-32.03,-31.57,False,,False,EXIT
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1429.5999755859375,True,56090.159999999996,True,True,-5.46,-5.12,False,,False,HOLD
SBIN,State Bank of India,Financial Services,Banks - Regional,1066.0,False,62161.45,False,True,24.61,24.83,True,,False,HOLD
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,1093.300048828125,False,20303.53,True,True,19.69,19.92,True,,False,HOLD
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,4037.39990234375,False,16280.750000000002,True,True,4.57,5.43,True,255734.0,True,HOLD
LICI,Life Insurance Corporation of India,Financial Services,Insurance - Life,406.0,False,47354.67,False,False,-15.43,-15.04,False,889970.0,True,EXIT
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2064.89990234375,False,15028.0,True,False,-17.99,-22.64,False,63121.0,True,EXIT
INFY,Infosys Limited,Technology,Information Technology Services,1190.699951171875,False,332.4,False,False,-21.8,-21.26,False,162990.0,True,EXIT
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1942.0,True,11256.259999999998,True,True,4.19,16.11,True,52578.0,True,ADD
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,13990.0,False,14777.4,True,False,-0.85,6.43,False,152913.0,True,EXIT
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,5128.0,True,4825.0,True,True,36.05,43.24,True,60456.0,True,ADD
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,2995.5,False,7007.960000000001,False,True,17.14,26.56,True,127540.0,False,HOLD
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3460.10009765625,False,18880.07,True,True,-3.32,3.97,False,159211.0,True,HOLD
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,209.0,False,14687.210000000001,False,True,84.98,71.33,True,56203.0,True,HOLD
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,1668.199951171875,False,13317.560000000001,True,True,19.1,19.92,True,30475.0,True,HOLD
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,392.8999938964844,False,15827.900000000001,False,False,-5.55,-5.21,False,,False,EXIT
AXISBANK,AXISBANK,Financial Services,Banks - Regional,1229.800048828125,False,28489.31,True,False,9.67,9.95,True,,False,HOLD
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,1365.4000244140625,False,13188.0,False,False,-13.36,-12.87,False,117055.0,True,EXIT
ITC,ITC Limited,Consumer Defensive,Tobacco,279.0,False,19957.49,False,False,-33.15,-37.7,False,75323.0,True,EXIT
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials,11780.0,False,9533.34,True,False,-9.87,-9.67,False,75955.0,True,EXIT
NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,338.45001220703125,False,28706.79,True,False,7.67,-3.94,False,188138.0,True,EXIT
HAL,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense,4909.0,False,9115.6,True,True,4.96,5.81,True,30981.0,True,HOLD
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,2032.0,False,10144.27,True,True,0.73,1.05,True,133822.0,True,HOLD
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,11717.0,False,11759.400000000001,True,True,29.76,36.97,True,50995.0,True,HOLD
JSWSTEEL,JSWSTEEL,Basic Materials,Steel,1283.4000244140625,True,25344.0,True,True,17.16,17.29,True,175006.0,False,ADD
ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,239.4499969482422,False,41424.38,False,False,-12.44,-2.21,False,632291.0,False,EXIT
NESTLEIND,Nestlé India Limited,Consumer Defensive,Packaged Foods,1493.199951171875,True,3477.1800000000003,False,True,35.5,30.5,True,24394.0,False,HOLD
BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense,405.8500061035156,False,5828.57,True,False,0.22,1.09,True,23769.0,True,HOLD
ETERNAL,Eternal Limited,Consumer Cyclical,Internet Retail,318.0,False,393.0,False,True,-9.15,-1.85,False,20243.0,True,EXIT
SHRIRAMFIN,Shriram Finance Limited,Financial Services,Credit Services,1129.9000244140625,True,11162.76,False,True,78.35,78.32,True,,False,HOLD
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2735.5,False,4764.83,False,True,5.11,5.27,True,35495.0,False,HOLD
COALINDIA,Coal India Limited,Energy,Thermal Coal,412.6000061035156,False,35645.79,False,False,-6.84,3.24,False,144762.0,False,EXIT
HINDZINC,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining,586.6500244140625,False,16652.0,True,True,35.84,35.92,True,34098.0,False,HOLD
DMART,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,4054.89990234375,False,3146.09,True,True,-2.98,-7.73,False,59358.0,True,HOLD
POWERGRID,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric,267.95001220703125,False,16504.74,False,False,0.88,-10.56,False,45843.0,False,EXIT
HINDALCO,Hindalco Industries Limited,Basic Materials,Aluminum,1049.0999755859375,False,13391.0,False,True,51.26,51.29,True,238496.0,True,HOLD
TATASTEEL,Tata Steel Limited,Basic Materials,Steel,188.25,False,11034.54,False,False,13.99,14.13,True,243959.0,False,EXIT
ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable,1366.0,False,1283.0,False,True,55.26,42.4,True,11212.0,True,HOLD
GRASIM,Grasim Industries Limited,Basic Materials,Building Materials,3322.199951171875,True,5908.91,False,True,15.66,15.79,True,148478.0,True,HOLD
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers,8000.0,True,5772.5199999999995,True,True,29.22,36.43,True,18451.0,True,ADD
DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,8578.5,True,2541.0,False,True,26.77,38.54,True,9360.0,True,HOLD
INDIGO,InterGlobe Aviation Limited,Industrials,Airlines,5284.0,False,5500.0,False,True,-15.64,-14.74,False,80803.0,True,EXIT
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,1622.0,False,2897.6299999999997,True,True,114.6,100.17,True,23767.0,True,HOLD
TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,4886.0,True,2181.0,True,True,18.71,30.53,True,11516.0,True,ADD
SBILIFE,SBI Life Insurance Company Limited,Financial Services,Insurance - Life,1837.5999755859375,False,2700.68,False,False,-5.7,-5.35,False,,False,EXIT
WIPRO,Wipro Limited,Technology,Information Technology Services,184.60000610351562,False,13219.0,True,False,-28.81,-28.23,False,90488.0,False,EXIT
VAML,Vedanta Aluminium Metal Limited,Basic Materials,Aluminum,463.5,False,7410.0,False,False,,,False,,False,EXIT
HYUNDAI,HYUNDAI,Consumer Cyclical,Auto Manufacturers,2200.0,False,4747.88,False,True,-9.68,-2.38,False,69829.0,False,EXIT
MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,Auto Parts,169.25999450683594,True,3859.6800000000003,True,True,74.75,81.84,True,113663.0,True,ADD
JIOFIN,Jio Financial Services Limited,Financial Services,Asset Management,252.75,False,1696.1100000000001,True,False,-27.96,-27.51,False,2043.0,True,EXIT
PIDILITIND,Pidilite Industries Limited,Basic Materials,Specialty Chemicals,1685.800048828125,True,2742.0999999999995,True,True,4.08,4.24,True,13140.0,True,ADD
SOLARINDS,Solar Industries India Limited,Basic Materials,Specialty Chemicals,18770.0,True,1677.55,True,True,21.3,21.42,True,7540.0,True,ADD
TMCV,TMCV,Consumer Cyclical,Auto Manufacturers,450.04998779296875,False,5193.0,False,False,,,False,,False,EXIT
ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,7611.5,False,2930.54,True,True,45.42,46.18,True,13203.0,True,HOLD
TRENT,Trent Limited,Consumer Cyclical,Apparel Retail,3000.0,False,1719.65,False,False,-56.93,-49.52,False,17135.0,True,EXIT
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services,1914.4000244140625,True,5729.22,True,True,24.25,24.46,True,,False,ADD
DLF,DLF Limited,Real Estate,Real Estate - Development,650.0999755859375,False,4028.49,False,True,-3.61,-19.64,False,9926.0,False,EXIT
TATACAP,TATACAP,Financial Services,Credit Services,367.20001220703125,True,4306.27,True,True,,,False,,False,HOLD
ICICIAMC,ICICIAMC,Financial Services,Asset Management,3028.5,False,3479.24,False,False,,,False,4977.0,True,EXIT
CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery,5378.5,False,2268.92,True,True,36.41,37.2,True,10391.0,True,HOLD
VBL,Varun Beverages Limited,Consumer Defensive,Beverages - Non-Alcoholic,437.0,False,3961.97,True,False,-14.4,-19.07,False,21685.0,True,EXIT
POWERINDIA,Hitachi Energy India Limited,Industrials,Electrical Equipment & Parts,35000.0,False,907.37,False,True,62.59,63.32,True,,False,HOLD
TECHM,Tech Mahindra Limited,Technology,Information Technology Services,1643.0,False,5081.5,True,True,5.93,6.3,True,53290.0,False,HOLD
BHEL,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery,403.0,False,2513.08,False,True,76.65,77.35,True,39561.0,False,HOLD
BSE,BSE Limited,Financial Services,Financial Data & Stock Exchanges,3605.0,False,2831.5899999999997,True,True,45.69,45.81,True,3212.0,True,HOLD
SIEMENS,Siemens Limited,Industrials,Specialty Industrial Machinery,4011.0,False,1555.2000000000003,False,True,23.33,24.14,True,22240.0,False,HOLD
UNIONBANK,Union Bank of India,Financial Services,Banks - Regional,182.5,False,20645.76,False,True,30.59,30.78,True,,False,HOLD
POLYCAB,Polycab India Limited,Industrials,Electrical Equipment & Parts,9125.0,False,2770.92,True,True,29.61,30.41,True,22408.0,True,HOLD
PFC,Power Finance Corporation Limited,Financial Services,Credit Services,381.0,False,25900.96,True,False,-14.04,-13.65,False,,False,EXIT
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,Electrical Equipment & Parts,881.0,False,1232.56,False,True,27.07,27.87,True,13632.0,False,HOLD
LTM,LTM Limited,Technology,Information Technology Services,4850.0,False,5083.299999999999,False,False,-9.37,-8.9,False,38008.0,True,EXIT
IDEA,Vodafone Idea Limited,Communication Services,Telecom Services,12.890000343322754,False,69388.3,True,True,110.48,90.67,True,44958.0,False,HOLD
BPCL,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,317.79998779296875,False,21524.66,False,False,-15.94,-5.61,False,473187.0,False,EXIT
BRITANNIA,Britannia Industries Limited,Consumer Defensive,Packaged Foods,5598.0,False,2438.9700000000003,True,False,4.19,-0.61,False,17943.0,True,EXIT
PNB,Punjab National Bank,Financial Services,Banks - Regional,114.02999877929688,False,19082.13,False,False,2.09,2.4,True,,False,EXIT
ENRIN,Siemens Energy India Limited,Utilities,Utilities - Renewable,3563.800048828125,False,1309.8,False,True,21.86,9.87,True,,False,HOLD
BANKBARODA,Bank of Baroda Limited,Financial Services,Banks - Regional,246.1999969482422,False,16496.15,False,False,-4.06,-3.71,False,,False,EXIT
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,8750.5,True,1854.0,True,True,4.0,15.92,True,21794.0,True,ADD
TMPV,Tata Motors Passenger Vehicles Limited,Consumer Cyclical,Auto Manufacturers,347.6000061035156,False,89363.0,True,False,-58.87,-51.46,False,439695.0,True,EXIT
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Asset Management,11550.0,False,8856.69,True,True,-22.83,-22.41,False,1702.0,False,HOLD
LODHA,Lodha Developers Limited,Real Estate,Real Estate - Development,1212.0,False,4011.6000000000004,True,True,10.53,-5.68,False,13780.0,True,HOLD
TATAPOWER,The Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,380.0,False,3863.26,False,False,5.82,-5.75,False,65478.0,True,EXIT
INDIANB,Indian Bank,Financial Services,Banks - Regional,875.5999755859375,False,11952.93,True,True,25.07,25.28,True,,False,HOLD
CANBK,Canara Bank,Financial Services,Banks - Regional,130.3000030517578,False,18203.559999999998,True,False,14.13,14.39,True,,False,HOLD
CIPLA,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1463.0,False,3317.1099999999997,False,True,-19.48,-7.41,False,27548.0,True,EXIT
LLOYDSME,Lloyds Metals and Energy Limited,Basic Materials,Steel,1986.199951171875,False,3680.8400000000006,True,True,38.2,38.27,True,6721.0,True,HOLD
GROWW,GROWW,Financial Services,Capital Markets,193.5,False,2346.6699999999996,False,False,,,False,4061.0,True,EXIT
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services,Insurance - Life,536.0,False,2075.2200000000003,True,False,-35.02,-34.54,False,101482.0,False,EXIT
SBIFUNDS,SBIFUNDS,Financial Services,Asset Management,568.4500122070312,False,1241.6,False,False,,,False,,False,EXIT
MUTHOOTFIN,Muthoot Finance Limited,Financial Services,Credit Services,2915.89990234375,False,11373.2,True,False,7.67,7.96,True,,False,HOLD
IRFC,Indian Railway Finance Corporation Limited,Financial Services,Credit Services,87.91000366210938,False,7159.4,False,False,-35.79,-35.31,False,,False,EXIT
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,5865.5,False,5741.7300000000005,True,True,16.7,23.94,True,40923.0,True,HOLD
GAIL,GAIL (India) Limited,Utilities,Utilities - Regulated Gas,175.33999633789062,False,10275.45,False,True,8.35,-3.29,False,145668.0,False,EXIT
GMRAIRPORT,GMR Airports Limited,Industrials,Airports & Air Services,105.11000061035156,False,672.86,True,True,12.21,13.05,True,11088.0,False,HOLD
JINDALSTEL,Jindal Steel Limited,Basic Materials,Steel,1095.0,False,3573.9399999999996,False,False,5.7,5.87,True,53212.0,False,EXIT
MARICO,Marico Limited,Consumer Defensive,Household & Personal Products,855.0,True,1888.0,True,True,21.21,16.3,True,10831.0,True,ADD
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,407.1499938964844,True,4087.51,False,True,45.38,45.5,True,,False,HOLD
ZYDUSLIFE,Zydus Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1191.0,True,4952.299999999999,True,True,8.12,20.01,True,23242.0,True,ADD
GVT&D,GE Vernova T&D India Ltd,Industrials,Specialty Industrial Machinery,4420.0,False,1120.26,True,True,52.48,53.23,True,4020.0,True,HOLD
HDFCAMC,HDFC Asset Management Company Limited,Financial Services,Asset Management,2515.0,False,2229.21,False,False,-13.57,-13.19,False,4051.0,True,EXIT
