Symbol,Company,Sector,Industry,Market_Cap,Net_Profit_Cr,ROCE_Pct,ROE_Pct,Debt_to_Equity,Latest_Q_Profit_Cr,Public_Holding_Pct,Is_Bank_Finance,Is_PSU,Is_Highest_Quarter,Passes_Criteria
ARVIND,Arvind Limited,Consumer Cyclical,Textile Manufacturing,78868635648,353.49,5.24,11.23,0.3914,103.4,57.96,False,False,False,False
ARVINDFASN,Arvind Fashions Limited,Consumer Cyclical,Apparel Manufacturing,65323606016,35.57,5.86,4.82,1.0234,12.57,54.77,False,False,False,False
ARVSMART,Arvind SmartSpaces Limited,Real Estate,Real Estate - Development,27115382784,110.49,3.44,13.15,0.2118,14.18,39.91,False,False,False,False
ASAHIINDIA,Asahi India Glass Limited,Consumer Cyclical,Auto Parts,248834441216,371.27,4.66,10.04,0.7714,56.17,33.02,False,False,False,False
ASAHISONG,Asahi Songwon Colors Limited,Basic Materials,Specialty Chemicals,2970925312,19.75,3.27,4.98,0.4942,2.25,21.31,False,False,False,False
ASAL,Automotive Stampings and Assemblies Limited,Consumer Cyclical,Auto Parts,7411495424,16.78,5.95,189.9,7.1772,4.39,24.82,False,False,False,False
ASALCBR,Associated Alcohols & Breweries Limited,Consumer Defensive,Beverages - Wineries & Distilleries,17736300544,81.42,10.1,16.56,0.1275,14.01,26.77,False,False,False,False
ASHAPURMIN,Ashapura Minechem Limited,Basic Materials,Other Industrial Metals & Mining,82410364928,295.81,7.44,32.93,0.8644,96.61,52.13,False,False,False,False
ASHIANA,Ashiana Housing Limited,Real Estate,Real Estate - Development,28594296832,18.24,1.17,9.24,0.4427,27.54,27.53,False,False,False,False
ASHIMASYN,Ashima Limited,Real Estate,Real Estate - Development,3378967040,19.0,-0.57,-3.53,0.5826,8.08,26.61,False,False,False,False
ASHOKA,Ashoka Buildcon Limited,Industrials,Engineering & Construction,46123765760,1694.1,7.88,38.04,0.4443,78.06,45.6,False,False,False,False
