ticker,year,sales,book_value,eps,sales_growth_pct,roce_pct,pb_ratio,book_value_growth_pct,eps_growth_pct,promoter_holding_pct,ps_ratio,pcf_ratio,promoter_pledging_pct,quality_turnover_pct,interest_coverage_ratio,sector,market_cap
ADANIENT,2005,,,,,,,,,,,,,,,Energy,2498057994240
ADANIENT,2006,,,,,,,,,,0.2,,,,,Energy,2498057994240
ADANIENT,2007,,19.6,,,,9.7,,,,0.6,,,,,Energy,2498057994240
ADANIENT,2008,,36.21,,,,1.4,84.74489795918367,,,0.1,,,,,Energy,2498057994240
ADANIENT,2009,,51.43,,,,2.9,42.0325876829605,,,0.3,,,,,Energy,2498057994240
ADANIENT,2010,,101.89,,,,2.2,98.1139412794089,,,1.1,,,,,Energy,2498057994240
ADANIENT,2011,,143.92,,,,0.7,41.250368043968976,,,0.4,,,,,Energy,2498057994240
ADANIENT,2012,,158.09,,,,0.6,9.84574763757644,,,0.3,,,,,Energy,2498057994240
ADANIENT,2013,,173.7,,,,0.5,9.874122335378566,,,0.2,,,,,Energy,2498057994240
ADANIENT,2014,54947.0,200.42,18.03,,7.0,0.8,15.382843983880257,,,0.3,2.0034151677199805,,2.1056654594427355,1.6452744169735227,Energy,2498057994240
ADANIENT,2015,64465.0,105.39,15.81,17.322146796003413,9.0,0.5,-47.41542760203572,-12.312811980033278,,0.1,0.7555672761368963,,1.2285736446133562,1.7644557823129252,Energy,2498057994240
ADANIENT,2016,34008.0,112.51,8.21,-47.245792290390135,3.0,0.4,6.75585918967645,-48.070841239721695,,0.2,1.3305164319248828,,3.0698659139026114,1.2409727339719971,Energy,2498057994240
ADANIENT,2017,36533.0,117.99,8.02,7.424723594448368,7.0,0.9,4.870678161941155,-2.3142509135201106,74.92,0.3,14.160077519379845,,2.050201187967043,1.5131264916467781,Energy,2498057994240
ADANIENT,2018,35924.0,120.54,6.15,-1.666986012646099,6.0,1.3,2.161200101703553,-23.316708229426432,74.92,0.5,6.105370496261047,,1.0104665404743347,1.6304,Energy,2498057994240
ADANIENT,2019,40379.0,127.11,5.82,12.401180269457734,7.0,1.6,5.450472872075651,-5.36585365853659,74.92,0.6,7.486835599505562,,1.248173555561059,1.2116923076923076,Energy,2498057994240
ADANIENT,2020,43403.0,136.57,9.24,7.489041333366364,9.0,3.4,7.442372748013537,58.762886597938135,74.92,1.5,26.5299511002445,,2.0090777135221067,1.4592875318066159,Energy,2498057994240
ADANIENT,2021,39537.0,151.02,7.49,-8.907218395041816,8.0,11.0,10.580654609357843,-18.939393939393934,74.92,4.0,39.11649765025971,,1.2494625287705188,1.8198983297022513,Energy,2498057994240
ADANIENT,2022,69420.0,247.12,6.3,75.58236588512027,7.0,15.1,63.633955767448015,-15.887850467289722,74.92,3.9,195.47870036101082,,1.4577931431864015,1.4703087885985748,Energy,2498057994240
ADANIENT,2023,127540.0,287.22,19.3,83.72227023912417,9.0,9.6,16.226934282939464,206.34920634920638,69.22999999999999,3.6,26.04924543288324,,0.6539124980398306,2.2217183169564123,Energy,2498057994240
ADANIENT,2024,96421.0,328.13,25.37,-24.39940410851498,10.0,7.1,14.243437086553845,31.450777202072544,72.6,3.0,28.05110550814585,,1.1885377666690866,2.497694840834248,Energy,2498057994240
ADANIENT,2025,97895.0,418.17,55.02,1.5287126248431315,9.0,5.3,27.440343766190246,116.87031927473393,73.97,3.1,67.24451584311987,0.81,6.540681342254456,2.3840749414519906,Energy,2498057994240
ADANIENT,2026,97895.0,418.17,55.02,0.0,9.0,5.0,0.0,0.0,73.97,2.8,,0.81,6.540681342254456,2.3840749414519906,Energy,2498057994240
INFY,2005,,,,,,,,,,,,,,,Technology,5263826878464
INFY,2006,,,,,,,,,,10.7,,,,,Technology,5263826878464
