Symbol,TTM_Net_Profit,Max_Annual_Net_Profit,TTM_Net_Sales,Max_Annual_Net_Sales
ALLCARGO,40.0,366.0,2113.0,2879.0
ALLDIGI,82.0,98.0,347.0,346.0
ALLTIME,35.0,47.0,614.0,610.0
ALMONDZ,4.39,21.12,69.31,63.09
ALOKINDS,-740.0,2282.0,3577.0,22131.0
ALPA,4.0,20.0,111.0,112.0
ALPHAGEO,-2.0,56.0,123.0,429.0
ALPINETEX,,21.0,,240.0
AMAGI,55.0,26.0,1018.0,949.0
AMANTA,15.0,55.0,291.0,288.0
AMBALALSA,4.14,45.68,2.85,15.25
AMBER,144.0,146.0,8163.0,7967.0
AMBICAAGAR,3.0,10.0,136.0,168.0
AMBIKCO,81.0,180.0,847.0,921.0
AMBUJACEM,3495.0,3558.0,24803.0,25062.0
AMDIND,4.0,19.0,318.0,350.0
AMJLAND,14.0,20.0,15.0,291.0
AMNPLST,39.0,40.0,581.0,656.0
AMRUTANJAN,54.0,67.0,511.0,503.0
ANANDRATHI,462.0,391.0,1156.0,1208.0
ANANTRAJ,308.0,298.0,1535.0,1492.0
ANDHRAPAP,28.0,522.0,1702.0,2098.0
ANDHRSUGAR,104.0,190.0,1479.0,1453.0
ANGELONE,1160.0,1216.0,5347.0,5175.0
ANIKINDS,2.0,36.0,110.0,610.0
ANKITMETAL,-257.0,51.0,818.0,1476.0
ANMOL,12.0,21.0,1296.0,1501.0
ANSALAPI,-1391.0,29.0,193.0,914.0
ANTELOPUS,133.0,90.0,359.0,279.0
ANTGRAPHIC,1.09,1.28,98.32,62.91
ANTHEM,624.0,671.0,1935.0,2089.0
ANUHPHR,44.0,60.0,779.0,772.0
ANUP,83.0,117.0,738.0,789.0
ANURAS,164.0,169.0,1689.0,1676.0
APARINDS,1169.0,974.0,23593.0,21997.0
APCL,-110.0,85.0,237.0,477.0
APCOTEXIND,161.0,108.0,1591.0,1442.0
APEX,51.0,79.0,927.0,1070.0
APLAPOLLO,578.0,547.0,15214.0,15110.0
APLLTD,734.0,1097.0,7025.0,6651.0
APOLLO,129.0,121.0,787.0,765.0
APOLLOHOSP,1571.0,1493.0,9814.0,9794.0
APOLLOPIPE,-0.0,50.0,912.0,977.0
APOLLOTYRE,1934.0,1852.0,20553.0,19816.0
APOLSINHOT,11.0,12.0,372.0,355.0
APTECHT,22.0,55.0,289.0,285.0
APTUS,731.0,693.0,1547.0,1510.0
AQYLON,12.0,6.0,22.0,138.0
ARCHIDPLY,12.0,12.0,529.0,508.0
