Symbol,Company Name,Sector,Industry,Market Cap,Net Profit (Cr),ROCE (%),ROE (%),Debt to Equity,Latest Quarter Profit (Cr),Last 3Q Profits (Cr),Public Holding (%),Is Bank/Finance,Is PSU,Passes Criteria,Screening Date
RELAXO,Relaxo Footwears Limited,Consumer Cyclical,Footwear & Accessories,96857931776,170.33,4.86,8.46,0.1021,36.16,"48.9, 56.22, 33.01",28.52,False,False,False,2026-01-16
SANOFI,Sanofi India Limited,Healthcare,Drug Manufacturers - General,95917039616,413.3,0.0,0.0,0.0267,69.5,"119.5, 91.3, 82.2",39.41,False,False,False,2026-01-16
SANOFICONR,SANOFICONR,Healthcare,Drug Manufacturers - General,94943535104,181.0,0.0,0.0,0.1101,62.9,"60.7, 50.0, 44.3",28.54,False,False,False,2026-01-16
NCC,NCC Limited,Industrials,Engineering & Construction,94315118592,819.88,4.72,11.42,0.3789,192.14,"253.82, 193.18, 162.96",64.77,False,False,False,2026-01-16
SONATSOFTW,Sonata Software Limited,Technology,Information Technology Services,94065721344,424.67,7.49,27.02,0.4169,120.19,"109.34, 107.53, 105.01",58.06,False,False,False,2026-01-16
RHIM,RHI Magnesita India Limited,Industrials,Metal Fabrication,94054047744,202.51,2.84,3.97,0.1031,38.35,"35.27, 36.18, 47.54",29.4,False,False,False,2026-01-16
JYOTHYLAB,Jyothy Labs Limited,Consumer Defensive,Household & Personal Products,93511172096,370.43,11.92,20.94,0.0374,87.76,"96.79, 76.3, 87.41",31.24,False,False,False,2026-01-16
HONASA,Honasa Consumer Limited,Consumer Defensive,Household & Personal Products,93023223808,72.69,3.42,10.98,0.1118,39.23,"41.32, 24.98, 26.02",45.68,False,False,False,2026-01-16
TSFINV,TSF Investments Limited,Financial Services,Asset Management,92160917504,412.1,1.52,8.19,0.0458,100.5,"157.16, 107.14, 105.72",48.35,True,False,False,2026-01-16
VESUVIUS,Vesuvius India Limited,Industrials,Specialty Industrial Machinery,92143042560,264.52,0.0,0.0,0.0,61.54,"63.0, 59.31, 59.93",42.59,False,False,False,2026-01-16
EMBDL,Embassy Developments Limited,Real Estate,Real Estate - Diversified,91868069888,199.6,0.68,-2.86,0.4592,165.85,"181.84, 22.17, 34.34",39.48,False,False,False,2026-01-16
SKFINDIA,SKF India Limited,Industrials,Tools & Accessories,91756863488,565.91,11.48,21.26,0.0012,105.49,"118.21, 203.28, 109.5",46.92,False,False,False,2026-01-16
CLEAN,Clean Science and Technology Limited,Basic Materials,Specialty Chemicals,91644674048,264.4,12.44,18.96,0.0014,70.06,"74.09, 65.64, 58.75",44.33,False,False,False,2026-01-16
ASKAUTOLTD,ASKAUTOLTD,Consumer Cyclical,Auto Parts,91474165760,247.62,11.15,25.91,0.5276,66.07,"57.62, 65.89, 67.28",23.97,False,False,False,2026-01-16
HCG,HealthCare Global Enterprises Limited,Healthcare,Medical Care Facilities,91043766272,44.41,3.68,4.33,1.7791,16.27,"4.75, 7.36, 6.98",34.47,False,False,False,2026-01-16
OLECTRA,Olectra Greentech Limited,Industrials,Farm & Heavy Construction Machinery,90948894720,138.89,6.67,13.53,0.3254,49.55,"26.03, 21.0, 46.33",49.69,False,False,False,2026-01-16
APOLLO,Apollo Micro Systems Limited,Industrials,Aerospace & Defense,90844749824,56.4,6.94,9.66,0.3348,18.51,"14.0, 18.26, 15.7",41.53,False,False,False,2026-01-16
PGHL,Procter & Gamble Health Limited,Healthcare,Drug Manufacturers - Specialty & Generic,90572324864,200.98,0.0,0.0,0.01,66.18,"61.18, 90.9, 82.33",47.76,False,False,False,2026-01-16
BANCOINDIA,Banco Products (India) Limited,Consumer Cyclical,Auto Parts,90196615168,391.8,11.51,29.77,0.4458,138.9,"109.52, 153.5, 30.93",30.03,False,False,False,2026-01-16
TTML,Tata Teleservices (Maharashtra) Limited,Communication Services,Telecom Services,89926672384,1275.32,20.76,0.0,0.0,324.98,"306.42, 315.11, 330.39",45.25,False,False,True,2026-01-16
LATENTVIEW,Latent View Analytics Limited,Industrials,Consulting Services,89888210944,174.18,6.73,12.25,0.0152,50.56,"53.48, 41.9, 40.7",27.74,False,False,False,2026-01-16
RKFORGE,Ramkrishna Forgings Limited,Industrials,Metal Fabrication,89805643776,415.03,1.93,7.42,0.8873,9.5,"11.79, 44.74, 99.61",47.65,False,False,False,2026-01-16
TMB,Tamilnad Mercantile Bank Limited,Financial Services,Banks - Regional,89591595008,1182.61,1.84,13.59,0.0,304.89,"291.9, 300.24, 303.18",69.18,True,False,True,2026-01-16
ESABINDIA,ESAB India Limited,Industrials,Tools & Accessories,89576243200,175.42,24.64,54.43,0.0088,79.2,"40.94, 47.43, 40.38",25.8,False,False,False,2026-01-16
GRINFRA,G R Infraprojects Limited,Industrials,Engineering & Construction,89425182720,1014.34,6.49,13.02,0.6254,192.62,"244.06, 403.9, 261.71",23.83,False,False,False,2026-01-16
LLOYDSENT,Lloyds Enterprises Limited,Basic Materials,Steel,89242222592,57.09,1.37,11.0,0.1595,23.46,"229.73, 9.43, 19.44",25.37,False,False,False,2026-01-16
ASTRAMICRO,Astra Microwave Products Limited,Technology,Communication Equipment,88968216576,153.51,9.08,15.03,0.2389,23.9,"16.27, 73.49, 47.43",78.46,False,False,False,2026-01-16
JSLL,JSLL,Healthcare,Medical Care Facilities,88875024384,90.73,32.93,54.37,0.3004,58.75,"51.27, 26.6",29.24,False,False,False,2026-01-16
JLHL,Jupiter Life Line Hospitals Limited,Healthcare,Medical Care Facilities,88505991168,193.5,9.16,14.67,0.2781,57.48,"43.84, 44.87, 52.51",36.21,False,False,False,2026-01-16
TIMETECHNO,Time Technoplast Limited,Consumer Cyclical,Packaging & Containers,88440905728,387.94,9.42,14.59,0.2195,115.44,"95.1, 109.51, 100.76",47.34,False,False,False,2026-01-16
AEQUS,AEQUS,Industrials,Aerospace & Defense,88385667072,102.35,0.0,0.0,1.08,0.0,N/A,13.43,False,False,False,2026-01-16
GPPL,Gujarat Pipavav Port Limited,Industrials,Marine Shipping,88338972672,396.9,10.65,20.21,0.0211,104.32,"112.36, 99.37, 75.49",56.04,False,False,False,2026-01-16
ELECON,Elecon Engineering Company Limited,Industrials,Specialty Industrial Machinery,87942332416,415.1,0.0,0.0,0.1149,71.99,"175.44, 146.48, 107.54",36.71,False,False,False,2026-01-16
SHAKTIPUMP,Shakti Pumps (India) Limited,Industrials,Specialty Industrial Machinery,87888928768,408.37,14.86,31.28,0.38,90.71,"96.83, 110.23, 104.05",43.35,False,False,False,2026-01-16
KPIGREEN,KPI Green Energy Limited,Utilities,Utilities - Renewable,87664746496,319.58,8.87,17.26,0.8824,116.64,"103.95, 98.48, 85.15",43.49,False,False,False,2026-01-16
STARCEMENT,Star Cement Limited,Basic Materials,Building Materials,87562764288,169.0,6.56,10.48,0.2139,98.45,"123.3, 9.05, 5.74",14.35,False,False,False,2026-01-16
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Apparel Manufacturing,86715744256,375.82,-1.75,-14.87,0.8468,233.73,"22.84, 51.31, 146.19",47.12,False,False,False,2026-01-16
BBOX,Black Box Limited,Technology,Software - Application,86647152640,204.78,8.05,28.5,1.1475,55.65,"47.43, 60.47, 56.08",24.3,False,False,False,2026-01-16
ZEEL,Zee Entertainment Enterprises Limited,Communication Services,Broadcasting,85966487552,679.5,3.48,5.01,0.0246,143.7,"188.4, 163.6, 209.4",96.73,False,False,False,2026-01-16
VARROC,Varroc Engineering Limited,Consumer Cyclical,Auto Parts,85827387392,61.23,6.2,8.83,0.5314,60.95,"105.06, 20.57, 47.43",24.99,False,False,False,2026-01-16
CSBBANK,CSB Bank Limited,Financial Services,Banks - Regional,85277933568,593.8,1.39,14.05,0.0,160.33,"118.6, 190.44, 151.63",55.36,True,False,False,2026-01-16
VIKRAMSOLR,VIKRAMSOLR,Technology,Solar,85198315520,139.83,0.0,0.0,0.089,0.0,N/A,27.87,False,False,False,2026-01-16
