ticker,year,sales,book_value,eps,sales_growth_pct,roce_pct,pb_ratio,book_value_growth_pct,eps_growth_pct,promoter_holding_pct,ps_ratio,pcf_ratio,promoter_pledging_pct,quality_turnover_pct,interest_coverage_ratio,sector,market_cap
20MICRONS,2008,,,,,,,,,,,,,,,Basic Materials,5297650688
20MICRONS,2009,,12.51,,,,1.8,,,,0.5,,,,,Basic Materials,5297650688
20MICRONS,2010,,14.1,,,,1.6,12.709832134292576,,,0.4,,,,,Basic Materials,5297650688
20MICRONS,2011,,15.51,,,,2.0,10.000000000000009,,,0.3,,,,,Basic Materials,5297650688
20MICRONS,2012,,20.13,,,,3.5,29.78723404255319,,,0.7,,,,,Basic Materials,5297650688
20MICRONS,2013,,21.81,,,,1.5,8.345752608047686,,,0.3,,,,,Basic Materials,5297650688
20MICRONS,2014,327.0,21.92,-0.68,,10.0,1.4,0.5043558000917159,,,0.3,2.651351351351351,,0.6116207951070336,1.2916666666666667,Basic Materials,5297650688
20MICRONS,2015,356.0,21.01,-0.74,8.868501529051986,9.0,1.5,-4.151459854014594,8.823529411764696,,0.3,3.56,,1.1235955056179776,1.1111111111111112,Basic Materials,5297650688
20MICRONS,2016,357.0,24.75,3.11,0.2808988764045006,16.0,1.3,17.801047120418833,-520.2702702702703,,0.3,4.284,,1.1204481792717087,1.84,Basic Materials,5297650688
20MICRONS,2017,392.0,35.36,4.49,9.80392156862746,18.0,1.6,42.86868686868686,44.37299035369777,44.290000000000006,0.5,4.454545454545454,,0.5102040816326531,2.333333333333333,Basic Materials,5297650688
20MICRONS,2018,427.0,40.65,5.34,8.92857142857142,19.0,1.0,14.960407239818997,18.93095768374165,43.36000000000001,0.3,2.1,,0.234192037470726,2.727272727272727,Basic Materials,5297650688
20MICRONS,2019,480.0,51.45,7.08,12.41217798594847,21.0,0.6,26.568265682656843,32.58426966292136,44.03000000000001,0.2,1.8113207547169807,,0.4166666666666667,3.136363636363636,Basic Materials,5297650688
20MICRONS,2020,529.0,55.87,6.84,10.20833333333333,19.0,0.7,8.590864917395514,-3.3898305084745783,44.830000000000005,0.3,3.5266666666666664,,0.5671077504725899,3.0,Basic Materials,5297650688
