Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-03-30,234233,136603,58.32
21STCENMGM,2026-03-30,1386,1004,72.44
360ONE,2026-03-30,1347427,788793,58.54
3IINFOLTD,2026-03-30,1938905,1723307,88.88
3MINDIA,2026-03-30,3374,1619,47.98
3PLAND,2026-03-30,5933,5469,92.18
5PAISA,2026-03-30,160114,80464,50.25
63MOONS,2026-03-30,273839,152612,55.73
AAATECH,2026-03-30,17116,11435,66.81
AADHARHFC,2026-03-30,419745,191017,45.51
AAREYDRUGS,2026-03-30,119616,85660,71.61
AARNAV,2026-03-30,41776,25217,60.36
AARON,2026-03-30,36732,22791,62.05
AARTECH,2026-03-30,79283,51244,64.63
AARTIDRUGS,2026-03-30,195625,113367,57.95
AARTIIND,2026-03-30,1152413,712163,61.8
AARTIPHARM,2026-03-30,513822,279286,54.35
AARTISURF,2026-03-30,27831,16390,58.89
AARVI,2026-03-30,18718,12552,67.06
AAVAS,2026-03-30,336146,201664,59.99
ABB,2026-03-30,342351,120782,35.28
ABBOTINDIA,2026-03-30,23537,18028,76.59
ABCAPITAL,2026-03-30,5990288,3035906,50.68
ABCOTS,2026-03-30,40269,19452,48.31
ABDL,2026-03-30,1446683,815206,56.35
ABFRL,2026-03-30,7473955,3400980,45.5
ABGSEC,2026-03-30,768,712,92.71
ABINFRA,2026-03-30,951707,536026,56.32
ABLBL,2026-03-30,2911597,1922761,66.04
ABREL,2026-03-30,271951,135185,49.71
ABSL10BANK,2026-03-30,2053,1177,57.33
ABSLAMC,2026-03-30,281184,139363,49.56
ABSLBANETF,2026-03-30,677718,512768,75.66
ABSLLIQUID,2026-03-30,4035,3124,77.42
ABSLMSCIN,2026-03-30,486,268,55.14
ABSLNN50ET,2026-03-30,37725,26077,69.12
ABSLPSE,2026-03-30,198794,152051,76.49
ACC,2026-03-30,496998,265422,53.41
ACCELYA,2026-03-30,42936,23523,54.79
ACCURACY,2026-03-30,233309,172097,73.76
ACE,2026-03-30,451304,228979,50.74
ACEINTEG,2026-03-30,15359,6379,41.53
ACI,2026-03-30,238014,105406,44.29
ACL,2026-03-30,57917,47541,82.08
ACMESOLAR,2026-03-30,2058259,598535,29.08
ACUTAAS,2026-03-30,407693,198968,48.8
ADANIENSOL,2026-03-30,1714851,790728,46.11
ADANIENT,2026-03-30,2825299,1173034,41.52
ADANIGREEN,2026-03-30,3104906,1048613,33.77
ADANIPORTS,2026-03-30,2856500,1479011,51.78
ADANIPOWER,2026-03-30,21100984,8399358,39.81
ADFFOODS,2026-03-30,473070,179784,38.0
ADL,2026-03-30,2817,2112,74.97
ADOR,2026-03-30,10270,6145,59.83
ADROITINFO,2026-03-30,129471,93131,71.93
ADSL,2026-03-30,435577,208710,47.92
ADVAIT,2026-03-30,50351,17250,34.26
ADVANCE,2026-03-30,303903,178742,58.82
ADVANIHOTR,2026-03-30,84207,63556,75.48
ADVENTHTL,2026-03-30,194027,101689,52.41
ADVENZYMES,2026-03-30,226591,136077,60.05
AEGISLOG,2026-03-30,895522,412439,46.06
AEGISVOPAK,2026-03-30,955701,376236,39.37
AEPL,2026-03-30,51585,29996,58.15
AEQUS,2026-03-30,313681,168421,53.69
AEROENTER,2026-03-30,509895,285124,55.92
AEROFLEX,2026-03-30,1553469,417160,26.85
AERONEU,2026-03-30,77768,22637,29.11
AETHER,2026-03-30,522705,251263,48.07
AFCONS,2026-03-30,664022,409226,61.63
AFFLE,2026-03-30,546166,246528,45.14
AFFORDABLE,2026-03-30,142736,86096,60.32
AFSL,2026-03-30,23681,16438,69.41
AGARIND,2026-03-30,105009,49545,47.18
AGARWALEYE,2026-03-30,773121,171781,22.22
AGI,2026-03-30,444734,320948,72.17
AGIIL,2026-03-30,2816651,619875,22.01
AGRITECH,2026-03-30,8923,5545,62.14
AGROPHOS,2026-03-30,138399,99376,71.8
AHCL,2026-03-30,177104,102312,57.77
AHLADA,2026-03-30,106464,81879,76.91
AHLEAST,2026-03-30,30520,21061,69.01
AHLUCONT,2026-03-30,291934,160638,55.03
AIAENG,2026-03-30,220600,46234,20.96
AIIL,2026-03-30,2271611,641625,28.25
AIRAN,2026-03-30,239382,183753,76.76
AIROLAM,2026-03-30,2286,1930,84.43
AJANTPHARM,2026-03-30,152889,104717,68.49
AJAXENGG,2026-03-30,163134,85972,52.7
AJMERA,2026-03-30,531947,263610,49.56
AJOONI,2026-03-30,510953,370069,72.43
AKASH,2026-03-30,4805,4093,85.18
AKG,2026-03-30,31691,22423,70.76
AKI,2026-03-30,143317,116943,81.6
AKSHAR,2026-03-30,1767177,1363210,77.14
AKSHARCHEM,2026-03-30,13480,10074,74.73
AKSHOPTFBR,2026-03-30,689063,487509,70.75
AKUMS,2026-03-30,171815,84819,49.37
AKZOINDIA,2026-03-30,52832,32885,62.24
ALANKIT,2026-03-30,679191,530107,78.05
ALBERTDAVD,2026-03-30,10823,6889,63.65
ALEMBICLTD,2026-03-30,681261,401956,59.0
ALGOQUANT,2026-03-30,868410,156386,18.01
ALICON,2026-03-30,22633,13083,57.8
ALIVUS,2026-03-30,64483,28627,44.39
ALKALI,2026-03-30,22553,16603,73.62
ALKEM,2026-03-30,182729,97974,53.62
ALKYLAMINE,2026-03-30,163484,58133,35.56
ALLCARGO,2026-03-30,11217994,7123566,63.5
ALLDIGI,2026-03-30,16781,10907,65.0
ALLTIME,2026-03-30,72898,51406,70.52
ALMONDZ,2026-03-30,213959,134307,62.77
ALOKINDS,2026-03-30,12000083,6204248,51.7
ALPA,2026-03-30,89404,64635,72.3
