Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-04-15,126635,70419,55.61
21STCENMGM,2026-04-15,10822,10820,99.98
360ONE,2026-04-15,1795093,1050800,58.54
3IINFOLTD,2026-04-15,1161427,782651,67.39
3MINDIA,2026-04-15,2554,1412,55.29
3PLAND,2026-04-15,3422,3090,90.3
5PAISA,2026-04-15,84311,43023,51.03
63MOONS,2026-04-15,364193,126602,34.76
AAATECH,2026-04-15,18256,13492,73.9
AADHARHFC,2026-04-15,638640,381809,59.78
AAREYDRUGS,2026-04-15,179852,127820,71.07
AARNAV,2026-04-15,66576,57033,85.67
AARON,2026-04-15,23203,13440,57.92
AARTECH,2026-04-15,854185,406046,47.54
AARTIDRUGS,2026-04-15,132552,73535,55.48
AARTIIND,2026-04-15,3859281,2462712,63.81
AARTIPHARM,2026-04-15,161784,75399,46.6
AARTISURF,2026-04-15,6956,3981,57.23
AARVI,2026-04-15,27137,11729,43.22
AAVAS,2026-04-15,174212,86067,49.4
ABB,2026-04-15,499662,253345,50.7
ABBOTINDIA,2026-04-15,15735,8418,53.5
ABCAPITAL,2026-04-15,4564550,2289000,50.15
ABCOTS,2026-04-15,35769,5849,16.35
ABDL,2026-04-15,541596,212208,39.18
ABFRL,2026-04-15,7173127,3245187,45.24
ABGSEC,2026-04-15,1260,891,70.71
ABINFRA,2026-04-15,285117,172394,60.46
ABLBL,2026-04-15,855101,428927,50.16
ABREL,2026-04-15,280774,96214,34.27
ABSL10BANK,2026-04-15,674,506,75.07
ABSLAMC,2026-04-15,573318,292410,51.0
ABSLBANETF,2026-04-15,1216791,838892,68.94
ABSLLIQUID,2026-04-15,4469,3631,81.25
ABSLMSCIN,2026-04-15,344,343,99.71
ABSLNN50ET,2026-04-15,8334,6448,77.37
ABSLPSE,2026-04-15,282601,187376,66.3
ACC,2026-04-15,267004,139291,52.17
ACCELYA,2026-04-15,25314,18236,72.04
ACCURACY,2026-04-15,173709,115391,66.43
ACE,2026-04-15,424745,216888,51.06
ACEINTEG,2026-04-15,5790,5261,90.86
ACI,2026-04-15,135194,69466,51.38
ACL,2026-04-15,38348,22949,59.84
ACMESOLAR,2026-04-15,2197782,1068900,48.64
ACUTAAS,2026-04-15,719290,417960,58.11
ADANIENSOL,2026-04-15,2053037,668809,32.58
ADANIENT,2026-04-15,1779015,539645,30.33
ADANIGREEN,2026-04-15,2759798,693405,25.13
ADANIPORTS,2026-04-15,4415637,2267872,51.36
ADANIPOWER,2026-04-15,51497511,13983348,27.15
ADFFOODS,2026-04-15,87381,38844,44.45
ADL,2026-04-15,955,531,55.6
ADOR,2026-04-15,58384,35952,61.58
ADROITINFO,2026-04-15,19716,11970,60.71
ADSL,2026-04-15,167091,76672,45.89
ADVAIT,2026-04-15,78016,38918,49.88
ADVANCE,2026-04-15,231567,94530,40.82
ADVANIHOTR,2026-04-15,52263,34752,66.49
ADVENTHTL,2026-04-15,280741,134502,47.91
ADVENZYMES,2026-04-15,182528,114359,62.65
AEGISLOG,2026-04-15,4078507,733357,17.98
AEGISVOPAK,2026-04-15,1182541,611992,51.75
AEPL,2026-04-15,32588,24500,75.18
AEQUS,2026-04-15,1789932,824848,46.08
AEROENTER,2026-04-15,492781,216430,43.92
AEROFLEX,2026-04-15,1986347,588891,29.65
AERONEU,2026-04-15,74752,10097,13.51
AETHER,2026-04-15,259000,93977,36.28
AFCONS,2026-04-15,38762873,2059616,5.31
AFFLE,2026-04-15,269339,138331,51.36
AFFORDABLE,2026-04-15,72324,35175,48.64
AFSL,2026-04-15,22387,7958,35.55
AGARIND,2026-04-15,231702,60570,26.14
AGARWALEYE,2026-04-15,75275,40778,54.17
AGI,2026-04-15,300768,142810,47.48
AGIIL,2026-04-15,7219975,1122588,15.55
AGRITECH,2026-04-15,3649,2499,68.48
AGROPHOS,2026-04-15,6915,4781,69.14
AHCL,2026-04-15,476615,269477,56.54
AHLADA,2026-04-15,8685,4443,51.16
AHLEAST,2026-04-15,706,449,63.6
AHLUCONT,2026-04-15,75032,36759,48.99
AHLWEST,2026-04-15,864,864,100.0
AIAENG,2026-04-15,94838,76599,80.77
AIIL,2026-04-15,282472,110060,38.96
AIRAN,2026-04-15,43473,30903,71.09
AIROLAM,2026-04-15,10578,3964,37.47
AJANTPHARM,2026-04-15,81682,51232,62.72
AJAXENGG,2026-04-15,168236,85678,50.93
AJMERA,2026-04-15,569998,269370,47.26
AJOONI,2026-04-15,345743,247146,71.48
AKASH,2026-04-15,8801,6783,77.07
AKG,2026-04-15,12378,10533,85.09
AKI,2026-04-15,132012,106083,80.36
AKSHAR,2026-04-15,3628935,2549889,70.27
AKSHARCHEM,2026-04-15,5681,4184,73.65
AKSHOPTFBR,2026-04-15,325511,204605,62.86
AKUMS,2026-04-15,624099,319000,51.11
ALANKIT,2026-04-15,310265,218444,70.41
ALBERTDAVD,2026-04-15,2050,1223,59.66
ALEMBICLTD,2026-04-15,352176,169755,48.2
ALGOQUANT,2026-04-15,2227418,619047,27.79
ALICON,2026-04-15,9790,5480,55.98
ALIVUS,2026-04-15,112944,70881,62.76
ALKALI,2026-04-15,8929,6730,75.37
ALKEM,2026-04-15,191897,115558,60.22
ALKYLAMINE,2026-04-15,43842,18982,43.3
ALLCARGO,2026-04-15,9488888,5490532,57.86
