Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-03-23,166178,91844,55.27
21STCENMGM,2026-03-23,10080,8325,82.59
360ONE,2026-03-23,550431,300705,54.63
3IINFOLTD,2026-03-23,1428782,1068455,74.78
3MINDIA,2026-03-23,4038,1544,38.24
3PLAND,2026-03-23,1485,1461,98.38
5PAISA,2026-03-23,70668,37147,52.57
63MOONS,2026-03-23,486270,242199,49.81
AAATECH,2026-03-23,20904,15788,75.53
AADHARHFC,2026-03-23,285732,123861,43.35
AAREYDRUGS,2026-03-23,150534,104749,69.58
AARNAV,2026-03-23,41243,19358,46.94
AARON,2026-03-23,30923,19047,61.59
AARTECH,2026-03-23,43910,28814,65.62
AARTIDRUGS,2026-03-23,148425,85298,57.47
AARTIIND,2026-03-23,641070,304086,47.43
AARTIPHARM,2026-03-23,272148,139176,51.14
AARTISURF,2026-03-23,11329,7395,65.27
AARVI,2026-03-23,15466,5825,37.66
AAVAS,2026-03-23,262585,188367,71.74
ABB,2026-03-23,274731,95761,34.86
ABBOTINDIA,2026-03-23,15029,9076,60.39
ABCAPITAL,2026-03-23,6021434,2742440,45.54
ABCOTS,2026-03-23,28147,9581,34.04
ABDL,2026-03-23,509598,252937,49.63
ABFRL,2026-03-23,8618261,4435164,51.46
ABGSEC,2026-03-23,220,197,89.55
ABINFRA,2026-03-23,5029361,4060119,80.73
ABLBL,2026-03-23,2498746,1330140,53.23
ABREL,2026-03-23,177521,87423,49.25
ABSL10BANK,2026-03-23,1835,1592,86.76
ABSLAMC,2026-03-23,313955,141592,45.1
ABSLBANETF,2026-03-23,177320,126847,71.54
ABSLLIQUID,2026-03-23,2448,2136,87.25
ABSLMSCIN,2026-03-23,1557,1552,99.68
ABSLNN50ET,2026-03-23,51786,39483,76.24
ABSLPSE,2026-03-23,476076,327971,68.89
ACC,2026-03-23,413599,211702,51.19
ACCELYA,2026-03-23,18033,11059,61.33
ACCURACY,2026-03-23,96213,77367,80.41
ACE,2026-03-23,247680,144582,58.37
ACEINTEG,2026-03-23,3860,2719,70.44
ACI,2026-03-23,432463,112643,26.05
ACL,2026-03-23,83148,56369,67.79
ACMESOLAR,2026-03-23,1035340,357647,34.54
ACUTAAS,2026-03-23,558487,241006,43.15
ADANIENSOL,2026-03-23,8950325,7064815,78.93
ADANIENT,2026-03-23,2370668,829445,34.99
ADANIGREEN,2026-03-23,2746629,793163,28.88
ADANIPORTS,2026-03-23,3361416,1701394,50.62
ADANIPOWER,2026-03-23,25968931,9498677,36.58
ADFFOODS,2026-03-23,377658,209717,55.53
ADL,2026-03-23,733,446,60.85
ADOR,2026-03-23,19088,13617,71.34
ADROITINFO,2026-03-23,141038,99357,70.45
ADSL,2026-03-23,190027,107454,56.55
ADVAIT,2026-03-23,112447,37770,33.59
ADVANCE,2026-03-23,400122,242668,60.65
ADVANIHOTR,2026-03-23,96465,70434,73.02
ADVENTHTL,2026-03-23,291503,149185,51.18
ADVENZYMES,2026-03-23,115173,69126,60.02
AEGISLOG,2026-03-23,774831,348341,44.96
AEGISVOPAK,2026-03-23,3114072,995223,31.96
AEPL,2026-03-23,47325,39547,83.56
