Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-08-14,219809,109556,49.84
21STCENMGM,2026-08-14,20836,16664,79.98
360ONE,2026-08-14,396813,158281,39.89
3BBLACKBIO,2026-08-14,28814,18749,65.07
3MINDIA,2026-08-14,20827,3110,14.93
3PLAND,2026-08-14,1357,1285,94.69
5PAISA,2026-08-14,109705,40349,36.78
63MOONS,2026-08-14,255921,80881,31.6
A2ZINFRA,2026-08-14,176616,131474,74.44
AAATECH,2026-08-14,12899,6746,52.3
AADHARHFC,2026-08-14,159621,100378,62.89
AAKASH,2026-08-14,56830,45845,80.67
AARNAV,2026-08-14,47462,32207,67.86
AARON,2026-08-14,13239,7371,55.68
AARTIDRUGS,2026-08-14,165069,97098,58.82
AARTIIND,2026-08-14,2578695,936416,36.31
AARTIPHARM,2026-08-14,395281,153879,38.93
AARTISURF,2026-08-14,103714,43099,41.56
AARVI,2026-08-14,12338,9277,75.19
AASTHA,2026-08-14,321964,163786,50.87
AAVAS,2026-08-14,51565,29524,57.26
ABANSENT,2026-08-14,14445,14443,99.99
ABB,2026-08-14,163080,60161,36.89
ABBOTINDIA,2026-08-14,18516,14030,75.77
ABCAPITAL,2026-08-14,1264602,662336,52.38
ABCOTS,2026-08-14,3258,2003,61.48
ABDL,2026-08-14,528711,266477,50.4
ABFRL,2026-08-14,5318321,2950442,55.48
ABGSEC,2026-08-14,23,23,100.0
ABINFRA,2026-08-14,1387821,320233,23.07
ABLBL,2026-08-14,446038,268991,60.31
ABMINTLLTD,2026-08-14,23052,15652,67.9
ABMKNO,2026-08-14,6433,6284,97.68
ABREL,2026-08-14,201919,92781,45.95
ABSL10BANK,2026-08-14,1787,1568,87.74
ABSLAMC,2026-08-14,61108,31662,51.81
ABSLBANETF,2026-08-14,21376,19926,93.22
ABSLLIQUID,2026-08-14,7248,5274,72.76
ABSLMSCIN,2026-08-14,953,953,100.0
ABSLNN50ET,2026-08-14,4165,3569,85.69
ABSLPSE,2026-08-14,148689,123321,82.94
ACC,2026-08-14,99400,56307,56.65
ACCELYA,2026-08-14,3790,2358,62.22
ACE,2026-08-14,153417,78569,51.21
ACEINTEG,2026-08-14,3254,3034,93.24
