Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-05-18,102774,38129,37.1
21STCENMGM,2026-05-18,3619,3593,99.28
360ONE,2026-05-18,661233,356383,53.9
3BBLACKBIO,2026-05-18,6197,3080,49.7
3IINFOLTD,2026-05-18,657634,556167,84.57
3MINDIA,2026-05-18,3861,1606,41.6
3PLAND,2026-05-18,4721,4123,87.33
5PAISA,2026-05-18,29673,14741,49.68
63MOONS,2026-05-18,173214,56588,32.67
AAATECH,2026-05-18,15931,9642,60.52
AADHARHFC,2026-05-18,225286,119869,53.21
AARNAV,2026-05-18,9306,8074,86.76
AARON,2026-05-18,21874,12984,59.36
AARTECH,2026-05-18,233008,168057,72.12
AARTIDRUGS,2026-05-18,148957,73843,49.57
AARTIIND,2026-05-18,1412238,638198,45.19
AARTIPHARM,2026-05-18,106308,45181,42.5
AARTISURF,2026-05-18,8638,5351,61.95
AARVI,2026-05-18,14316,10405,72.68
AAVAS,2026-05-18,40853,18136,44.39
ABB,2026-05-18,370285,178562,48.22
ABBOTINDIA,2026-05-18,12613,4902,38.86
ABCAPITAL,2026-05-18,4941012,2805769,56.79
ABCOTS,2026-05-18,64405,27622,42.89
ABDL,2026-05-18,283973,159718,56.24
ABFRL,2026-05-18,2931446,1013446,34.57
ABGSEC,2026-05-18,88,64,72.73
ABINFRA,2026-05-18,575180,227148,39.49
ABLBL,2026-05-18,692925,332496,47.98
ABMKNO,2026-05-18,823,790,95.99
ABREL,2026-05-18,262203,128601,49.05
ABSL10BANK,2026-05-18,2277,500,21.96
ABSLAMC,2026-05-18,462269,261029,56.47
ABSLBANETF,2026-05-18,157014,133542,85.05
ABSLLIQUID,2026-05-18,3341,2876,86.08
ABSLMSCIN,2026-05-18,1761,1700,96.54
ABSLNN50ET,2026-05-18,21318,14778,69.32
ABSLPSE,2026-05-18,527058,445123,84.45
ACC,2026-05-18,346093,192025,55.48
ACCELYA,2026-05-18,10423,7120,68.31
ACE,2026-05-18,225426,96629,42.87
ACEINTEG,2026-05-18,1155,856,74.11
ACI,2026-05-18,256723,86764,33.8
ACL,2026-05-18,12563,6912,55.02
ACMESOLAR,2026-05-18,582897,248421,42.62
ACSTECH,2026-05-18,52816,51581,97.66
ACUTAAS,2026-05-18,352410,152218,43.19
ADANIENSOL,2026-05-18,4008711,1911044,47.67
ADANIENT,2026-05-18,2033884,406906,20.01
ADANIGREEN,2026-05-18,3820968,612227,16.02
ADANIPORTS,2026-05-18,2562978,1208810,47.16
ADANIPOWER,2026-05-18,30197883,7725742,25.58
ADFFOODS,2026-05-18,282082,102224,36.24
ADL,2026-05-18,1135,1102,97.09
ADOR,2026-05-18,24384,13462,55.21
ADROITINFO,2026-05-18,62492,52975,84.77
ADSL,2026-05-18,169212,58311,34.46
ADVAIT,2026-05-18,39064,18257,46.74
ADVANCE,2026-05-18,96602,44060,45.61
ADVANIHOTR,2026-05-18,38110,24854,65.22
ADVENTHTL,2026-05-18,98992,56508,57.08
ADVENZYMES,2026-05-18,167521,73908,44.12
AEGISLOG,2026-05-18,703130,205490,29.23
AEGISVOPAK,2026-05-18,283648,89183,31.44
AEQUS,2026-05-18,1163846,427644,36.74
AEROENTER,2026-05-18,353749,111691,31.57
AEROFLEX,2026-05-18,1657400,483633,29.18
AERONEU,2026-05-18,118080,12113,10.26
AETHER,2026-05-18,1556616,807486,51.87
AFCONS,2026-05-18,1590951,441453,27.75
AFFLE,2026-05-18,320343,181527,56.67
AFSL,2026-05-18,126497,116675,92.24
AGARIND,2026-05-18,20197,10473,51.85
AGARWALEYE,2026-05-18,33152,14620,44.1
AGI,2026-05-18,147811,50453,34.13
AGIIL,2026-05-18,2074958,532962,25.69
AGRITECH,2026-05-18,1632,930,56.99
AGROPHOS,2026-05-18,21295,15092,70.87
AHCL,2026-05-18,1615593,606476,37.54
AHLADA,2026-05-18,10620,8178,77.01
AHLEAST,2026-05-18,1420,848,59.72
AHLUCONT,2026-05-18,35420,15672,44.25
AIAENG,2026-05-18,24804,15093,60.85
AIIL,2026-05-18,215483,70567,32.75
AIRAN,2026-05-18,56018,43226,77.16
AIROLAM,2026-05-18,555,534,96.22
AJANTPHARM,2026-05-18,144707,82082,56.72
AJAXENGG,2026-05-18,52007,19891,38.25
AJMERA,2026-05-18,393889,141247,35.86
AJOONI,2026-05-18,285160,190083,66.66
AKASH,2026-05-18,2635,2033,77.15
AKCAPIT,2026-05-18,251,247,98.41
AKG,2026-05-18,10731,7220,67.28
AKI,2026-05-18,274485,134222,48.9
AKSHAR,2026-05-18,1609463,687695,42.73
AKSHARCHEM,2026-05-18,258,134,51.94
AKUMS,2026-05-18,609959,433337,71.04
ALANKIT,2026-05-18,95954,66665,69.48
ALBERTDAVD,2026-05-18,3210,2817,87.76
ALEMBICLTD,2026-05-18,237044,106132,44.77
ALGOQUANT,2026-05-18,1167855,215272,18.43
ALICON,2026-05-18,7340,4080,55.59
ALIVUS,2026-05-18,102303,61446,60.06
ALKALI,2026-05-18,3970,2345,59.07
ALKEM,2026-05-18,122385,64220,52.47
ALKYLAMINE,2026-05-18,178423,41590,23.31
ALLCARGO,2026-05-18,5658430,2669872,47.18
ALLDIGI,2026-05-18,5601,3228,57.63
ALLTIME,2026-05-18,49352,29193,59.15
ALMONDZ,2026-05-18,105633,74232,70.27
ALOKINDS,2026-05-18,8276461,4176607,50.46
ALPA,2026-05-18,5720,4883,85.37
ALPHA,2026-05-18,1366082,725107,53.08
ALPHAETF,2026-05-18,228877,157107,68.64
ALPHAGEO,2026-05-18,34666,15589,44.97
ALPL30IETF,2026-05-18,1276422,911878,71.44
AMAGI,2026-05-18,38361,21957,57.24
AMANTA,2026-05-18,101274,49724,49.1
AMBALALSA,2026-05-18,27801,18167,65.35
AMBER,2026-05-18,2162867,445947,20.62
AMBICAAGAR,2026-05-18,5016,4851,96.71
AMBIKCO,2026-05-18,4346,2333,53.68
AMBUJACEM,2026-05-18,2003511,637238,31.81
AMDIND,2026-05-18,10564,7981,75.55
AMIRCHAND,2026-05-18,1025943,444128,43.29
AMJLAND,2026-05-18,14133,12491,88.38
AMNPLST,2026-05-18,36240,12833,35.41
AMRUTANJAN,2026-05-18,16722,8404,50.26
ANANDRATHI,2026-05-18,123536,65810,53.27
ANANTRAJ,2026-05-18,2123184,625277,29.45
ANDHRAPAP,2026-05-18,32740,19297,58.94
ANDHRSUGAR,2026-05-18,339287,134396,39.61
ANGELONE,2026-05-18,4296924,1296023,30.16
ANMOL,2026-05-18,27830,14556,52.3
ANTELOPUS,2026-05-18,224019,90041,40.19
ANTGRAPHIC,2026-05-18,295111,153563,52.04
ANTHEM,2026-05-18,210253,103734,49.34
ANUHPHR,2026-05-18,31637,20078,63.46
ANUP,2026-05-18,22325,10364,46.42
ANURAS,2026-05-18,206917,59723,28.86
AONEGOLD,2026-05-18,916607,439159,47.91
AONELIQUID,2026-05-18,30216,21274,70.41
AONENIFTY,2026-05-18,254968,162929,63.9
AONESILVER,2026-05-18,1029397,605167,58.79
AONETMMQ50,2026-05-18,52506,44341,84.45
AONETOTAL,2026-05-18,294620,156727,53.2
APARINDS,2026-05-18,116704,50062,42.9
APCL,2026-05-18,6830,4893,71.64
APCOTEXIND,2026-05-18,49646,26224,52.82
APEX,2026-05-18,952265,213723,22.44
APLAPOLLO,2026-05-18,346633,162625,46.92
APLLTD,2026-05-18,327979,111330,33.94
APOLLO,2026-05-18,13102842,3353319,25.59
APOLLOHOSP,2026-05-18,323387,203753,63.01
APOLLOPIPE,2026-05-18,284553,106046,37.27
APOLLOTYRE,2026-05-18,2250527,942979,41.9
APOLSINHOT,2026-05-18,332,260,78.31
APTECHT,2026-05-18,166342,78278,47.06
APTUS,2026-05-18,858586,409811,47.73
AQYLON,2026-05-18,2653219,1223554,46.12
ARCHIDPLY,2026-05-18,14252,10194,71.53
ARCHIES,2026-05-18,10519,8421,80.06
ARE&M,2026-05-18,440018,188352,42.81
ARENTERP,2026-05-18,404,190,47.03
ARFIN,2026-05-18,1649796,282765,17.14
ARIES,2026-05-18,55895,15439,27.62
ARIHANT,2026-05-18,4211,1720,40.85
ARIHANTCAP,2026-05-18,107453,57188,53.22
ARIHANTSUP,2026-05-18,8240130,558508,6.78
ARIS,2026-05-18,1563559,717085,45.86
ARKADE,2026-05-18,173049,88155,50.94
ARMANFIN,2026-05-18,43175,21357,49.47
AROGRANITE,2026-05-18,6444,5027,78.01
ARROWGREEN,2026-05-18,28196,12934,45.87
ARSSBL,2026-05-18,245076,115775,47.24
ARTEMISMED,2026-05-18,167740,76257,45.46
ARVEE,2026-05-18,2573,1533,59.58
ARVIND,2026-05-18,5974822,1127138,18.86
ARVINDFASN,2026-05-18,183740,119107,64.82
ARVSMART,2026-05-18,40597,19383,47.74
ASAHIINDIA,2026-05-18,71702,30267,42.21
ASAHISONG,2026-05-18,20099,13411,66.72
ASAL,2026-05-18,13380,6148,45.95
ASALCBR,2026-05-18,28501,16159,56.7
ASHAPURMIN,2026-05-18,479226,135828,28.34
ASHIANA,2026-05-18,47443,28169,59.37
ASHIKA,2026-05-18,191331,49299,25.77
ASHIMASYN,2026-05-18,81034,51009,62.95
ASHOKA,2026-05-18,995383,316057,31.75
ASHOKAMET,2026-05-18,16010,8882,55.48
ASHOKLEY,2026-05-18,18556084,8746135,47.13
ASIANENE,2026-05-18,487162,219879,45.13
ASIANHOTNR,2026-05-18,39633,32838,82.86
ASIANPAINT,2026-05-18,898479,511625,56.94
ASIANTILES,2026-05-18,2534403,1396726,55.11
ASKAUTOLTD,2026-05-18,121093,50528,41.73
ASMS,2026-05-18,517929,211389,40.81
