Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-07-16,134100,63446,47.31
21STCENMGM,2026-07-16,11136,9159,82.25
360ONE,2026-07-16,1542092,784942,50.9
3BBLACKBIO,2026-07-16,21455,10922,50.91
3IINFOLTD,2026-07-16,140020,98712,70.5
3MINDIA,2026-07-16,5146,2204,42.83
3PLAND,2026-07-16,767,767,100.0
5PAISA,2026-07-16,67641,35992,53.21
63MOONS,2026-07-16,174250,77030,44.21
A2ZINFRA,2026-07-16,192829,136689,70.89
AAATECH,2026-07-16,4522,3598,79.57
AADHARHFC,2026-07-16,236893,115649,48.82
AAKASH,2026-07-16,50750,34832,68.63
AARNAV,2026-07-16,594600,252250,42.42
AARON,2026-07-16,1641,1426,86.9
AARTIDRUGS,2026-07-16,289872,133052,45.9
AARTIIND,2026-07-16,1116370,427395,38.28
AARTIPHARM,2026-07-16,120690,55746,46.19
AARTISURF,2026-07-16,5256,3869,73.61
AARVI,2026-07-16,84640,25207,29.78
AAVAS,2026-07-16,32468,16986,52.32
ABB,2026-07-16,2577801,698545,27.1
ABBOTINDIA,2026-07-16,8282,4236,51.15
ABCAPITAL,2026-07-16,1855517,889688,47.95
ABCOTS,2026-07-16,3600,1552,43.11
ABDL,2026-07-16,393642,198026,50.31
ABFRL,2026-07-16,2132400,1110769,52.09
ABGSEC,2026-07-16,77,77,100.0
ABINFRA,2026-07-16,5060779,4749746,93.85
ABLBL,2026-07-16,473132,279697,59.12
ABMINTLLTD,2026-07-16,350,325,92.86
ABMKNO,2026-07-16,4815,3958,82.2
ABREL,2026-07-16,243677,102874,42.22
ABSL10BANK,2026-07-16,1482,1084,73.14
ABSLAMC,2026-07-16,174306,104388,59.89
ABSLBANETF,2026-07-16,23619,17904,75.8
ABSLLIQUID,2026-07-16,10242,9304,90.84
ABSLMSCIN,2026-07-16,1453,1434,98.69
ABSLNN50ET,2026-07-16,413475,411383,99.49
ABSLPSE,2026-07-16,71289,47223,66.24
ACC,2026-07-16,122081,63042,51.64
ACCELYA,2026-07-16,5466,3435,62.84
ACE,2026-07-16,197194,95709,48.54
ACEINTEG,2026-07-16,9320,7782,83.5
ACI,2026-07-16,844231,425814,50.44
ACL,2026-07-16,15811,9094,57.52
ACMESOLAR,2026-07-16,1611990,715803,44.4
ACSTECH,2026-07-16,173162,80611,46.55
ACUTAAS,2026-07-16,311654,152714,49.0
ADANIENSOL,2026-07-16,2839672,917015,32.29
ADANIENT,2026-07-16,1151243,559262,48.58
ADANIGREEN,2026-07-16,2128635,584200,27.44
ADANIPORTS,2026-07-16,1952268,993814,50.91
ADANIPOWER,2026-07-16,40710986,17757064,43.62
ADFFOODS,2026-07-16,133904,61258,45.75
ADL,2026-07-16,14,5,35.71
ADOR,2026-07-16,114083,48693,42.68
ADROITINFO,2026-07-16,10799,9473,87.72
ADSL,2026-07-16,186877,56621,30.3
ADVAIT,2026-07-16,25409,10756,42.33
ADVANCE,2026-07-16,511509,277663,54.28
ADVANIHOTR,2026-07-16,7299,4274,58.56
ADVENTHTL,2026-07-16,118440,44691,37.73
ADVENZYMES,2026-07-16,124874,75524,60.48
AEGISLOG,2026-07-16,1499483,516304,34.43
AEGISVOPAK,2026-07-16,2127669,837639,39.37
AEPL,2026-07-16,18833,12186,64.71
AEQUS,2026-07-16,2220931,937639,42.22
AEROENTER,2026-07-16,385549,227680,59.05
AEROFLEX,2026-07-16,752247,312109,41.49
AERONEU,2026-07-16,42292,9314,22.02
AETHER,2026-07-16,227081,104241,45.9
AFCONS,2026-07-16,465917,259377,55.67
AFFLE,2026-07-16,254595,115459,45.35
AFSL,2026-07-16,5886,3349,56.9
AGARIND,2026-07-16,26682,15458,57.93
AGARWALEYE,2026-07-16,61856,34073,55.08
AGI,2026-07-16,61001,32866,53.88
AGIIL,2026-07-16,591545,102743,17.37
AGROPHOS,2026-07-16,6663,4321,64.85
AHCL,2026-07-16,3088810,1737811,56.26
AHLADA,2026-07-16,4976,3794,76.25
AHLEAST,2026-07-16,425,394,92.71
AHLUCONT,2026-07-16,61334,29215,47.63
AIAENG,2026-07-16,37210,17351,46.63
AIIL,2026-07-16,361111,151939,42.08
AIRAN,2026-07-16,47742,30927,64.78
AIROLAM,2026-07-16,6152,5702,92.69
AJANTPHARM,2026-07-16,112113,60462,53.93
AJAXENGG,2026-07-16,62440,32334,51.78
AJMERA,2026-07-16,362423,230869,63.7
AJOONI,2026-07-16,763995,594528,77.82
AKASH,2026-07-16,5692,4761,83.64
AKCAPIT,2026-07-16,11430,8498,74.35
AKG,2026-07-16,65623,55042,83.88
AKI,2026-07-16,75965,61587,81.07
AKSHAR,2026-07-16,411343,323548,78.66
AKUMS,2026-07-16,104424,53050,50.8
ALANKIT,2026-07-16,102768,77934,75.83
ALBERTDAVD,2026-07-16,3640,2376,65.27
ALEMBICLTD,2026-07-16,383207,70003,18.27
ALGOQUANT,2026-07-16,5053941,581431,11.5
ALICON,2026-07-16,7676,4793,62.44
ALIVUS,2026-07-16,627185,490079,78.14
ALKEM,2026-07-16,67610,34687,51.3
ALKYLAMINE,2026-07-16,100136,28775,28.74
ALLCARGO,2026-07-16,3274551,1823162,55.68
ALLDIGI,2026-07-16,1539,1053,68.42
ALLTIME,2026-07-16,53396,23759,44.5
ALMONDZ,2026-07-16,49799,45477,91.32
ALOKINDS,2026-07-16,4371530,1802791,41.24
ALPA,2026-07-16,16487,12845,77.91
ALPHA,2026-07-16,555313,362422,65.26
ALPHAETF,2026-07-16,121336,86732,71.48
ALPHAGEO,2026-07-16,4742,4234,89.29
ALPL30IETF,2026-07-16,145442,93279,64.13
AMAGI,2026-07-16,587436,126639,21.56
AMBALALSA,2026-07-16,18242,11284,61.86
AMBER,2026-07-16,598369,159001,26.57
AMBICAAGAR,2026-07-16,132,129,97.73
AMBIKCO,2026-07-16,3521,1543,43.82
AMBUJACEM,2026-07-16,1467915,558372,38.04
AMDIND,2026-07-16,6862,3510,51.15
AMIRCHAND,2026-07-16,1465165,1157766,79.02
AMJLAND,2026-07-16,2612,2046,78.33
AMNPLST,2026-07-16,4249,2117,49.82
AMRUTANJAN,2026-07-16,16358,9468,57.88
ANANDRATHI,2026-07-16,286102,142617,49.85
ANANTRAJ,2026-07-16,1633835,510794,31.26
ANDHRAPAP,2026-07-16,26321,18545,70.46
