Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-08-07,126589,73242,57.86
21STCENMGM,2026-08-07,7409,4708,63.54
360ONE,2026-08-07,1707560,1012314,59.28
3BBLACKBIO,2026-08-07,1984,1025,51.66
3IINFOLTD,2026-08-07,1181251,650709,55.09
3MINDIA,2026-08-07,3976,3000,75.45
3PLAND,2026-08-07,1519,1246,82.03
5PAISA,2026-08-07,22993,12968,56.4
63MOONS,2026-08-07,473840,173714,36.66
A2ZINFRA,2026-08-07,443981,306870,69.12
AAATECH,2026-08-07,64491,58767,91.12
AADHARHFC,2026-08-07,271851,166499,61.25
AAKASH,2026-08-07,55441,51496,92.88
AARNAV,2026-08-07,76907,13935,18.12
AARON,2026-08-07,7072,3886,54.95
AARTIDRUGS,2026-08-07,90024,44743,49.7
AARTIIND,2026-08-07,1422279,638236,44.87
AARTIPHARM,2026-08-07,179726,89790,49.96
AARTISURF,2026-08-07,30784,21183,68.81
AARVI,2026-08-07,20116,11202,55.69
AASTHA,2026-08-07,6003229,2002757,33.36
AAVAS,2026-08-07,64072,32711,51.05
ABB,2026-08-07,179322,62722,34.98
ABBOTINDIA,2026-08-07,7629,4348,56.99
ABCAPITAL,2026-08-07,4840967,2239226,46.26
ABCOTS,2026-08-07,10218,8739,85.53
ABDL,2026-08-07,551365,229558,41.63
ABFRL,2026-08-07,6582044,3067225,46.6
ABGSEC,2026-08-07,801,358,44.69
ABINFRA,2026-08-07,255072,180215,70.65
ABLBL,2026-08-07,387410,217235,56.07
ABMINTLLTD,2026-08-07,1268,785,61.91
ABMKNO,2026-08-07,1192,1087,91.19
ABREL,2026-08-07,265738,211162,79.46
ABSL10BANK,2026-08-07,129124,127936,99.08
ABSLAMC,2026-08-07,198652,114775,57.78
ABSLBANETF,2026-08-07,363165,352428,97.04
ABSLLIQUID,2026-08-07,3869,3368,87.05
ABSLMSCIN,2026-08-07,608,545,89.64
ABSLNN50ET,2026-08-07,9608,7090,73.79
ABSLPSE,2026-08-07,79832,61977,77.63
ACC,2026-08-07,160343,76805,47.9
ACCELYA,2026-08-07,4003,3156,78.84
ACE,2026-08-07,234548,111415,47.5
ACEINTEG,2026-08-07,1476,1096,74.25
ACI,2026-08-07,212525,146018,68.71
ACL,2026-08-07,11279,6793,60.23
ACMESOLAR,2026-08-07,1278670,699543,54.71
ACSTECH,2026-08-07,328712,211674,64.39
ACUTAAS,2026-08-07,187550,109853,58.57
ADANIENSOL,2026-08-07,1391604,626493,45.02
ADANIENT,2026-08-07,788881,338679,42.93
ADANIGREEN,2026-08-07,1273380,539240,42.35
ADANIPORTS,2026-08-07,2387389,1704536,71.4
ADANIPOWER,2026-08-07,14372119,5652686,39.33
ADFFOODS,2026-08-07,113084,45775,40.48
ADL,2026-08-07,721,419,58.11
ADOR,2026-08-07,23430,10142,43.29
ADROITINFO,2026-08-07,19285,12279,63.67
ADSL,2026-08-07,171844,86051,50.08
ADVAIT,2026-08-07,317013,109383,34.5
ADVANCE,2026-08-07,565726,249625,44.12
ADVANIHOTR,2026-08-07,35305,31046,87.94
ADVENTHTL,2026-08-07,167529,92713,55.34
ADVENZYMES,2026-08-07,177783,106241,59.76
AEGISLOG,2026-08-07,1673750,366766,21.91
AEGISVOPAK,2026-08-07,813122,289930,35.66
AEPL,2026-08-07,1203391,323801,26.91
AEQUS,2026-08-07,5616343,2382728,42.42
AEROENTER,2026-08-07,271628,162099,59.68
AEROFLEX,2026-08-07,1114794,602428,54.04
AERONEU,2026-08-07,41797,8940,21.39
AEROPLANE,2026-08-07,691566,351581,50.84
AETHER,2026-08-07,165723,70610,42.61
AFCONS,2026-08-07,1190862,502280,42.18
AFFLE,2026-08-07,310792,144369,46.45
AFIL,2026-08-07,317924,198992,62.59
AFSL,2026-08-07,5864,3606,61.49
AGARIND,2026-08-07,18020,10633,59.01
AGARWALEYE,2026-08-07,158709,81946,51.63
AGI,2026-08-07,35018,18360,52.43
AGIIL,2026-08-07,375763,85985,22.88
AGL,2026-08-07,5613366,2481577,44.21
AGROPHOS,2026-08-07,5285,3456,65.39
AHCL,2026-08-07,3203483,1035416,32.32
AHLADA,2026-08-07,9215,7134,77.42
AHLEAST,2026-08-07,10896,9790,89.85
AHLUCONT,2026-08-07,15989,8081,50.54
AIAENG,2026-08-07,46225,25042,54.17
AIIL,2026-08-07,1070113,170038,15.89
AIRAN,2026-08-07,42489,34865,82.06
AIROLAM,2026-08-07,969,702,72.45
AJANTPHARM,2026-08-07,34852,19449,55.8
AJAXENGG,2026-08-07,71665,33873,47.27
AJMERA,2026-08-07,246846,123516,50.04
AJOONI,2026-08-07,223149,177458,79.52
AKASH,2026-08-07,4896,3187,65.09
AKCAPIT,2026-08-07,1753,1333,76.04
AKG,2026-08-07,21973,17337,78.9
AKI,2026-08-07,127457,96876,76.01
AKSHAR,2026-08-07,1747593,1309838,74.95
AKUMS,2026-08-07,637075,357585,56.13
ALANKIT,2026-08-07,84358,62567,74.17
ALBERTDAVD,2026-08-07,299179,86796,29.01
ALEMBICLTD,2026-08-07,405809,249200,61.41
ALGOQUANT,2026-08-07,1450184,339046,23.38
ALICON,2026-08-07,202525,129856,64.12
ALIVUS,2026-08-07,85268,48063,56.37
ALKEM,2026-08-07,76165,24114,31.66
ALKYLAMINE,2026-08-07,61537,28812,46.82
ALLCARGO,2026-08-07,81098236,14878484,18.35
ALLDIGI,2026-08-07,6413,5585,87.09
ALLTIME,2026-08-07,127675,82794,64.85
ALMONDZ,2026-08-07,107720,71392,66.28
ALOKINDS,2026-08-07,1650176,1049889,63.62
ALPA,2026-08-07,26661,14390,53.97
ALPHA,2026-08-07,641420,390971,60.95
ALPHAETF,2026-08-07,625998,451937,72.19
ALPHAGEO,2026-08-07,10869,5770,53.09
ALPINETEX,2026-08-07,320989,189322,58.98
ALPL30IETF,2026-08-07,145101,87945,60.61
AMAGI,2026-08-07,476981,201278,42.2
AMBALALSA,2026-08-07,653520,311956,47.73
AMBER,2026-08-07,210061,55464,26.4
AMBICAAGAR,2026-08-07,1877,1827,97.34
AMBIKCO,2026-08-07,83658,51739,61.85
AMBUJACEM,2026-08-07,2026621,1066182,52.61
AMDIND,2026-08-07,13873,9294,66.99
AMJLAND,2026-08-07,20107,15486,77.02
AMNPLST,2026-08-07,10971,6113,55.72
AMRUTANJAN,2026-08-07,34199,19296,56.42
ANANDRATHI,2026-08-07,202601,119016,58.74
ANANTRAJ,2026-08-07,1039127,446868,43.0
