Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-06-17,95201,41879,43.99
21STCENMGM,2026-06-17,4282,4181,97.64
360ONE,2026-06-17,382759,125708,32.84
3BBLACKBIO,2026-06-17,11786,6835,57.99
3IINFOLTD,2026-06-17,325702,220333,67.65
3MINDIA,2026-06-17,3525,1456,41.3
3PLAND,2026-06-17,2322,2256,97.16
5PAISA,2026-06-17,16036,10356,64.58
63MOONS,2026-06-17,91692,45674,49.81
A2ZINFRA,2026-06-17,73081,61808,84.57
AAATECH,2026-06-17,21018,11426,54.36
AADHARHFC,2026-06-17,178302,103385,57.98
AAKASH,2026-06-17,314799,228965,72.73
AARNAV,2026-06-17,202001,95676,47.36
AARON,2026-06-17,6333,4493,70.95
AARTECH,2026-06-17,350591,172641,49.24
AARTIDRUGS,2026-06-17,73005,47509,65.08
AARTIIND,2026-06-17,1674997,487344,29.1
AARTIPHARM,2026-06-17,135288,74253,54.89
AARTISURF,2026-06-17,3805,1989,52.27
AARVI,2026-06-17,33583,15383,45.81
AAVAS,2026-06-17,202484,114988,56.79
ABB,2026-06-17,298071,119474,40.08
ABBOTINDIA,2026-06-17,8598,4763,55.4
ABCAPITAL,2026-06-17,2381456,1360919,57.15
ABCOTS,2026-06-17,36906,20555,55.7
ABDL,2026-06-17,161710,69240,42.82
ABFRL,2026-06-17,3622966,1960956,54.13
ABGSEC,2026-06-17,14,7,50.0
ABINFRA,2026-06-17,1879898,401744,21.37
ABLBL,2026-06-17,1871115,1258698,67.27
ABMKNO,2026-06-17,4325,3020,69.83
ABREL,2026-06-17,208334,89104,42.77
ABSL10BANK,2026-06-17,55360,55234,99.77
ABSLAMC,2026-06-17,279342,166426,59.58
ABSLBANETF,2026-06-17,68049,60412,88.78
ABSLLIQUID,2026-06-17,412,340,82.52
ABSLMSCIN,2026-06-17,169,100,59.17
ABSLNN50ET,2026-06-17,6698,5539,82.7
ABSLPSE,2026-06-17,172667,137238,79.48
ACC,2026-06-17,68161,27948,41.0
ACCELYA,2026-06-17,6933,3906,56.34
ACCURACY,2026-06-17,78550,31768,40.44
ACE,2026-06-17,862759,358042,41.5
ACEINTEG,2026-06-17,10405,7621,73.24
ACI,2026-06-17,163754,72578,44.32
ACL,2026-06-17,7920,6586,83.16
ACMESOLAR,2026-06-17,1975830,890803,45.09
ACSTECH,2026-06-17,569862,196593,34.5
ACUTAAS,2026-06-17,282968,133573,47.2
ADANIENSOL,2026-06-17,1270712,287199,22.6
ADANIENT,2026-06-17,1244567,379659,30.51
ADANIGREEN,2026-06-17,2163196,723655,33.45
ADANIPORTS,2026-06-17,2697924,1819716,67.45
ADANIPOWER,2026-06-17,20834476,10841172,52.03
ADFFOODS,2026-06-17,331910,128817,38.81
ADL,2026-06-17,1350,1028,76.15
ADOR,2026-06-17,11942,8538,71.5
ADROITINFO,2026-06-17,26035,22094,84.86
ADSL,2026-06-17,159437,51825,32.51
ADVAIT,2026-06-17,63238,28050,44.36
ADVANCE,2026-06-17,49745,21625,43.47
ADVANIHOTR,2026-06-17,28504,16433,57.65
