Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-06-16,312335,120737,38.66
21STCENMGM,2026-06-16,1824,915,50.16
360ONE,2026-06-16,1168609,479917,41.07
3BBLACKBIO,2026-06-16,6393,4029,63.02
3IINFOLTD,2026-06-16,290083,183592,63.29
3MINDIA,2026-06-16,4732,1747,36.92
3PLAND,2026-06-16,1989,1511,75.97
5PAISA,2026-06-16,103184,47676,46.2
63MOONS,2026-06-16,67943,33448,49.23
A2ZINFRA,2026-06-16,100633,75390,74.92
AAATECH,2026-06-16,12658,9017,71.24
AADHARHFC,2026-06-16,387503,241823,62.41
AAKASH,2026-06-16,250723,149016,59.43
AARNAV,2026-06-16,179345,77561,43.25
AARON,2026-06-16,7619,5156,67.67
AARTECH,2026-06-16,926070,330497,35.69
AARTIDRUGS,2026-06-16,146991,72941,49.62
AARTIIND,2026-06-16,3795978,628771,16.56
AARTIPHARM,2026-06-16,99346,47119,47.43
AARTISURF,2026-06-16,6230,3205,51.44
AARVI,2026-06-16,30264,16840,55.64
AAVAS,2026-06-16,64358,34941,54.29
ABB,2026-06-16,366666,183908,50.16
ABBOTINDIA,2026-06-16,10005,5172,51.69
ABCAPITAL,2026-06-16,3343325,1746114,52.23
ABCOTS,2026-06-16,225177,72113,32.03
ABDL,2026-06-16,245552,95162,38.75
ABFRL,2026-06-16,3340877,1919784,57.46
ABGSEC,2026-06-16,882,875,99.21
ABINFRA,2026-06-16,2413896,498311,20.64
ABLBL,2026-06-16,607274,289026,47.59
ABMINTLLTD,2026-06-16,83,27,32.53
ABMKNO,2026-06-16,1105,989,89.5
ABREL,2026-06-16,638373,160304,25.11
ABSL10BANK,2026-06-16,948,778,82.07
ABSLAMC,2026-06-16,350182,172430,49.24
ABSLBANETF,2026-06-16,217801,213074,97.83
ABSLLIQUID,2026-06-16,700,371,53.0
ABSLMSCIN,2026-06-16,528,517,97.92
ABSLNN50ET,2026-06-16,11672,9751,83.54
ABSLPSE,2026-06-16,171087,144455,84.43
ACC,2026-06-16,94705,45670,48.22
ACCELYA,2026-06-16,9013,4967,55.11
ACCURACY,2026-06-16,103903,67793,65.25
ACE,2026-06-16,164366,75765,46.1
ACEINTEG,2026-06-16,667,454,68.07
ACI,2026-06-16,141403,82812,58.56
ACL,2026-06-16,8843,5854,66.2
ACMESOLAR,2026-06-16,1181168,465125,39.38
ACSTECH,2026-06-16,57562,40473,70.31
ACUTAAS,2026-06-16,530875,293173,55.22
ADANIENSOL,2026-06-16,1686111,528297,31.33
ADANIENT,2026-06-16,1851843,444068,23.98
ADANIGREEN,2026-06-16,1251445,252031,20.14
ADANIPORTS,2026-06-16,2215994,1119493,50.52
ADANIPOWER,2026-06-16,29486320,13564813,46.0
ADFFOODS,2026-06-16,542649,271533,50.04
ADL,2026-06-16,219,215,98.17
ADOR,2026-06-16,10153,5401,53.2
ADROITINFO,2026-06-16,47688,42969,90.1
ADSL,2026-06-16,141945,51889,36.56
ADVAIT,2026-06-16,104643,40698,38.89
ADVANCE,2026-06-16,86644,62892,72.59
ADVANIHOTR,2026-06-16,15940,12816,80.4
ADVENTHTL,2026-06-16,225302,94404,41.9
ADVENZYMES,2026-06-16,96552,49098,50.85
AEGISLOG,2026-06-16,4129399,472204,11.44
AEGISVOPAK,2026-06-16,3002236,1280875,42.66
AEPL,2026-06-16,19283,13307,69.01
AEQUS,2026-06-16,6200413,1599939,25.8
AEROENTER,2026-06-16,550308,226552,41.17
AEROFLEX,2026-06-16,2678346,691398,25.81
AERONEU,2026-06-16,57130,7308,12.79
AETHER,2026-06-16,433202,217128,50.12
AFCONS,2026-06-16,315969,140318,44.41
AFFLE,2026-06-16,378616,101186,26.73
AFSL,2026-06-16,7355,3834,52.13
AGARIND,2026-06-16,1932227,193408,10.01
AGARWALEYE,2026-06-16,65748,33132,50.39
AGI,2026-06-16,876761,369371,42.13
AGIIL,2026-06-16,744618,279262,37.5
AGROPHOS,2026-06-16,34752,13178,37.92
AHCL,2026-06-16,18214985,8155882,44.78
AHLADA,2026-06-16,8297,6213,74.88
AHLEAST,2026-06-16,598,405,67.73
AHLUCONT,2026-06-16,88430,33242,37.59
AIAENG,2026-06-16,42546,24024,56.47
AIIL,2026-06-16,636047,135951,21.37
AIRAN,2026-06-16,130266,102197,78.45
AIROLAM,2026-06-16,15746,15194,96.49
AJANTPHARM,2026-06-16,109817,62438,56.86
AJAXENGG,2026-06-16,28247,12916,45.73
AJMERA,2026-06-16,2223349,787561,35.42
AJOONI,2026-06-16,216170,175124,81.01
AKASH,2026-06-16,5509,4452,80.81
AKCAPIT,2026-06-16,104,104,100.0
AKG,2026-06-16,25744,15367,59.69
AKI,2026-06-16,51962,39875,76.74
AKSHAR,2026-06-16,752301,441811,58.73
AKSHARCHEM,2026-06-16,3394,2217,65.32
AKUMS,2026-06-16,311260,158031,50.77
ALANKIT,2026-06-16,108809,84364,77.53
ALBERTDAVD,2026-06-16,1532,1044,68.15
ALEMBICLTD,2026-06-16,162109,83932,51.78
ALGOQUANT,2026-06-16,1057348,205328,19.42
ALICON,2026-06-16,7466,4548,60.92
ALIVUS,2026-06-16,74099,33855,45.69
ALKEM,2026-06-16,83189,45392,54.56
ALKYLAMINE,2026-06-16,55414,20933,37.78
ALLCARGO,2026-06-16,2447021,1262017,51.57
ALLDIGI,2026-06-16,12841,8670,67.52
ALLTIME,2026-06-16,118681,36751,30.97
ALMONDZ,2026-06-16,117289,69719,59.44
ALOKINDS,2026-06-16,7788467,3364601,43.2
ALPA,2026-06-16,21794,7167,32.89
ALPHA,2026-06-16,1408040,655525,46.56
ALPHAETF,2026-06-16,407294,211352,51.89
ALPHAGEO,2026-06-16,3222,2738,84.98
ALPL30IETF,2026-06-16,2453081,1784059,72.73
AMAGI,2026-06-16,75407,39479,52.35
AMANTA,2026-06-16,381827,205373,53.79
AMBALALSA,2026-06-16,118937,80258,67.48
AMBER,2026-06-16,485590,153736,31.66
AMBICAAGAR,2026-06-16,3046,1835,60.24
AMBIKCO,2026-06-16,4716,2847,60.37
AMBUJACEM,2026-06-16,2106091,1055402,50.11
AMDIND,2026-06-16,5768,2036,35.3
AMIRCHAND,2026-06-16,1573229,468500,29.78
AMJLAND,2026-06-16,26325,17403,66.11
AMNPLST,2026-06-16,3474,2328,67.01
AMRUTANJAN,2026-06-16,100273,77280,77.07
ANANDRATHI,2026-06-16,252489,129436,51.26
ANANTRAJ,2026-06-16,1493144,546048,36.57
ANDHRAPAP,2026-06-16,127272,72846,57.24
ANDHRSUGAR,2026-06-16,177657,66961,37.69
ANGELONE,2026-06-16,6190114,2360943,38.14
ANMOL,2026-06-16,3758456,3603806,95.89
ANTELOPUS,2026-06-16,197155,130868,66.38
ANTGRAPHIC,2026-06-16,63689,63689,100.0
ANTHEM,2026-06-16,276308,157612,57.04
ANUHPHR,2026-06-16,163675,66648,40.72
ANUP,2026-06-16,16444,8029,48.83
ANURAS,2026-06-16,226211,67020,29.63
AONEGOLD,2026-06-16,332740,275002,82.65
AONELIQUID,2026-06-16,64213,64030,99.72
AONENIFTY,2026-06-16,361975,278140,76.84
AONESILVER,2026-06-16,423250,180732,42.7
AONETMMQ50,2026-06-16,45892,23740,51.73
AONETOTAL,2026-06-16,146284,103322,70.63
APARINDS,2026-06-16,207124,65089,31.43
APCL,2026-06-16,4344,3149,72.49
APCOTEXIND,2026-06-16,82669,37784,45.71
APEX,2026-06-16,125359,45278,36.12
APLAPOLLO,2026-06-16,385126,211007,54.79
APLLTD,2026-06-16,54805,30287,55.26
APOLLO,2026-06-16,23201520,4255104,18.34
APOLLOHOSP,2026-06-16,263172,184990,70.29
APOLLOPIPE,2026-06-16,58329,20518,35.18
APOLLOTYRE,2026-06-16,1238586,662453,53.48
APOLSINHOT,2026-06-16,1400,1037,74.07
APTECHT,2026-06-16,2570981,780132,30.34
APTUS,2026-06-16,802404,456222,56.86
AQYLON,2026-06-16,1284553,397293,30.93
