Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-02-16,62560,25881,41.37
21STCENMGM,2026-02-16,2546,1858,72.98
360ONE,2026-02-16,761308,322204,42.32
3IINFOLTD,2026-02-16,633263,481677,76.06
3MINDIA,2026-02-16,6516,1935,29.7
3PLAND,2026-02-16,2639,1891,71.66
5PAISA,2026-02-16,72649,18195,25.05
63MOONS,2026-02-16,93613,68257,72.91
A2ZINFRA,2026-02-16,98124,58376,59.49
AADHARHFC,2026-02-16,463969,335433,72.3
AAKASH,2026-02-16,42811,33897,79.18
AAREYDRUGS,2026-02-16,73916,40122,54.28
AARON,2026-02-16,13010,7619,58.56
AARTECH,2026-02-16,30215,17315,57.31
AARTIDRUGS,2026-02-16,126896,63834,50.3
AARTIIND,2026-02-16,824674,302368,36.67
AARTIPHARM,2026-02-16,130777,65708,50.24
AARTISURF,2026-02-16,8363,4345,51.96
AARVI,2026-02-16,58790,26950,45.84
AAVAS,2026-02-16,111954,55214,49.32
ABB,2026-02-16,188248,90271,47.95
ABBOTINDIA,2026-02-16,4779,3007,62.92
ABCAPITAL,2026-02-16,4781245,1949637,40.78
ABCOTS,2026-02-16,2521,1135,45.02
ABDL,2026-02-16,361236,170022,47.07
ABFRL,2026-02-16,4244074,1947477,45.89
ABGSEC,2026-02-16,32,32,100.0
ABINFRA,2026-02-16,2966430,1958706,66.03
ABLBL,2026-02-16,443095,250153,56.46
ABREL,2026-02-16,73007,32463,44.47
ABSLAMC,2026-02-16,230793,113875,49.34
ABSLBANETF,2026-02-16,337691,296960,87.94
ABSLLIQUID,2026-02-16,1538,518,33.68
ABSLNN50ET,2026-02-16,12125,8244,67.99
ABSLPSE,2026-02-16,732691,553766,75.58
ACC,2026-02-16,146223,82555,56.46
ACCELYA,2026-02-16,16384,9853,60.14
ACCURACY,2026-02-16,55323,34865,63.02
ACE,2026-02-16,174752,79642,45.57
ACEINTEG,2026-02-16,1114,527,47.31
ACI,2026-02-16,99067,35739,36.08
ACL,2026-02-16,7738,3504,45.28
ACMESOLAR,2026-02-16,193461,93395,48.28
ACUTAAS,2026-02-16,289211,145679,50.37
