Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-08-18,72434,40065,55.31
21STCENMGM,2026-08-18,6929,5319,76.76
360ONE,2026-08-18,683646,400223,58.54
3BBLACKBIO,2026-08-18,7528,5500,73.06
3MINDIA,2026-08-18,1635,783,47.89
3PLAND,2026-08-18,1902,1471,77.34
5PAISA,2026-08-18,191663,54999,28.7
63MOONS,2026-08-18,274671,126904,46.2
A2ZINFRA,2026-08-18,101272,73449,72.53
AAATECH,2026-08-18,14270,6645,46.57
AADHARHFC,2026-08-18,286979,142788,49.76
AAKASH,2026-08-18,400049,252869,63.21
AAREYDRUGS,2026-08-18,668238,149230,22.33
AARNAV,2026-08-18,220800,121647,55.09
AARON,2026-08-18,35017,14721,42.04
AARTIDRUGS,2026-08-18,98898,59172,59.83
AARTIIND,2026-08-18,830422,314223,37.84
AARTIPHARM,2026-08-18,316783,108371,34.21
AARVI,2026-08-18,42604,35146,82.49
AASTHA,2026-08-18,433445,206327,47.6
AAVAS,2026-08-18,49386,28599,57.91
ABANSENT,2026-08-18,28145,25174,89.44
ABB,2026-08-18,126259,46090,36.5
ABBOTINDIA,2026-08-18,4509,2348,52.07
ABCAPITAL,2026-08-18,4314550,2656485,61.57
ABCOTS,2026-08-18,152579,54330,35.61
ABDL,2026-08-18,266137,114354,42.97
ABFRL,2026-08-18,2804136,1689166,60.24
ABGSEC,2026-08-18,213,149,69.95
ABINFRA,2026-08-18,25170295,3393989,13.48
ABLBL,2026-08-18,427800,247089,57.76
ABMKNO,2026-08-18,2037,1958,96.12
ABREL,2026-08-18,89905,47304,52.62
ABSL10BANK,2026-08-18,1546,1283,82.99
ABSLAMC,2026-08-18,108162,55045,50.89
ABSLBANETF,2026-08-18,41503,24414,58.82
ABSLLIQUID,2026-08-18,1037,698,67.31
ABSLMSCIN,2026-08-18,858,843,98.25
ABSLNN50ET,2026-08-18,7571,6023,79.55
ABSLPSE,2026-08-18,128769,95410,74.09
ACC,2026-08-18,116554,67648,58.04
ACCELYA,2026-08-18,4118,2753,66.85
ACE,2026-08-18,1694531,565936,33.4
ACEINTEG,2026-08-18,4121,3415,82.87
ACGL,2026-08-18,628,449,71.5
ACI,2026-08-18,82390,43973,53.37
ACL,2026-08-18,4303,3428,79.67
ACMESOLAR,2026-08-18,609731,280282,45.97
ACSTECH,2026-08-18,343255,196419,57.22
ACUTAAS,2026-08-18,423370,186807,44.12
ADANIENSOL,2026-08-18,2294009,1137655,49.59
ADANIENT,2026-08-18,721988,311399,43.13
ADANIGREEN,2026-08-18,925260,271974,29.39
ADANIPORTS,2026-08-18,1298165,644260,49.63
ADANIPOWER,2026-08-18,19181716,6996410,36.47
ADDIND,2026-08-18,103,103,100.0
ADFFOODS,2026-08-18,143285,78079,54.49
ADL,2026-08-18,365,330,90.41
ADOR,2026-08-18,35829,19710,55.01
ADROITINFO,2026-08-18,45723,32996,72.16
ADSL,2026-08-18,82917,38669,46.64
ADVAIT,2026-08-18,52562,16480,31.35
ADVANCE,2026-08-18,194213,98724,50.83
ADVANIHOTR,2026-08-18,26513,21130,79.7
ADVENTHTL,2026-08-18,104247,72356,69.41
ADVENZYMES,2026-08-18,212986,156797,73.62
ADVIKCA,2026-08-18,179534,153984,85.77
AEGISLOG,2026-08-18,3097867,409564,13.22
AEGISVOPAK,2026-08-18,883444,280748,31.78
AEPL,2026-08-18,20978,15995,76.25
AEQUS,2026-08-18,6595637,2993983,45.39
AEROENTER,2026-08-18,1139049,416995,36.61
AEROFLEX,2026-08-18,3213334,1200812,37.37
AERONEU,2026-08-18,17969,3263,18.16
AEROPLANE,2026-08-18,699230,447826,64.05
AETHER,2026-08-18,308349,92171,29.89
AFCONS,2026-08-18,1053486,511446,48.55
AFFLE,2026-08-18,124757,64869,52.0
AFIL,2026-08-18,361615,294594,81.47
AFSL,2026-08-18,6846,3825,55.87
AGARIND,2026-08-18,19464,10458,53.73
AGARWALEYE,2026-08-18,628634,408584,65.0
AGI,2026-08-18,42716,24144,56.52
AGIIL,2026-08-18,400576,207137,51.71
AGL,2026-08-18,3444947,2016775,58.54
AGRITECH,2026-08-18,3463,2870,82.88
AGROPHOS,2026-08-18,30499,25502,83.62
AHCL,2026-08-18,1995227,984409,49.34
AHLADA,2026-08-18,7675,6072,79.11
AHLEAST,2026-08-18,1675,368,21.97
AHLUCONT,2026-08-18,545925,163567,29.96
AIAENG,2026-08-18,52134,26053,49.97
AIIL,2026-08-18,107054,39095,36.52
AIRAN,2026-08-18,33026,24938,75.51
AIROLAM,2026-08-18,15448,13900,89.98
AJANTPHARM,2026-08-18,145440,73196,50.33
AJAXENGG,2026-08-18,53577,34256,63.94
AJMERA,2026-08-18,208462,113338,54.37
AJOONI,2026-08-18,264805,191952,72.49
AKASH,2026-08-18,377,207,54.91
AKCAPIT,2026-08-18,1966,1516,77.11
AKG,2026-08-18,44658,33356,74.69
AKI,2026-08-18,241941,172349,71.24
AKSHAR,2026-08-18,475644,379501,79.79
AKUMS,2026-08-18,263636,116984,44.37
ALANKIT,2026-08-18,120928,78938,65.28
ALBERTDAVD,2026-08-18,17562,12574,71.6
ALEMBICLTD,2026-08-18,276330,142757,51.66
ALFREDHE,2026-08-18,22,19,86.36
ALGOQUANT,2026-08-18,1039258,208190,20.03
ALICON,2026-08-18,171517,53417,31.14
ALIVUS,2026-08-18,141640,87513,61.79
ALKEM,2026-08-18,127028,35682,28.09
ALKYLAMINE,2026-08-18,33643,16473,48.96
ALLCARGO,2026-08-18,11044531,3756971,34.02
ALLDIGI,2026-08-18,8265,6108,73.9
ALLTIME,2026-08-18,217555,176497,81.13
ALMONDZ,2026-08-18,17474,14637,83.76
ALOKINDS,2026-08-18,2920830,1876143,64.23
ALPA,2026-08-18,8310,6148,73.98
ALPHA,2026-08-18,706087,431327,61.09
