Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-07-10,136532,65515,47.99
21STCENMGM,2026-07-10,777,772,99.36
360ONE,2026-07-10,2189046,1818864,83.09
3BBLACKBIO,2026-07-10,12246,6575,53.69
3IINFOLTD,2026-07-10,1658274,692409,41.75
3MINDIA,2026-07-10,2908,1212,41.68
3PLAND,2026-07-10,2844,2512,88.33
5PAISA,2026-07-10,109502,59956,54.75
63MOONS,2026-07-10,135126,58943,43.62
A2ZINFRA,2026-07-10,115593,79257,68.57
AAATECH,2026-07-10,7664,4634,60.46
AADHARHFC,2026-07-10,743298,407862,54.87
AAKASH,2026-07-10,56273,46751,83.08
AARNAV,2026-07-10,7274,5812,79.9
AARON,2026-07-10,7566,4727,62.48
AARTIDRUGS,2026-07-10,76806,38468,50.08
AARTIIND,2026-07-10,1096250,426343,38.89
AARTIPHARM,2026-07-10,138282,78664,56.89
AARTISURF,2026-07-10,10060,7442,73.98
AARVI,2026-07-10,466064,112418,24.12
AAVAS,2026-07-10,44959,25581,56.9
ABB,2026-07-10,110261,50144,45.48
ABBOTINDIA,2026-07-10,16821,12538,74.54
ABCAPITAL,2026-07-10,3040201,1436929,47.26
ABCOTS,2026-07-10,17030,11324,66.49
ABDL,2026-07-10,1420666,929614,65.44
ABFRL,2026-07-10,5196209,2507881,48.26
ABGSEC,2026-07-10,765,476,62.22
ABINFRA,2026-07-10,1156335,466702,40.36
ABLBL,2026-07-10,629413,313810,49.86
ABMKNO,2026-07-10,3108,3060,98.46
ABREL,2026-07-10,179363,82538,46.02
ABSL10BANK,2026-07-10,1046,908,86.81
ABSLAMC,2026-07-10,192247,92848,48.3
ABSLBANETF,2026-07-10,74599,59925,80.33
ABSLLIQUID,2026-07-10,1547,769,49.71
ABSLMSCIN,2026-07-10,1429,902,63.12
ABSLNN50ET,2026-07-10,11331,8538,75.35
ABSLPSE,2026-07-10,194304,189136,97.34
ACC,2026-07-10,120063,58708,48.9
ACCELYA,2026-07-10,7602,3966,52.17
ACE,2026-07-10,259005,111559,43.07
ACEINTEG,2026-07-10,2189,1923,87.85
ACI,2026-07-10,72685,39797,54.75
ACL,2026-07-10,9993,7193,71.98
ACMESOLAR,2026-07-10,1485585,681717,45.89
ACSTECH,2026-07-10,108576,68676,63.25
ACUTAAS,2026-07-10,310324,184254,59.37
ADANIENSOL,2026-07-10,1603768,500944,31.24
ADANIENT,2026-07-10,2145335,940609,43.84
ADANIGREEN,2026-07-10,2070226,473376,22.87
ADANIPORTS,2026-07-10,1489787,629293,42.24
ADANIPOWER,2026-07-10,26196232,11126837,42.47
ADFFOODS,2026-07-10,187400,70071,37.39
ADL,2026-07-10,1452,718,49.45
ADOR,2026-07-10,18362,9196,50.08
ADROITINFO,2026-07-10,7527,5991,79.59
ADSL,2026-07-10,103084,48800,47.34
ADVAIT,2026-07-10,94020,22199,23.61
ADVANCE,2026-07-10,300928,144789,48.11
ADVANIHOTR,2026-07-10,23561,17184,72.93
ADVENTHTL,2026-07-10,132740,68293,51.45
ADVENZYMES,2026-07-10,150316,91153,60.64
AEGISLOG,2026-07-10,1664644,453961,27.27
AEGISVOPAK,2026-07-10,1701034,526211,30.93
AEPL,2026-07-10,5463,3836,70.22
AEQUS,2026-07-10,9850409,3282185,33.32
AEROENTER,2026-07-10,498175,235458,47.26
AEROFLEX,2026-07-10,1563044,611270,39.11
AERONEU,2026-07-10,72334,8455,11.69
AETHER,2026-07-10,699159,399227,57.1
AFCONS,2026-07-10,351803,180650,51.35
AFFLE,2026-07-10,276193,156150,56.54
AFSL,2026-07-10,11968,9377,78.35
