Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-05-22,180816,70657,39.08
21STCENMGM,2026-05-22,617,614,99.51
360ONE,2026-05-22,482891,306144,63.4
3BBLACKBIO,2026-05-22,8298,5633,67.88
3IINFOLTD,2026-05-22,370566,228691,61.71
3MINDIA,2026-05-22,49022,6123,12.49
3PLAND,2026-05-22,4642,2591,55.82
5PAISA,2026-05-22,21999,6473,29.42
63MOONS,2026-05-22,38522,20551,53.35
A2ZINFRA,2026-05-22,253642,203382,80.18
AAATECH,2026-05-22,4276,2864,66.98
AADHARHFC,2026-05-22,332571,212921,64.02
AARNAV,2026-05-22,71935,62133,86.37
AARON,2026-05-22,10202,7182,70.4
AARTECH,2026-05-22,70853,58891,83.12
AARTIDRUGS,2026-05-22,199042,91952,46.2
AARTIIND,2026-05-22,583874,204928,35.1
AARTIPHARM,2026-05-22,128328,59050,46.01
AARTISURF,2026-05-22,10797,7979,73.9
AARVI,2026-05-22,17010,13017,76.53
AAVAS,2026-05-22,176013,149630,85.01
ABB,2026-05-22,371775,171991,46.26
ABBOTINDIA,2026-05-22,8815,4683,53.13
ABCAPITAL,2026-05-22,3506988,1447711,41.28
ABCOTS,2026-05-22,51291,25291,49.31
ABDL,2026-05-22,224435,77043,34.33
ABFRL,2026-05-22,4299249,1841712,42.84
ABGSEC,2026-05-22,207,146,70.53
ABINFRA,2026-05-22,859717,640049,74.45
ABLBL,2026-05-22,880442,515200,58.52
ABMINTLLTD,2026-05-22,134,55,41.04
ABMKNO,2026-05-22,953,831,87.2
ABREL,2026-05-22,125739,51064,40.61
ABSL10BANK,2026-05-22,349,319,91.4
ABSLAMC,2026-05-22,105597,51813,49.07
ABSLBANETF,2026-05-22,22575,15280,67.69
ABSLLIQUID,2026-05-22,1206,1097,90.96
ABSLMSCIN,2026-05-22,35,35,100.0
ABSLNN50ET,2026-05-22,5404,5164,95.56
ABSLPSE,2026-05-22,622239,593896,95.44
ACC,2026-05-22,141070,84828,60.13
ACCELYA,2026-05-22,3788,2614,69.01
ACCURACY,2026-05-22,68269,48858,71.57
ACE,2026-05-22,290673,141083,48.54
ACEINTEG,2026-05-22,1132,1108,97.88
ACI,2026-05-22,127644,49050,38.43
ACL,2026-05-22,11545,9371,81.17
ACMESOLAR,2026-05-22,2597818,1073100,41.31
ACSTECH,2026-05-22,130465,62121,47.62
ACUTAAS,2026-05-22,333925,153530,45.98
ADANIENSOL,2026-05-22,3344194,1111079,33.22
ADANIENT,2026-05-22,1094843,269273,24.59
ADANIGREEN,2026-05-22,1681359,347566,20.67
ADANIPORTS,2026-05-22,1487044,762061,51.25
ADANIPOWER,2026-05-22,17090471,5278940,30.89
ADFFOODS,2026-05-22,662223,216163,32.64
ADL,2026-05-22,2362,1203,50.93
ADOR,2026-05-22,10597,5565,52.51
ADROITINFO,2026-05-22,60793,45811,75.36
ADSL,2026-05-22,502871,179514,35.7
ADVAIT,2026-05-22,42142,21880,51.92
ADVANCE,2026-05-22,290207,133514,46.01
ADVANIHOTR,2026-05-22,10947,7008,64.02
ADVENTHTL,2026-05-22,152648,85415,55.96
ADVENZYMES,2026-05-22,138453,68435,49.43
AEGISLOG,2026-05-22,218048,112966,51.81
AEGISVOPAK,2026-05-22,391874,201470,51.41
AEPL,2026-05-22,7373,5400,73.24
AEQUS,2026-05-22,4192673,1105150,26.36
AEROENTER,2026-05-22,292750,73443,25.09
AEROFLEX,2026-05-22,3582977,1074200,29.98
AERONEU,2026-05-22,48991,6011,12.27
AETHER,2026-05-22,287540,174872,60.82
AFCONS,2026-05-22,668216,194832,29.16
AFFLE,2026-05-22,286047,132591,46.35
AFSL,2026-05-22,6104,3949,64.7
AGARIND,2026-05-22,20564,10589,51.49
AGARWALEYE,2026-05-22,247509,99151,40.06
AGI,2026-05-22,89128,33230,37.28
AGIIL,2026-05-22,2967735,395748,13.34
AGRITECH,2026-05-22,1656,1174,70.89
AGROPHOS,2026-05-22,4585,3272,71.36
AHCL,2026-05-22,951228,501502,52.72
AHLADA,2026-05-22,9532,7435,78.0
AHLEAST,2026-05-22,1282,973,75.9
AHLUCONT,2026-05-22,41554,16681,40.14
AIAENG,2026-05-22,41320,27985,67.73
AIIL,2026-05-22,240506,101700,42.29
AIRAN,2026-05-22,50012,38713,77.41
AIROLAM,2026-05-22,333,284,85.29
AJANTPHARM,2026-05-22,40208,22737,56.55
AJAXENGG,2026-05-22,26776,15694,58.61
AJMERA,2026-05-22,107975,35653,33.02
AJOONI,2026-05-22,114019,85549,75.03
AKASH,2026-05-22,10950,6562,59.93
AKCAPIT,2026-05-22,591,531,89.85
AKG,2026-05-22,7733,6790,87.81
AKI,2026-05-22,26761,24259,90.65
AKSHAR,2026-05-22,545103,331869,60.88
AKSHARCHEM,2026-05-22,3686,2158,58.55
AKUMS,2026-05-22,221535,166247,75.04
ALANKIT,2026-05-22,68238,49432,72.44
ALBERTDAVD,2026-05-22,5455,4950,90.74
ALEMBICLTD,2026-05-22,136619,71044,52.0
ALGOQUANT,2026-05-22,1533482,146341,9.54
ALICON,2026-05-22,7898,4262,53.96
ALIVUS,2026-05-22,84154,38170,45.36
ALKALI,2026-05-22,13120,9050,68.98
ALKEM,2026-05-22,64842,33611,51.84
ALKYLAMINE,2026-05-22,55892,19695,35.24
ALLCARGO,2026-05-22,3210341,2128097,66.29
