Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
ANANDRATHI,2026-06-03,686802,319507,46.52
ANANTRAJ,2026-06-03,2655115,737747,27.79
ANDHRAPAP,2026-06-03,65547,45943,70.09
ANDHRSUGAR,2026-06-03,216226,114693,53.04
ANGELONE,2026-06-03,6426900,1504556,23.41
ANMOL,2026-06-03,51096,33302,65.18
ANTELOPUS,2026-06-03,254667,103152,40.5
ANTGRAPHIC,2026-06-03,67144,48804,72.69
ANTHEM,2026-06-03,284184,166894,58.73
ANUHPHR,2026-06-03,30313,16926,55.84
ANUP,2026-06-03,121290,39435,32.51
ANURAS,2026-06-03,275959,113165,41.01
AONEGOLD,2026-06-03,308103,231466,75.13
AONELIQUID,2026-06-03,17297,15230,88.05
AONENIFTY,2026-06-03,383320,237353,61.92
AONESILVER,2026-06-03,505675,363001,71.79
AONETMMQ50,2026-06-03,53169,35062,65.94
AONETOTAL,2026-06-03,356831,178131,49.92
APARINDS,2026-06-03,231576,55184,23.83
APCL,2026-06-03,5514,4417,80.11
APCOTEXIND,2026-06-03,114425,32360,28.28
APEX,2026-06-03,310065,77985,25.15
APLAPOLLO,2026-06-03,504434,236422,46.87
APLLTD,2026-06-03,68595,31570,46.02
APOLLO,2026-06-03,42624969,8976711,21.06
APOLLOHOSP,2026-06-03,724687,367169,50.67
APOLLOPIPE,2026-06-03,201208,63070,31.35
APOLLOTYRE,2026-06-03,541725,216254,39.92
APOLSINHOT,2026-06-03,2084,1592,76.39
APTECHT,2026-06-03,416916,135939,32.61
APTUS,2026-06-03,284099,128028,45.06
AQYLON,2026-06-03,3491233,1243897,35.63
ARCHIDPLY,2026-06-03,9051,5522,61.01
ARCHIES,2026-06-03,23605,15712,66.56
ARE&M,2026-06-03,500557,159028,31.77
ARENTERP,2026-06-03,170,146,85.88
ARFIN,2026-06-03,2397051,396647,16.55
ARIES,2026-06-03,15944,10048,63.02
ARIHANT,2026-06-03,1834,1252,68.27
ARIHANTCAP,2026-06-03,524132,78210,14.92
ARIHANTSUP,2026-06-03,38342,22276,58.1
ARIS,2026-06-03,319933,187544,58.62
ARKADE,2026-06-03,135339,71550,52.87
ARMANFIN,2026-06-03,27054,11934,44.11
AROGRANITE,2026-06-03,594,573,96.46
ARROWGREEN,2026-06-03,115181,56818,49.33
ARSSBL,2026-06-03,125200,44893,35.86
ARTEMISMED,2026-06-03,86549,48341,55.85
ARTNIRMAN,2026-06-03,643,643,100.0
ARVIND,2026-06-03,692347,249452,36.03
ARVINDFASN,2026-06-03,221983,135625,61.1
ARVSMART,2026-06-03,11878,6984,58.8
ASAHIINDIA,2026-06-03,126702,28082,22.16
ASAHISONG,2026-06-03,11330,4750,41.92
ASAL,2026-06-03,14358,7381,51.41
ASALCBR,2026-06-03,22828,12858,56.33
ASHAPURMIN,2026-06-03,679948,211894,31.16
ASHIANA,2026-06-03,34166,21411,62.67
ASHIKA,2026-06-03,170960,26804,15.68
ASHIMASYN,2026-06-03,35629,28157,79.03
ASHOKA,2026-06-03,527988,200879,38.05
ASHOKAMET,2026-06-03,11435,10159,88.84
ASHOKLEY,2026-06-03,50124149,25069584,50.01
ASIANENE,2026-06-03,249922,96963,38.8
ASIANHOTNR,2026-06-03,2189,1659,75.79
ASIANPAINT,2026-06-03,958774,485598,50.65
ASIANTILES,2026-06-03,595556,303198,50.91
ASKAUTOLTD,2026-06-03,55960,29768,53.2
ASMS,2026-06-03,462433,296553,64.13
ASPINWALL,2026-06-03,1479,1257,84.99
ASTAR,2026-06-03,110,106,96.36
ASTEC,2026-06-03,386835,51704,13.37
ASTERDM,2026-06-03,556755,308917,55.49
ASTRAL,2026-06-03,727937,357145,49.06
ASTRAMICRO,2026-06-03,511436,172614,33.75
ASTRAZEN,2026-06-03,3329,1659,49.83
ATALREAL,2026-06-03,5529019,1503121,27.19
ATAM,2026-06-03,6876,2907,42.28
ATGL,2026-06-03,7961803,1416461,17.79
ATHERENERG,2026-06-03,13219934,2493188,18.86
ATL,2026-06-03,70172,36123,51.48
ATLANTAA,2026-06-03,38663,18557,48.0
ATLANTAELE,2026-06-03,116065,73254,63.11
ATLASCYCLE,2026-06-03,1404,959,68.3
ATUL,2026-06-03,15292,7272,47.55
ATULAUTO,2026-06-03,127799,46484,36.37
AUBANK,2026-06-03,2372021,1357265,57.22
AURIGROW,2026-06-03,6195189,4331268,69.91
AURIONPRO,2026-06-03,130075,63265,48.64
AUROPHARMA,2026-06-03,969156,412461,42.56
AURUM,2026-06-03,83898,64281,76.62
AUTOAXLES,2026-06-03,8191,5274,64.39
AUTOBEES,2026-06-03,134780,47222,35.04
AUTOIETF,2026-06-03,700588,388643,55.47
AVAILFC,2026-06-03,2473,1939,78.41
AVALON,2026-06-03,223256,67575,30.27
AVANTEL,2026-06-03,1610638,566025,35.14
AVANTIFEED,2026-06-03,288810,90141,31.21
AVG,2026-06-03,11417,6186,54.18
AVL,2026-06-03,101791,42657,41.91
AVONMORE,2026-06-03,112134,93204,83.12
AVROIND,2026-06-03,223650,143190,64.02
AVTNPL,2026-06-03,52085,25977,49.87
AWFIS,2026-06-03,267049,100249,37.54
AWHCL,2026-06-03,90401,45141,49.93
AWL,2026-06-03,1536314,645560,42.02
AXISBANK,2026-06-03,7953326,4740421,59.6
AXISBNKETF,2026-06-03,11041,9794,88.71
AXISCADES,2026-06-03,1359677,654607,48.14
AXISCETF,2026-06-03,1233,1164,94.4
AXISGOLD,2026-06-03,478918,240172,50.15
AXISHCETF,2026-06-03,1139,800,70.24
AXISILVER,2026-06-03,300529,80371,26.74
AXISNIFTY,2026-06-03,10489,8603,82.02
AXISTECETF,2026-06-03,51461,34709,67.45
AXISVALUE,2026-06-03,52860,35968,68.04
AXITA,2026-06-03,231657,142044,61.32
AXSENSEX,2026-06-03,5651,4438,78.53
AYE,2026-06-03,3435775,985071,28.67
AYMSYNTEX,2026-06-03,21546,12170,56.48
AZAD,2026-06-03,403701,147004,36.41
BAFNAPH,2026-06-03,2326,2326,100.0
BAGFILMS,2026-06-03,92827,57391,61.83
BAIDFIN,2026-06-03,69057,46546,67.4
BAJAJ-AUTO,2026-06-03,355015,182133,51.3
BAJAJCON,2026-06-03,693422,323655,46.68
BAJAJELEC,2026-06-03,577691,253074,43.81
