Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-04-20,176570,74047,41.94
21STCENMGM,2026-04-20,612,612,100.0
360ONE,2026-04-20,671866,313927,46.72
3BBLACKBIO,2026-04-20,4965,3401,68.5
3IINFOLTD,2026-04-20,514878,400043,77.7
3MINDIA,2026-04-20,2882,1171,40.63
3PLAND,2026-04-20,16683,11160,66.89
5PAISA,2026-04-20,41887,23063,55.06
63MOONS,2026-04-20,612451,214505,35.02
AAATECH,2026-04-20,66776,36616,54.83
AADHARHFC,2026-04-20,367784,219382,59.65
AAREYDRUGS,2026-04-20,352415,212321,60.25
AARNAV,2026-04-20,37257,31464,84.45
AARON,2026-04-20,9967,6051,60.71
AARTECH,2026-04-20,77525,30551,39.41
AARTIDRUGS,2026-04-20,214038,113547,53.05
AARTIIND,2026-04-20,1043972,448004,42.91
AARTIPHARM,2026-04-20,137887,83589,60.62
AARTISURF,2026-04-20,10473,7163,68.39
AARVI,2026-04-20,13073,8441,64.57
AAVAS,2026-04-20,90454,40755,45.06
ABANSENT,2026-04-20,584,487,83.39
ABB,2026-04-20,559841,198352,35.43
ABBOTINDIA,2026-04-20,14619,8223,56.25
ABCAPITAL,2026-04-20,4145767,2112315,50.95
ABCOTS,2026-04-20,87666,24790,28.28
ABDL,2026-04-20,560110,211268,37.72
ABFRL,2026-04-20,6086930,2294980,37.7
ABGSEC,2026-04-20,788,724,91.88
ABINFRA,2026-04-20,519850,113501,21.83
ABLBL,2026-04-20,787514,370705,47.07
ABMKNO,2026-04-20,15,13,86.67
ABREL,2026-04-20,194988,103954,53.31
ABSL10BANK,2026-04-20,2075,1739,83.81
ABSLAMC,2026-04-20,502198,330062,65.72
ABSLBANETF,2026-04-20,58113,40003,68.84
ABSLLIQUID,2026-04-20,20052,18821,93.86
ABSLMSCIN,2026-04-20,2513,2311,91.96
ABSLNN50ET,2026-04-20,28131,24834,88.28
ABSLPSE,2026-04-20,414650,283695,68.42
ACC,2026-04-20,222508,99970,44.93
ACCELYA,2026-04-20,8204,4371,53.28
ACE,2026-04-20,348053,160230,46.04
ACEINTEG,2026-04-20,3025,2507,82.88
ACI,2026-04-20,68567,37330,54.44
ACL,2026-04-20,26907,12215,45.4
ACMESOLAR,2026-04-20,2928726,910751,31.1
ACSTECH,2026-04-20,33643,33039,98.2
ACUTAAS,2026-04-20,264360,147581,55.83
ADANIENSOL,2026-04-20,2335390,804663,34.46
ADANIENT,2026-04-20,1795338,526807,29.34
ADANIGREEN,2026-04-20,7598644,1796088,23.64
ADANIPORTS,2026-04-20,2998603,1312146,43.76
ADANIPOWER,2026-04-20,81881887,16226761,19.82
ADFFOODS,2026-04-20,389403,117519,30.18
ADL,2026-04-20,582,164,28.18
ADOR,2026-04-20,91290,46527,50.97
ADROITINFO,2026-04-20,20480,17862,87.22
ADSL,2026-04-20,217311,93857,43.19
ADVAIT,2026-04-20,54093,27553,50.94
ADVANCE,2026-04-20,166306,97758,58.78
ADVANIHOTR,2026-04-20,43323,32054,73.99
ADVENTHTL,2026-04-20,115674,59693,51.6
ADVENZYMES,2026-04-20,145195,88143,60.71
AEGISLOG,2026-04-20,2460815,808244,32.84
AEGISVOPAK,2026-04-20,596464,227754,38.18
AEQUS,2026-04-20,15548800,2662090,17.12
AEROENTER,2026-04-20,514197,200872,39.07
AEROFLEX,2026-04-20,1187413,479205,40.36
AERONEU,2026-04-20,84622,9730,11.5
AETHER,2026-04-20,305310,116563,38.18
AFCONS,2026-04-20,461099,154379,33.48
AFFLE,2026-04-20,233361,106309,45.56
AFSL,2026-04-20,13296,7877,59.24
AGARIND,2026-04-20,99965,54419,54.44
AGARWALEYE,2026-04-20,74947,46311,61.79
AGI,2026-04-20,192443,94346,49.03
AGIIL,2026-04-20,1630874,598415,36.69
AGRITECH,2026-04-20,7677,5120,66.69
AGROPHOS,2026-04-20,9638,7160,74.29
AHCL,2026-04-20,846546,412939,48.78
AHLADA,2026-04-20,12726,6393,50.24
AHLEAST,2026-04-20,6922,3515,50.78
AHLUCONT,2026-04-20,46282,24954,53.92
AHLWEST,2026-04-20,1366,1366,100.0
