Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-05-29,136815,75591,55.25
21STCENMGM,2026-05-29,9424,9424,100.0
360ONE,2026-05-29,1006275,632162,62.82
3BBLACKBIO,2026-05-29,7362,4786,65.01
3IINFOLTD,2026-05-29,280076,177164,63.26
3MINDIA,2026-05-29,4786,2280,47.64
3PLAND,2026-05-29,3102,1752,56.48
5PAISA,2026-05-29,25083,13366,53.29
63MOONS,2026-05-29,405963,226461,55.78
A2ZINFRA,2026-05-29,247002,181392,73.44
AAATECH,2026-05-29,19785,10090,51.0
AADHARHFC,2026-05-29,363653,243949,67.08
AARNAV,2026-05-29,374645,345095,92.11
AARON,2026-05-29,16824,10498,62.4
AARTECH,2026-05-29,58465,34106,58.34
AARTIDRUGS,2026-05-29,113580,59961,52.79
AARTIIND,2026-05-29,807914,462644,57.26
AARTIPHARM,2026-05-29,504434,250904,49.74
AARTISURF,2026-05-29,7633,5746,75.28
AARVI,2026-05-29,31951,10551,33.02
AAVAS,2026-05-29,105409,59280,56.24
ABB,2026-05-29,1105117,612181,55.4
ABBOTINDIA,2026-05-29,10979,5992,54.58
ABCAPITAL,2026-05-29,5569935,3505493,62.94
ABCOTS,2026-05-29,29078,11418,39.27
ABDL,2026-05-29,330864,225291,68.09
ABFRL,2026-05-29,21866359,10253464,46.89
ABGSEC,2026-05-29,2,2,100.0
ABINFRA,2026-05-29,1909772,676989,35.45
ABLBL,2026-05-29,2913328,1888428,64.82
ABMINTLLTD,2026-05-29,1800,1660,92.22
ABMKNO,2026-05-29,3573,3181,89.03
ABREL,2026-05-29,215115,87163,40.52
ABSL10BANK,2026-05-29,681,602,88.4
ABSLAMC,2026-05-29,432117,254795,58.96
ABSLBANETF,2026-05-29,57395,47419,82.62
ABSLLIQUID,2026-05-29,3505,1946,55.52
ABSLMSCIN,2026-05-29,129,129,100.0
ABSLNN50ET,2026-05-29,19015,16833,88.52
ABSLPSE,2026-05-29,211731,121505,57.39
ACC,2026-05-29,195857,104429,53.32
ACCELYA,2026-05-29,9650,6584,68.23
ACCURACY,2026-05-29,186339,110437,59.27
ACE,2026-05-29,438256,191163,43.62
ACEINTEG,2026-05-29,5873,4941,84.13
ACI,2026-05-29,194206,95432,49.14
ACL,2026-05-29,9873,7691,77.9
ACMESOLAR,2026-05-29,4064881,2197784,54.07
ACSTECH,2026-05-29,113539,78221,68.89
ACUTAAS,2026-05-29,602384,333148,55.3
ADANIENSOL,2026-05-29,3353166,1043482,31.12
ADANIENT,2026-05-29,4040865,2146865,53.13
ADANIGREEN,2026-05-29,4207457,1078342,25.63
ADANIPORTS,2026-05-29,3554087,2076023,58.41
ADANIPOWER,2026-05-29,71856898,29343442,40.84
ADFFOODS,2026-05-29,245714,100572,40.93
ADL,2026-05-29,403,387,96.03
ADOR,2026-05-29,23354,13117,56.17
ADROITINFO,2026-05-29,34069,25931,76.11
ADSL,2026-05-29,116878,62819,53.75
ADVAIT,2026-05-29,93876,39690,42.28
ADVANCE,2026-05-29,42325,26324,62.19
ADVANIHOTR,2026-05-29,28249,17956,63.56
ADVENTHTL,2026-05-29,211757,144851,68.4
ADVENZYMES,2026-05-29,133264,71350,53.54
AEGISLOG,2026-05-29,5777221,932686,16.14
AEGISVOPAK,2026-05-29,777726,351186,45.16
AEPL,2026-05-29,37012,14315,38.68
AEQUS,2026-05-29,6334708,1796258,28.36
AEROENTER,2026-05-29,313085,103341,33.01
AEROFLEX,2026-05-29,2205272,684647,31.05
AERONEU,2026-05-29,59546,7848,13.18
AETHER,2026-05-29,367593,239305,65.1
AFCONS,2026-05-29,3017788,829908,27.5
AFFLE,2026-05-29,218062,109455,50.19
AFSL,2026-05-29,14655,8637,58.94
AGARIND,2026-05-29,64028,26042,40.67
AGARWALEYE,2026-05-29,62462,32843,52.58
AGI,2026-05-29,189989,97300,51.21
AGIIL,2026-05-29,983126,330320,33.6
AGRITECH,2026-05-29,1836,1158,63.07
AGROPHOS,2026-05-29,44000,20152,45.8
AHCL,2026-05-29,10072113,2668404,26.49
AHLADA,2026-05-29,5948,3917,65.85
AHLEAST,2026-05-29,4957,2813,56.75
AHLUCONT,2026-05-29,90923,54722,60.18
AIAENG,2026-05-29,212656,103892,48.85
AIIL,2026-05-29,446188,292456,65.55
AIRAN,2026-05-29,96205,66875,69.51
AIROLAM,2026-05-29,3895,3583,91.99
AJANTPHARM,2026-05-29,227318,154111,67.8
AJAXENGG,2026-05-29,197776,152825,77.27
AJMERA,2026-05-29,1170637,470856,40.22
AJOONI,2026-05-29,404411,343529,84.95
AKASH,2026-05-29,4723,3444,72.92
AKCAPIT,2026-05-29,1672,1238,74.04
AKG,2026-05-29,7130,3913,54.88
AKI,2026-05-29,76031,53880,70.87
AKSHAR,2026-05-29,561125,407515,72.62
AKSHARCHEM,2026-05-29,7748,4472,57.72
AKUMS,2026-05-29,84905,46831,55.16
ALANKIT,2026-05-29,331662,204273,61.59
ALBERTDAVD,2026-05-29,2077,1340,64.52
ALEMBICLTD,2026-05-29,276516,131917,47.71
ALGOQUANT,2026-05-29,1698493,373453,21.99
ALICON,2026-05-29,16129,11360,70.43
ALIVUS,2026-05-29,60799,27178,44.7
ALKALI,2026-05-29,431746,154575,35.8
ALKEM,2026-05-29,1404988,690861,49.17
ALKYLAMINE,2026-05-29,60412,26634,44.09
ALLCARGO,2026-05-29,2988234,1531397,51.25
ALLDIGI,2026-05-29,3060,2123,69.38
ALLTIME,2026-05-29,56374,35936,63.75
ALMONDZ,2026-05-29,197557,99955,50.6
ALOKINDS,2026-05-29,42648128,24628677,57.75
ALPA,2026-05-29,41231,32564,78.98
ALPHA,2026-05-29,2681753,2241137,83.57
ALPHAETF,2026-05-29,420006,315113,75.03
ALPHAGEO,2026-05-29,4681,3422,73.1
ALPL30IETF,2026-05-29,303726,198390,65.32
AMAGI,2026-05-29,169175,129131,76.33
AMANTA,2026-05-29,222537,112899,50.73
AMBALALSA,2026-05-29,235878,113015,47.91
AMBER,2026-05-29,486302,135516,27.87
AMBICAAGAR,2026-05-29,7301,6954,95.25
