Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-07-15,144897,69760,48.14
21STCENMGM,2026-07-15,4406,4363,99.02
360ONE,2026-07-15,649100,275996,42.52
3BBLACKBIO,2026-07-15,47232,25784,54.59
3IINFOLTD,2026-07-15,224434,175753,78.31
3MINDIA,2026-07-15,9149,4338,47.42
3PLAND,2026-07-15,4201,3878,92.31
5PAISA,2026-07-15,114226,57512,50.35
63MOONS,2026-07-15,184851,82610,44.69
A2ZINFRA,2026-07-15,602501,321424,53.35
AAATECH,2026-07-15,7289,4507,61.83
AADHARHFC,2026-07-15,240740,129560,53.82
AAKASH,2026-07-15,74915,49603,66.21
AARNAV,2026-07-15,13788,11055,80.18
AARON,2026-07-15,9913,6600,66.58
AARTIDRUGS,2026-07-15,665505,297355,44.68
AARTIIND,2026-07-15,4186186,1153804,27.56
AARTIPHARM,2026-07-15,194690,85844,44.09
AARTISURF,2026-07-15,6962,4345,62.41
AARVI,2026-07-15,10905,6269,57.49
AAVAS,2026-07-15,67799,30175,44.51
ABB,2026-07-15,763817,309219,40.48
ABBOTINDIA,2026-07-15,8698,4601,52.9
ABCAPITAL,2026-07-15,1844455,720310,39.05
ABCOTS,2026-07-15,20378,15621,76.66
ABDL,2026-07-15,524540,258233,49.23
ABFRL,2026-07-15,2340905,1109952,47.42
ABGSEC,2026-07-15,667,311,46.63
ABINFRA,2026-07-15,841221,216091,25.69
ABLBL,2026-07-15,282631,127306,45.04
ABMINTLLTD,2026-07-15,187,170,90.91
ABMKNO,2026-07-15,5209,4636,89.0
ABREL,2026-07-15,80740,35961,44.54
ABSL10BANK,2026-07-15,83849,81760,97.51
ABSLAMC,2026-07-15,209635,107246,51.16
ABSLBANETF,2026-07-15,123970,104544,84.33
ABSLLIQUID,2026-07-15,1689,930,55.06
ABSLMSCIN,2026-07-15,12361,10761,87.06
ABSLNN50ET,2026-07-15,26914,19556,72.66
ABSLPSE,2026-07-15,129756,91931,70.85
ACC,2026-07-15,156374,65337,41.78
ACCELYA,2026-07-15,4723,3166,67.03
ACE,2026-07-15,417965,180882,43.28
ACEINTEG,2026-07-15,2048,1768,86.33
ACI,2026-07-15,1502876,1309290,87.12
ACL,2026-07-15,6413,3936,61.38
ACMESOLAR,2026-07-15,1967707,1131743,57.52
ACSTECH,2026-07-15,293412,166023,56.58
ACUTAAS,2026-07-15,191332,94819,49.56
ADANIENSOL,2026-07-15,1169341,391582,33.49
ADANIENT,2026-07-15,1035101,399251,38.57
ADANIGREEN,2026-07-15,2364540,744488,31.49
ADANIPORTS,2026-07-15,917984,444087,48.38
ADANIPOWER,2026-07-15,36262411,13519427,37.28
ADFFOODS,2026-07-15,128018,59891,46.78
ADL,2026-07-15,3866,2109,54.55
ADOR,2026-07-15,119798,57764,48.22
ADROITINFO,2026-07-15,4223,2841,67.27
ADSL,2026-07-15,100009,33084,33.08
ADVAIT,2026-07-15,34728,15775,45.42
ADVANCE,2026-07-15,216737,106418,49.1
ADVANIHOTR,2026-07-15,26258,16277,61.99
ADVENTHTL,2026-07-15,176559,58102,32.91
ADVENZYMES,2026-07-15,100259,52431,52.3
AEGISLOG,2026-07-15,2961973,659087,22.25
AEGISVOPAK,2026-07-15,1967293,731597,37.19
AEPL,2026-07-15,13604,9325,68.55
AEQUS,2026-07-15,3323560,868952,26.15
AEROENTER,2026-07-15,760764,552465,72.62
AEROFLEX,2026-07-15,920485,328139,35.65
AERONEU,2026-07-15,42138,6447,15.3
AETHER,2026-07-15,174852,56516,32.32
AFCONS,2026-07-15,262994,110364,41.96
AFFLE,2026-07-15,177085,69361,39.17
AFSL,2026-07-15,3278,1799,54.88
AGARIND,2026-07-15,24627,12697,51.56
AGARWALEYE,2026-07-15,57651,29915,51.89
AGI,2026-07-15,66225,43798,66.14
AGIIL,2026-07-15,1620971,321096,19.81
AGROPHOS,2026-07-15,5921,4490,75.83
AHCL,2026-07-15,2584237,1337304,51.75
AHLADA,2026-07-15,2574,2172,84.38
AHLEAST,2026-07-15,188,135,71.81
AHLUCONT,2026-07-15,68960,39466,57.23
AIAENG,2026-07-15,166287,117370,70.58
AIIL,2026-07-15,107686,54462,50.57
AIRAN,2026-07-15,46824,35393,75.59
AIROLAM,2026-07-15,1293,1032,79.81
AJANTPHARM,2026-07-15,49219,21433,43.55
AJAXENGG,2026-07-15,129522,57541,44.43
AJMERA,2026-07-15,420076,182464,43.44
AJOONI,2026-07-15,1986486,1054537,53.09
AKASH,2026-07-15,3591,2478,69.01
AKCAPIT,2026-07-15,5625,3196,56.82
AKG,2026-07-15,44125,40345,91.43
AKI,2026-07-15,116524,98376,84.43
AKSHAR,2026-07-15,398280,297922,74.8
AKUMS,2026-07-15,291139,156309,53.69
