Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-02-17,44683,18857,42.2
21STCENMGM,2026-02-17,2307,1440,62.42
360ONE,2026-02-17,884322,97188,10.99
3IINFOLTD,2026-02-17,345054,263652,76.41
3MINDIA,2026-02-17,3357,1657,49.36
3PLAND,2026-02-17,1773,1477,83.31
5PAISA,2026-02-17,29494,8764,29.71
63MOONS,2026-02-17,137120,81576,59.49
A2ZINFRA,2026-02-17,181550,134540,74.11
AADHARHFC,2026-02-17,165412,116773,70.6
AAKASH,2026-02-17,46193,34054,73.72
AAREYDRUGS,2026-02-17,527709,350312,66.38
AARON,2026-02-17,8076,3431,42.48
AARTECH,2026-02-17,9086,4749,52.27
AARTIDRUGS,2026-02-17,44518,22094,49.63
AARTIIND,2026-02-17,447858,185603,41.44
AARTIPHARM,2026-02-17,95480,50068,52.44
AARTISURF,2026-02-17,9191,4307,46.86
AARVI,2026-02-17,19980,10681,53.46
AAVAS,2026-02-17,55533,24099,43.4
ABB,2026-02-17,116120,40936,35.25
ABBOTINDIA,2026-02-17,8453,5226,61.82
ABCAPITAL,2026-02-17,5250034,3063579,58.35
ABCOTS,2026-02-17,60849,25853,42.49
ABDL,2026-02-17,178507,99573,55.78
ABFRL,2026-02-17,3813765,2067151,54.2
ABGSEC,2026-02-17,60,58,96.67
ABINFRA,2026-02-17,3771242,2228647,59.1
ABLBL,2026-02-17,466364,234486,50.28
ABREL,2026-02-17,60113,22546,37.51
ABSLAMC,2026-02-17,208978,94110,45.03
ABSLBANETF,2026-02-17,3915022,3356739,85.74
ABSLLIQUID,2026-02-17,2252,1526,67.76
ABSLNN50ET,2026-02-17,11476,10278,89.56
ABSLPSE,2026-02-17,309936,244583,78.91
ACC,2026-02-17,148310,63535,42.84
ACCELYA,2026-02-17,12360,5324,43.07
ACCURACY,2026-02-17,66949,31142,46.52
ACE,2026-02-17,138747,67319,48.52
ACEINTEG,2026-02-17,2058,1531,74.39
