Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-07-30,123787,48171,38.91
21STCENMGM,2026-07-30,26382,20558,77.92
360ONE,2026-07-30,1268562,738700,58.23
3BBLACKBIO,2026-07-30,3705,2227,60.11
3IINFOLTD,2026-07-30,1298784,795435,61.24
3MINDIA,2026-07-30,1703,793,46.56
3PLAND,2026-07-30,1256,1142,90.92
5PAISA,2026-07-30,42557,24319,57.14
63MOONS,2026-07-30,9665398,818571,8.47
A2ZINFRA,2026-07-30,366233,277244,75.7
AAATECH,2026-07-30,6867,4158,60.55
AADHARHFC,2026-07-30,430815,315438,73.22
AAKASH,2026-07-30,51521,39723,77.1
AARNAV,2026-07-30,92027,43706,47.49
AARON,2026-07-30,20559,9475,46.09
AARTIDRUGS,2026-07-30,175980,76565,43.51
AARTIIND,2026-07-30,479304,193937,40.46
AARTIPHARM,2026-07-30,84003,48164,57.34
AARTISURF,2026-07-30,7083,5352,75.56
AARVI,2026-07-30,38327,24147,63.0
AASTHA,2026-07-30,1073052,390001,36.35
AAVAS,2026-07-30,32568,18717,57.47
ABB,2026-07-30,335960,120010,35.72
ABBOTINDIA,2026-07-30,3567,2119,59.41
ABCAPITAL,2026-07-30,1163657,489150,42.04
ABCOTS,2026-07-30,7460,3548,47.56
ABDL,2026-07-30,318327,172480,54.18
ABFRL,2026-07-30,16427760,5999887,36.52
ABGSEC,2026-07-30,10,5,50.0
ABINFRA,2026-07-30,1212155,1058623,87.33
ABLBL,2026-07-30,1638999,969715,59.17
ABMINTLLTD,2026-07-30,708,582,82.2
ABMKNO,2026-07-30,235,187,79.57
ABREL,2026-07-30,74591,38338,51.4
ABSL10BANK,2026-07-30,36154,35628,98.55
ABSLAMC,2026-07-30,72834,37873,52.0
ABSLBANETF,2026-07-30,8598,3614,42.03
ABSLLIQUID,2026-07-30,5146,4934,95.88
ABSLMSCIN,2026-07-30,4648,4590,98.75
ABSLNN50ET,2026-07-30,6149,5235,85.14
ABSLPSE,2026-07-30,95437,79676,83.49
ACC,2026-07-30,166715,49630,29.77
ACCELYA,2026-07-30,9490,5386,56.75
ACE,2026-07-30,236732,114321,48.29
ACEINTEG,2026-07-30,6486,6210,95.74
ACI,2026-07-30,145017,96696,66.68
ACL,2026-07-30,17011,12829,75.42
ACMESOLAR,2026-07-30,5921663,2476276,41.82
