Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-07-22,201717,89309,44.27
21STCENMGM,2026-07-22,2373,2137,90.05
360ONE,2026-07-22,913719,541449,59.26
3BBLACKBIO,2026-07-22,9511,5047,53.06
3IINFOLTD,2026-07-22,2164128,1406808,65.01
3MINDIA,2026-07-22,5695,1820,31.96
3PLAND,2026-07-22,2774,2122,76.5
5PAISA,2026-07-22,49320,20621,41.81
63MOONS,2026-07-22,184961,103308,55.85
A2ZINFRA,2026-07-22,175020,81037,46.3
AAATECH,2026-07-22,4124,2617,63.46
AADHARHFC,2026-07-22,630925,403846,64.01
AAKASH,2026-07-22,328603,94633,28.8
AARNAV,2026-07-22,52300,35873,68.59
AARON,2026-07-22,9275,4741,51.12
AARTIDRUGS,2026-07-22,311603,133475,42.83
AARTIIND,2026-07-22,875805,333256,38.05
AARTIPHARM,2026-07-22,244021,127111,52.09
AARTISURF,2026-07-22,6823,4213,61.75
AARVI,2026-07-22,55117,20882,37.89
AASTHA,2026-07-22,18345174,4536353,24.73
AAVAS,2026-07-22,487839,239651,49.13
ABB,2026-07-22,212131,66406,31.3
ABBOTINDIA,2026-07-22,21902,11251,51.37
ABCAPITAL,2026-07-22,4736082,2507996,52.96
ABCOTS,2026-07-22,33436,7126,21.31
ABDL,2026-07-22,260401,103530,39.76
ABFRL,2026-07-22,3015586,1861573,61.73
ABINFRA,2026-07-22,367247,97997,26.68
ABLBL,2026-07-22,329419,203030,61.63
ABMINTLLTD,2026-07-22,7117,1117,15.69
ABMKNO,2026-07-22,2261,1937,85.67
ABREL,2026-07-22,87321,45719,52.36
ABSL10BANK,2026-07-22,43250,42943,99.29
ABSLAMC,2026-07-22,1218591,561929,46.11
ABSLBANETF,2026-07-22,54654,47783,87.43
ABSLLIQUID,2026-07-22,13262,8218,61.97
ABSLMSCIN,2026-07-22,4466,4042,90.51
ABSLNN50ET,2026-07-22,5141,3977,77.36
ABSLPSE,2026-07-22,71917,52718,73.3
ACC,2026-07-22,104453,46977,44.97
ACCELYA,2026-07-22,8151,5009,61.45
ACE,2026-07-22,594830,249272,41.91
ACEINTEG,2026-07-22,3606,3110,86.25
ACI,2026-07-22,277766,168888,60.8
ACL,2026-07-22,4324,3183,73.61
ACMESOLAR,2026-07-22,678714,344831,50.81
ACSTECH,2026-07-22,90132,56024,62.16
ACUTAAS,2026-07-22,161629,73419,45.42
ADANIENSOL,2026-07-22,2410451,688353,28.56
ADANIENT,2026-07-22,977224,420449,43.02
ADANIGREEN,2026-07-22,3809107,1040207,27.31
ADANIPORTS,2026-07-22,1436881,712952,49.62
ADANIPOWER,2026-07-22,45613497,10315867,22.62
ADFFOODS,2026-07-22,79498,41772,52.54
ADL,2026-07-22,1025,734,71.61
ADOR,2026-07-22,292167,111755,38.25
ADROITINFO,2026-07-22,5112,4556,89.12
ADSL,2026-07-22,105225,48993,46.56
ADVAIT,2026-07-22,83033,35881,43.21
ADVANCE,2026-07-22,297520,159847,53.73
ADVANIHOTR,2026-07-22,20217,12360,61.14
ADVENTHTL,2026-07-22,46368,26511,57.18
ADVENZYMES,2026-07-22,181585,111390,61.34
AEGISLOG,2026-07-22,1774539,251398,14.17
AEGISVOPAK,2026-07-22,4359357,1035138,23.75
AEPL,2026-07-22,68158,52005,76.3
AEQUS,2026-07-22,2164509,912667,42.17
AEROENTER,2026-07-22,277453,173773,62.63
AEROFLEX,2026-07-22,818242,340234,41.58
AERONEU,2026-07-22,47171,11237,23.82
AEROPLANE,2026-07-22,323436,202920,62.74
AETHER,2026-07-22,181794,76522,42.09
AFCONS,2026-07-22,2188729,1092774,49.93
AFFLE,2026-07-22,101469,57378,56.55
AFIL,2026-07-22,1063331,598018,56.24
AFSL,2026-07-22,3618,3161,87.37
AGARIND,2026-07-22,28293,16986,60.04
AGARWALEYE,2026-07-22,137078,86048,62.77
AGI,2026-07-22,72123,38697,53.65
