Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-02-03,108007,49871,46.17
21STCENMGM,2026-02-03,1360,1360,100.0
360ONE,2026-02-03,1208601,589252,48.75
3IINFOLTD,2026-02-03,450220,306033,67.97
3MINDIA,2026-02-03,3587,2090,58.27
3PLAND,2026-02-03,7713,7323,94.94
5PAISA,2026-02-03,172415,72854,42.26
63MOONS,2026-02-03,82743,40838,49.36
A2ZINFRA,2026-02-03,103795,72134,69.5
AADHARHFC,2026-02-03,1030542,549904,53.36
AAKASH,2026-02-03,55987,49018,87.55
AAREYDRUGS,2026-02-03,71783,41580,57.92
AARON,2026-02-03,12812,7291,56.91
AARTECH,2026-02-03,26416,14800,56.03
AARTIDRUGS,2026-02-03,260908,98556,37.77
AARTIIND,2026-02-03,14490359,4908213,33.87
AARTIPHARM,2026-02-03,164075,56023,34.14
AARTISURF,2026-02-03,22757,12605,55.39
AARVI,2026-02-03,17382,9104,52.38
AAVAS,2026-02-03,529883,337940,63.78
ABB,2026-02-03,646658,377371,58.36
ABBOTINDIA,2026-02-03,10469,5562,53.13
ABCAPITAL,2026-02-03,7998256,4081144,51.03
ABCOTS,2026-02-03,36135,10501,29.06
ABDL,2026-02-03,645205,375862,58.25
ABFRL,2026-02-03,8657641,3818910,44.11
ABGSEC,2026-02-03,174,104,59.77
ABINFRA,2026-02-03,848950,637754,75.12
ABLBL,2026-02-03,8975144,4473316,49.84
ABMINTLLTD,2026-02-03,3354,1605,47.85
ABREL,2026-02-03,841825,567844,67.45
ABSLAMC,2026-02-03,344063,160254,46.58
ABSLBANETF,2026-02-03,988575,961851,97.3
ABSLLIQUID,2026-02-03,4713,3591,76.19
ABSLNN50ET,2026-02-03,37448,32537,86.89
ABSLPSE,2026-02-03,715669,441417,61.68
ACC,2026-02-03,243255,100961,41.5
ACCELYA,2026-02-03,50010,27159,54.31
ACCURACY,2026-02-03,138598,87044,62.8
ACE,2026-02-03,364722,164297,45.05
ACEINTEG,2026-02-03,2427,1954,80.51
ACI,2026-02-03,136242,57307,42.06
ACL,2026-02-03,22073,13830,62.66
ACMESOLAR,2026-02-03,3090402,1082065,35.01
ACUTAAS,2026-02-03,670963,326636,48.68
ADANIENSOL,2026-02-03,5085074,1260123,24.78
ADANIENT,2026-02-03,6918581,1198404,17.32
ADANIGREEN,2026-02-03,10826968,2086053,19.27
ADANIPORTS,2026-02-03,11977119,5036834,42.05
ADANIPOWER,2026-02-03,54947535,14896223,27.11
ADFFOODS,2026-02-03,1707725,620594,36.34
ADL,2026-02-03,2536,1721,67.86
ADOR,2026-02-03,14194,7044,49.63
ADROITINFO,2026-02-03,32859,28658,87.22
ADSL,2026-02-03,371770,115723,31.13
ADVAIT,2026-02-03,18925,8781,46.4
ADVANCE,2026-02-03,643190,235320,36.59
ADVANIHOTR,2026-02-03,101367,63053,62.2
ADVENTHTL,2026-02-03,96179,48511,50.44
ADVENZYMES,2026-02-03,199165,113635,57.06
AEGISLOG,2026-02-03,1312848,1112826,84.76
AEGISVOPAK,2026-02-03,2233629,644371,28.85
AEQUS,2026-02-03,1004834,454331,45.21
AEROENTER,2026-02-03,211053,75182,35.62
AEROFLEX,2026-02-03,3093704,775236,25.06
AERONEU,2026-02-03,39137,24166,61.75
AETHER,2026-02-03,1726332,709592,41.1
AFCONS,2026-02-03,1405700,1257834,89.48
AFFLE,2026-02-03,254620,119519,46.94
AFFORDABLE,2026-02-03,139009,69607,50.07
AFIL,2026-02-03,679398,438496,64.54
AFSL,2026-02-03,7105,4075,57.35
AGARIND,2026-02-03,17355,9565,55.11
AGARWALEYE,2026-02-03,128431,58878,45.84
AGI,2026-02-03,207488,107130,51.63
AGIIL,2026-02-03,717374,328374,45.77
AGROPHOS,2026-02-03,14316,8704,60.8
AHCL,2026-02-03,114489,50304,43.94
AHLADA,2026-02-03,17639,11638,65.98
AHLEAST,2026-02-03,461,351,76.14
AHLUCONT,2026-02-03,122750,80863,65.88
AIAENG,2026-02-03,49545,35067,70.78
AIIL,2026-02-03,300445,144180,47.99
AIRAN,2026-02-03,241315,216572,89.75
AIROLAM,2026-02-03,1192,1160,97.32
AJANTPHARM,2026-02-03,119919,70500,58.79
AJAXENGG,2026-02-03,27573,14132,51.25
AJMERA,2026-02-03,371193,152040,40.96
AJOONI,2026-02-03,530979,302392,56.95
AKASH,2026-02-03,11667,10306,88.33
AKG,2026-02-03,35282,32171,91.18
AKI,2026-02-03,83983,76124,90.64
AKSHAR,2026-02-03,1802505,1314018,72.9
AKSHARCHEM,2026-02-03,3058,2005,65.57
AKSHOPTFBR,2026-02-03,311547,217676,69.87
AKUMS,2026-02-03,130200,62287,47.84
AKZOINDIA,2026-02-03,57053,29856,52.33
ALANKIT,2026-02-03,320310,250051,78.07
ALBERTDAVD,2026-02-03,2093,1296,61.92
ALEMBICLTD,2026-02-03,148796,90457,60.79
ALGOQUANT,2026-02-03,446449,102386,22.93
ALICON,2026-02-03,59447,23116,38.89
ALIVUS,2026-02-03,59015,33024,55.96
ALKALI,2026-02-03,3567,2208,61.9
ALKEM,2026-02-03,175751,106039,60.33
ALKYLAMINE,2026-02-03,150087,25596,17.05
ALLCARGO,2026-02-03,4884552,1936596,39.65
ALLDIGI,2026-02-03,78594,38832,49.41
ALLTIME,2026-02-03,218209,85724,39.29
ALMONDZ,2026-02-03,111363,68593,61.59
ALOKINDS,2026-02-03,21541613,7558092,35.09
ALPA,2026-02-03,8785,6899,78.53
ALPHA,2026-02-03,2324838,1188651,51.13
ALPHAETF,2026-02-03,917022,437139,47.67
ALPHAGEO,2026-02-03,5158,3374,65.41
ALPL30IETF,2026-02-03,1039835,778846,74.9
AMAGI,2026-02-03,833115,390281,46.85
AMANTA,2026-02-03,74151,29489,39.77
AMBER,2026-02-03,694293,358098,51.58
AMBICAAGAR,2026-02-03,1966,1330,67.65
AMBIKCO,2026-02-03,30123,21137,70.17
AMBUJACEM,2026-02-03,3149032,1359758,43.18
AMDIND,2026-02-03,11332,7853,69.3
AMJLAND,2026-02-03,77482,35131,45.34
AMNPLST,2026-02-03,6067,3169,52.23
AMRUTANJAN,2026-02-03,10719,5591,52.16
ANANDRATHI,2026-02-03,165912,89910,54.19
ANANTRAJ,2026-02-03,8717839,1676838,19.23
ANDHRAPAP,2026-02-03,58413,35271,60.38
ANDHRSUGAR,2026-02-03,120964,64523,53.34
ANGELONE,2026-02-03,2816376,935760,33.23
ANIKINDS,2026-02-03,11037,7943,71.97
ANMOL,2026-02-03,30527,22426,73.46
ANTELOPUS,2026-02-03,259388,54788,21.12
ANTGRAPHIC,2026-02-03,287211,135304,47.11
ANTHEM,2026-02-03,264569,134670,50.9
ANUHPHR,2026-02-03,98269,60632,61.7
ANUP,2026-02-03,241097,66408,27.54
ANURAS,2026-02-03,726321,524691,72.24
AONEGOLD,2026-02-03,4666501,2231249,47.81
AONELIQUID,2026-02-03,43444,41318,95.11
AONENIFTY,2026-02-03,918143,419392,45.68
AONETMMQ50,2026-02-03,135399,91534,67.6
AONETOTAL,2026-02-03,1350665,692872,51.3
APARINDS,2026-02-03,973633,498681,51.22
APCL,2026-02-03,22758,7402,32.52
APCOTEXIND,2026-02-03,31759,20767,65.39
APEX,2026-02-03,5531249,1192742,21.56
APLAPOLLO,2026-02-03,1273084,890416,69.94
