Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-03-25,85533,46577,54.46
21STCENMGM,2026-03-25,14362,12128,84.45
360ONE,2026-03-25,871077,487493,55.96
3IINFOLTD,2026-03-25,1975303,1591179,80.55
3MINDIA,2026-03-25,2491,830,33.32
3PLAND,2026-03-25,1937,944,48.74
5PAISA,2026-03-25,104367,56244,53.89
63MOONS,2026-03-25,278588,152789,54.84
AAATECH,2026-03-25,9790,5184,52.95
AADHARHFC,2026-03-25,200832,109161,54.35
AAREYDRUGS,2026-03-25,120400,75871,63.02
AARNAV,2026-03-25,42064,36461,86.68
AARON,2026-03-25,26675,19709,73.89
AARTECH,2026-03-25,216617,187551,86.58
AARTIDRUGS,2026-03-25,119376,62034,51.97
AARTIIND,2026-03-25,849799,381391,44.88
AARTIPHARM,2026-03-25,354066,177595,50.16
AARTISURF,2026-03-25,19134,9790,51.17
AARVI,2026-03-25,13286,6830,51.41
AAVAS,2026-03-25,272644,156675,57.47
ABB,2026-03-25,231844,106779,46.06
ABBOTINDIA,2026-03-25,9078,3587,39.51
ABCAPITAL,2026-03-25,5956917,3234486,54.3
ABCOTS,2026-03-25,48819,28280,57.93
ABDL,2026-03-25,727015,381427,52.46
ABFRL,2026-03-25,4635458,2189287,47.23
ABGSEC,2026-03-25,581,381,65.58
ABINFRA,2026-03-25,1377904,1168343,84.79
ABLBL,2026-03-25,1350060,786725,58.27
ABREL,2026-03-25,448490,169926,37.89
ABSL10BANK,2026-03-25,1592,1236,77.64
ABSLAMC,2026-03-25,323399,129813,40.14
ABSLBANETF,2026-03-25,537501,400475,74.51
ABSLLIQUID,2026-03-25,3091,1917,62.02
ABSLMSCIN,2026-03-25,1728,1000,57.87
ABSLNN50ET,2026-03-25,33280,17762,53.37
ABSLPSE,2026-03-25,146324,111597,76.27
ACC,2026-03-25,254138,135100,53.16
ACCELYA,2026-03-25,9439,6073,64.34
ACCURACY,2026-03-25,364121,319476,87.74
ACE,2026-03-25,233231,91531,39.24
ACEINTEG,2026-03-25,1670,1387,83.05
ACI,2026-03-25,134962,55871,41.4
ACL,2026-03-25,223937,185171,82.69
ACMESOLAR,2026-03-25,744492,282532,37.95
ACUTAAS,2026-03-25,661327,217933,32.95
ADANIENSOL,2026-03-25,1256696,550528,43.81
ADANIENT,2026-03-25,2537690,848449,33.43
ADANIGREEN,2026-03-25,2201430,604282,27.45
ADANIPORTS,2026-03-25,1856531,808343,43.54
ADANIPOWER,2026-03-25,33813515,11834789,35.0
ADFFOODS,2026-03-25,94178,61712,65.53
ADL,2026-03-25,1324,1101,83.16
ADOR,2026-03-25,14578,8338,57.2
ADROITINFO,2026-03-25,139759,137209,98.18
ADSL,2026-03-25,246771,138815,56.25
ADVAIT,2026-03-25,98120,29988,30.56
ADVANCE,2026-03-25,638425,363267,56.9
ADVANIHOTR,2026-03-25,45991,28867,62.77
ADVENTHTL,2026-03-25,415250,299251,72.07
ADVENZYMES,2026-03-25,202034,104182,51.57
AEGISLOG,2026-03-25,568064,248700,43.78
AEGISVOPAK,2026-03-25,1326079,595726,44.92
AEPL,2026-03-25,133928,120412,89.91
AEQUS,2026-03-25,644806,311436,48.3
AEROENTER,2026-03-25,431534,225104,52.16
AEROFLEX,2026-03-25,3545388,631129,17.8
AERONEU,2026-03-25,104320,20804,19.94
AETHER,2026-03-25,1515192,336458,22.21
AFCONS,2026-03-25,388904,226949,58.36
AFFLE,2026-03-25,621200,192092,30.92
AFFORDABLE,2026-03-25,116340,82350,70.78
AFSL,2026-03-25,75781,69103,91.19
AGARIND,2026-03-25,208884,105642,50.57
AGARWALEYE,2026-03-25,81357,37521,46.12
AGI,2026-03-25,340884,216826,63.61
AGIIL,2026-03-25,2843400,614975,21.63
AGRITECH,2026-03-25,2044,1193,58.37
AGROPHOS,2026-03-25,13534,8504,62.83
AHCL,2026-03-25,223034,130839,58.66
AHLADA,2026-03-25,44994,29555,65.69
AHLEAST,2026-03-25,606,566,93.4
AHLUCONT,2026-03-25,156164,108099,69.22
AIAENG,2026-03-25,92353,45445,49.21
AIIL,2026-03-25,733675,232036,31.63
AIRAN,2026-03-25,113897,91647,80.46
AIROLAM,2026-03-25,910,586,64.4
AJANTPHARM,2026-03-25,88697,57460,64.78
AJAXENGG,2026-03-25,68094,38367,56.34
AJMERA,2026-03-25,638153,299960,47.0
AJOONI,2026-03-25,603680,390964,64.76
AKASH,2026-03-25,32484,22177,68.27
AKG,2026-03-25,55315,54565,98.64
AKI,2026-03-25,305400,263459,86.27
AKSHAR,2026-03-25,949391,871489,91.79
AKSHARCHEM,2026-03-25,46170,25634,55.52
AKSHOPTFBR,2026-03-25,540216,344313,63.74
AKUMS,2026-03-25,127436,69274,54.36
AKZOINDIA,2026-03-25,49048,34077,69.48
ALANKIT,2026-03-25,406330,288111,70.91
ALBERTDAVD,2026-03-25,7026,4535,64.55
ALEMBICLTD,2026-03-25,344393,175412,50.93
ALGOQUANT,2026-03-25,1375166,292975,21.3
ALICON,2026-03-25,34269,18673,54.49
ALIVUS,2026-03-25,110575,60184,54.43
ALKALI,2026-03-25,6471,5153,79.63
ALKEM,2026-03-25,61346,33315,54.31
ALKYLAMINE,2026-03-25,397585,43608,10.97
ALLCARGO,2026-03-25,8039645,4975982,61.89
ALLDIGI,2026-03-25,10612,5933,55.91
ALLTIME,2026-03-25,97706,48848,49.99
ALMONDZ,2026-03-25,1272583,1227797,96.48
ALOKINDS,2026-03-25,7779712,3975492,51.1
ALPA,2026-03-25,21576,16156,74.88
ALPHA,2026-03-25,2520067,1501549,59.58
ALPHAETF,2026-03-25,572017,268188,46.88
ALPHAGEO,2026-03-25,35568,12636,35.53
ALPL30IETF,2026-03-25,1376721,954251,69.31
AMAGI,2026-03-25,149620,69302,46.32
AMANTA,2026-03-25,64669,42633,65.92
AMBER,2026-03-25,400447,109758,27.41
AMBICAAGAR,2026-03-25,2165,1276,58.94
AMBIKCO,2026-03-25,12144,8158,67.18
AMBUJACEM,2026-03-25,4840404,1787976,36.94
AMDIND,2026-03-25,27776,16620,59.84
AMJLAND,2026-03-25,33778,25411,75.23
AMNPLST,2026-03-25,18705,12965,69.31
AMRUTANJAN,2026-03-25,50459,32608,64.62
ANANDRATHI,2026-03-25,105057,74176,70.61
ANANTRAJ,2026-03-25,2135406,701469,32.85
ANDHRAPAP,2026-03-25,459638,377261,82.08
ANDHRSUGAR,2026-03-25,595289,321907,54.08
ANGELONE,2026-03-25,8880739,3197516,36.01
ANIKINDS,2026-03-25,24894,14799,59.45
ANMOL,2026-03-25,206656,153893,74.47
ANTELOPUS,2026-03-25,125145,54022,43.17
ANTGRAPHIC,2026-03-25,114492,88160,77.0
ANTHEM,2026-03-25,394315,311368,78.96
ANUHPHR,2026-03-25,53898,36082,66.94
ANUP,2026-03-25,95034,42553,44.78
ANURAS,2026-03-25,153979,101851,66.15
AONEGOLD,2026-03-25,814528,478603,58.76
AONELIQUID,2026-03-25,19899,14022,70.47
AONENIFTY,2026-03-25,878856,544692,61.98
AONESILVER,2026-03-25,853566,514508,60.28
AONETMMQ50,2026-03-25,318118,188126,59.14
AONETOTAL,2026-03-25,578203,300542,51.98
APARINDS,2026-03-25,75136,21398,28.48
APCL,2026-03-25,8960,5390,60.16
APCOTEXIND,2026-03-25,62262,41785,67.11
APEX,2026-03-25,872056,157029,18.01
APLAPOLLO,2026-03-25,401241,221143,55.11
APLLTD,2026-03-25,270997,206800,76.31
APOLLO,2026-03-25,5114900,2101304,41.08
APOLLOHOSP,2026-03-25,450043,276859,61.52
APOLLOPIPE,2026-03-25,1037866,348702,33.6
APOLLOTYRE,2026-03-25,1184719,520090,43.9
APOLSINHOT,2026-03-25,2148,1533,71.37
APTECHT,2026-03-25,285540,168175,58.9
APTUS,2026-03-25,7167048,5300935,73.96
AQYLON,2026-03-25,33103,33103,100.0
ARCHIDPLY,2026-03-25,48326,37414,77.42
ARCHIES,2026-03-25,55106,34178,62.02
ARE&M,2026-03-25,891508,485900,54.5
ARENTERP,2026-03-25,3858,579,15.01
ARFIN,2026-03-25,977796,352745,36.08
ARIES,2026-03-25,26925,15523,57.65
ARIHANTCAP,2026-03-25,416786,270933,65.01
ARIHANTSUP,2026-03-25,142984,15671,10.96
ARIS,2026-03-25,2196854,707727,32.22
ARKADE,2026-03-25,743897,416255,55.96
ARMANFIN,2026-03-25,36264,18412,50.77
