Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-02-04,207805,101453,48.82
21STCENMGM,2026-02-04,9641,9641,100.0
360ONE,2026-02-04,991518,555909,56.07
3IINFOLTD,2026-02-04,533942,331815,62.14
3MINDIA,2026-02-04,5086,2875,56.53
3PLAND,2026-02-04,5093,4865,95.52
5PAISA,2026-02-04,73628,30594,41.55
63MOONS,2026-02-04,93475,52714,56.39
A2ZINFRA,2026-02-04,91918,67430,73.36
AADHARHFC,2026-02-04,140644,82841,58.9
AAKASH,2026-02-04,63786,53290,83.54
AAREYDRUGS,2026-02-04,30836,19171,62.17
AARON,2026-02-04,7190,3873,53.87
AARTECH,2026-02-04,19730,13098,66.39
AARTIDRUGS,2026-02-04,933003,389917,41.79
AARTIIND,2026-02-04,3803325,1290043,33.92
AARTIPHARM,2026-02-04,98181,50933,51.88
AARTISURF,2026-02-04,15729,10064,63.98
AARVI,2026-02-04,14115,7678,54.4
AAVAS,2026-02-04,84173,41056,48.78
ABB,2026-02-04,509746,215593,42.29
ABBOTINDIA,2026-02-04,7911,3694,46.69
ABCAPITAL,2026-02-04,7998567,2246697,28.09
ABCOTS,2026-02-04,4076,2874,70.51
ABDL,2026-02-04,298265,141410,47.41
ABFRL,2026-02-04,6463668,2178779,33.71
ABGSEC,2026-02-04,6,5,83.33
ABINFRA,2026-02-04,1165144,1046072,89.78
ABLBL,2026-02-04,1892154,994498,52.56
ABMINTLLTD,2026-02-04,646,596,92.26
ABREL,2026-02-04,430635,231711,53.81
ABSLAMC,2026-02-04,188802,92300,48.89
ABSLBANETF,2026-02-04,803331,574420,71.5
ABSLLIQUID,2026-02-04,3638,2967,81.56
ABSLNN50ET,2026-02-04,9997,7502,75.04
ABSLPSE,2026-02-04,4179697,2979554,71.29
ACC,2026-02-04,103704,52997,51.1
ACCELYA,2026-02-04,62960,41069,65.23
ACCURACY,2026-02-04,83849,67519,80.52
ACE,2026-02-04,333355,126003,37.8
ACEINTEG,2026-02-04,6564,5003,76.22
ACI,2026-02-04,138761,59462,42.85
ACL,2026-02-04,10746,6836,63.61
ACMESOLAR,2026-02-04,1928984,722369,37.45
ACUTAAS,2026-02-04,494668,271847,54.96
ADANIENSOL,2026-02-04,1645647,459560,27.93
ADANIENT,2026-02-04,2051918,395002,19.25
ADANIGREEN,2026-02-04,4230654,941590,22.26
ADANIPORTS,2026-02-04,6632728,3377903,50.93
ADANIPOWER,2026-02-04,78428934,25841380,32.95
ADFFOODS,2026-02-04,2082722,448629,21.54
ADL,2026-02-04,1224,1106,90.36
ADOR,2026-02-04,6048,4379,72.4
ADROITINFO,2026-02-04,399089,271529,68.04
ADSL,2026-02-04,356855,82924,23.24
ADVAIT,2026-02-04,33060,12278,37.14
ADVANCE,2026-02-04,3977846,885302,22.26
ADVANIHOTR,2026-02-04,50696,31866,62.86
ADVENTHTL,2026-02-04,201650,90848,45.05
ADVENZYMES,2026-02-04,113741,67560,59.4
AEGISLOG,2026-02-04,487772,196093,40.2
AEGISVOPAK,2026-02-04,710369,284146,40.0
AEQUS,2026-02-04,1618801,771296,47.65
AEROENTER,2026-02-04,143048,62261,43.52
AEROFLEX,2026-02-04,879200,329318,37.46
AERONEU,2026-02-04,36038,19371,53.75
AETHER,2026-02-04,539266,214601,39.8
AFCONS,2026-02-04,175091,72346,41.32
AFFLE,2026-02-04,113825,60177,52.87
AFFORDABLE,2026-02-04,30410,21092,69.36
AFIL,2026-02-04,896679,557030,62.12
AFSL,2026-02-04,2621,1637,62.46
AGARIND,2026-02-04,13289,8608,64.78
AGARWALEYE,2026-02-04,159041,56836,35.74
AGI,2026-02-04,205947,130776,63.5
AGIIL,2026-02-04,295677,80021,27.06
AGROPHOS,2026-02-04,14459,8480,58.65
AHCL,2026-02-04,96179,52159,54.23
AHLADA,2026-02-04,12682,7514,59.25
AHLEAST,2026-02-04,447,327,73.15
AHLUCONT,2026-02-04,48679,30529,62.71
AIAENG,2026-02-04,74942,38698,51.64
AIIL,2026-02-04,185987,93294,50.16
AIRAN,2026-02-04,82764,53495,64.64
AIROLAM,2026-02-04,1787,1500,83.94
AJANTPHARM,2026-02-04,128802,79813,61.97
AJAXENGG,2026-02-04,34214,16964,49.58
AJMERA,2026-02-04,301760,140928,46.7
AJOONI,2026-02-04,1031880,693729,67.23
AKASH,2026-02-04,8671,5049,58.23
AKG,2026-02-04,60648,55527,91.56
AKI,2026-02-04,248680,228811,92.01
AKSHAR,2026-02-04,1823260,843540,46.27
AKSHARCHEM,2026-02-04,1841,1170,63.55
AKSHOPTFBR,2026-02-04,1291464,674841,52.25
AKUMS,2026-02-04,92905,48095,51.77
AKZOINDIA,2026-02-04,21623,10987,50.81
ALANKIT,2026-02-04,340784,225912,66.29
ALBERTDAVD,2026-02-04,2392,1746,72.99
ALEMBICLTD,2026-02-04,143475,85208,59.39
ALGOQUANT,2026-02-04,518543,172722,33.31
ALICON,2026-02-04,6329,2689,42.49
ALIVUS,2026-02-04,24594,13088,53.22
ALKALI,2026-02-04,9269,6180,66.67
ALKEM,2026-02-04,78850,48740,61.81
ALKYLAMINE,2026-02-04,35640,13191,37.01
ALLCARGO,2026-02-04,4575364,2142906,46.84
ALLDIGI,2026-02-04,38084,23496,61.7
ALLTIME,2026-02-04,43389,21961,50.61
ALMONDZ,2026-02-04,63690,44629,70.07
ALOKINDS,2026-02-04,13288115,3691064,27.78
ALPA,2026-02-04,8484,6046,71.26
ALPHA,2026-02-04,1110004,654496,58.96
ALPHAETF,2026-02-04,523406,299876,57.29
ALPHAGEO,2026-02-04,4337,2946,67.93
ALPL30IETF,2026-02-04,5493772,5330132,97.02
AMAGI,2026-02-04,582033,377683,64.89
AMANTA,2026-02-04,27642,18749,67.83
AMBER,2026-02-04,282005,87942,31.18
AMBICAAGAR,2026-02-04,275,217,78.91
AMBIKCO,2026-02-04,7756,5781,74.54
AMBUJACEM,2026-02-04,977308,506679,51.84
AMDIND,2026-02-04,18842,13701,72.72
AMJLAND,2026-02-04,39258,17579,44.78
AMNPLST,2026-02-04,6751,5129,75.97
AMRUTANJAN,2026-02-04,42654,17378,40.74
ANANDRATHI,2026-02-04,141649,96265,67.96
ANANTRAJ,2026-02-04,3536780,937078,26.5
ANDHRAPAP,2026-02-04,211584,134595,63.61
ANDHRSUGAR,2026-02-04,135706,66171,48.76
ANGELONE,2026-02-04,1390887,264936,19.05
ANIKINDS,2026-02-04,24924,15398,61.78
ANMOL,2026-02-04,62206,44915,72.2
ANTELOPUS,2026-02-04,763679,162947,21.34
ANTGRAPHIC,2026-02-04,249867,173783,69.55
ANTHEM,2026-02-04,158996,89278,56.15
ANUHPHR,2026-02-04,99944,39509,39.53
ANUP,2026-02-04,98686,30960,31.37
ANURAS,2026-02-04,129030,55908,43.33
AONEGOLD,2026-02-04,2789484,1693562,60.71
AONELIQUID,2026-02-04,13816,9998,72.37
AONENIFTY,2026-02-04,386151,201799,52.26
AONETMMQ50,2026-02-04,74664,49338,66.08
AONETOTAL,2026-02-04,1017070,640832,63.01
APARINDS,2026-02-04,185329,58178,31.39
APCL,2026-02-04,4860,2417,49.73
APCOTEXIND,2026-02-04,30646,20536,67.01
APEX,2026-02-04,10913315,789351,7.23
APLAPOLLO,2026-02-04,1134262,669987,59.07
APLLTD,2026-02-04,37352,17682,47.34
APOLLO,2026-02-04,1712034,603889,35.27
APOLLOHOSP,2026-02-04,216137,119492,55.29
APOLLOPIPE,2026-02-04,100518,53036,52.76
APOLLOTYRE,2026-02-04,1203720,552047,45.86
APOLSINHOT,2026-02-04,480,255,53.13
APTECHT,2026-02-04,106833,51850,48.53
APTUS,2026-02-04,4749653,2720329,57.27
ARCHIDPLY,2026-02-04,40504,15219,37.57
ARCHIES,2026-02-04,7620,6949,91.19
ARE&M,2026-02-04,665167,200533,30.15
ARENTERP,2026-02-04,1572,884,56.23
ARFIN,2026-02-04,1419037,727293,51.25
ARIES,2026-02-04,11387,5914,51.94
ARIHANTCAP,2026-02-04,340685,107368,31.52
ARIHANTSUP,2026-02-04,15469,6258,40.46
ARISINFRA,2026-02-04,3397367,1195986,35.2
ARKADE,2026-02-04,323396,140620,43.48
ARMANFIN,2026-02-04,27525,15073,54.76
AROGRANITE,2026-02-04,20216,13230,65.44
